Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-01-25 07:00:00 to 2021-02-08 07:00:00,2021-02-09 07:00:00 to 2021-02-11 07:00:00,60,0.026,2,6.650429715270074,6.771525598965774,100.0,214.18023705482483,251
2,2021-01-28 07:00:00 to 2021-02-11 07:00:00,2021-02-12 07:00:00 to 2021-02-14 07:00:00,60,0.02,4,6.213071535349682,0.5398708274646529,100.0,206.90578174591064,253
3,2021-01-31 07:00:00 to 2021-02-14 07:00:00,2021-02-15 07:00:00 to 2021-02-17 07:00:00,60,0.02,5,6.934110515776884,13.017458006825072,100.0,207.68170499801636,255
4,2021-02-03 07:00:00 to 2021-02-17 07:00:00,2021-02-18 07:00:00 to 2021-02-20 07:00:00,50,0.02,6,13.62488611764362,3.2530885630694963,100.0,212.21007585525513,256
5,2021-02-06 07:00:00 to 2021-02-20 07:00:00,2021-02-21 07:00:00 to 2021-02-23 07:00:00,60,0.024,5,-11.44253267931148,19.308919230144056,60.0,208.96239399909973,257
6,2021-02-09 07:00:00 to 2021-02-23 07:00:00,2021-02-24 07:00:00 to 2021-02-26 07:00:00,55,0.02,3,3.0404374420811475,6.336915734866911,66.66666666666666,214.0362010002136,259
7,2021-02-12 07:00:00 to 2021-02-26 07:00:00,2021-02-27 07:00:00 to 2021-03-01 07:00:00,55,0.02,2,-4.752737713168935,13.578469703997708,50.0,213.796897649765,261
8,2021-02-15 07:00:00 to 2021-03-01 07:00:00,2021-03-02 07:00:00 to 2021-03-04 07:00:00,55,0.022,2,7.109473804186218,3.653702781267475,100.0,211.8371171951294,262
9,2021-02-18 07:00:00 to 2021-03-04 07:00:00,2021-03-05 07:00:00 to 2021-03-07 07:00:00,55,0.022,4,0.3499364910864824,7.671088326037583,50.0,214.10345721244812,263
10,2021-02-21 07:00:00 to 2021-03-07 07:00:00,2021-03-08 07:00:00 to 2021-03-10 07:00:00,210,0.03,1,2.2950323242688317,1.6287769990830758,100.0,218.50153923034668,265
11,2021-02-24 07:00:00 to 2021-03-10 07:00:00,2021-03-11 07:00:00 to 2021-03-13 07:00:00,40,0.04,2,4.666490717475335,0.8864586678775594,100.0,212.0287218093872,267
12,2021-02-27 07:00:00 to 2021-03-13 07:00:00,2021-03-14 07:00:00 to 2021-03-16 07:00:00,40,0.026,6,10.132167669103056,6.554339529237632,66.66666666666666,214.5886468887329,268
13,2021-03-02 07:00:00 to 2021-03-16 07:00:00,2021-03-17 07:00:00 to 2021-03-19 07:00:00,45,0.024,3,-1.8819370318699475,8.47596577546015,66.66666666666666,212.50490379333496,269
14,2021-03-05 07:00:00 to 2021-03-19 07:00:00,2021-03-20 07:00:00 to 2021-03-22 07:00:00,25,0.02,4,-1.186114109976097,6.262127693556599,50.0,212.7246940135956,271
15,2021-03-08 07:00:00 to 2021-03-22 07:00:00,2021-03-23 07:00:00 to 2021-03-25 07:00:00,50,0.028,4,5.429669372973422,7.579213021096745,75.0,220.3972201347351,273
16,2021-03-11 07:00:00 to 2021-03-25 07:00:00,2021-03-26 07:00:00 to 2021-03-28 07:00:00,50,0.048,0,0.0,0.0,0.0,218.001620054245,274
17,2021-03-14 07:00:00 to 2021-03-28 07:00:00,2021-03-29 07:00:00 to 2021-03-31 07:00:00,280,0.022,1,1.8860312100934788,0.3598551083961092,100.0,213.0415461063385,275
18,2021-03-17 07:00:00 to 2021-03-31 07:00:00,2021-04-01 07:00:00 to 2021-04-03 07:00:00,215,0.022,2,-0.4373923900118279,5.5920747945177265,50.0,215.3609938621521,277
19,2021-03-20 07:00:00 to 2021-04-03 07:00:00,2021-04-04 07:00:00 to 2021-04-06 07:00:00,175,0.032,3,6.375197728067579,2.2991498241341715,66.66666666666666,213.95347905158997,279
