Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-03-12 17:00:00 to 2023-03-26 17:00:00,2023-03-27 17:00:00 to 2023-03-29 17:00:00,10,0.02,0,0.0,0.0,0,194.9148871898651,639
2,2023-03-15 17:00:00 to 2023-03-29 17:00:00,2023-03-30 17:00:00 to 2023-04-01 17:00:00,10,0.02,0,0.0,0.0,0,193.9662299156189,641
3,2023-03-18 17:00:00 to 2023-04-01 17:00:00,2023-04-02 17:00:00 to 2023-04-04 17:00:00,10,0.02,0,0.0,0.0,0,194.80704593658447,643
4,2023-03-21 17:00:00 to 2023-04-04 17:00:00,2023-04-05 17:00:00 to 2023-04-07 17:00:00,10,0.02,0,0.0,0.0,0,193.25130605697632,644
5,2023-03-24 17:00:00 to 2023-04-07 17:00:00,2023-04-08 17:00:00 to 2023-04-10 17:00:00,10,0.02,0,0.0,0.0,0,195.0856499671936,645
6,2023-03-27 17:00:00 to 2023-04-10 17:00:00,2023-04-11 17:00:00 to 2023-04-13 17:00:00,10,0.02,0,0.0,0.0,0,194.07598114013672,647
7,2023-03-30 17:00:00 to 2023-04-13 17:00:00,2023-04-14 17:00:00 to 2023-04-16 17:00:00,10,0.02,0,0.0,0.0,0,192.50217294692993,649
8,2023-04-02 17:00:00 to 2023-04-16 17:00:00,2023-04-17 17:00:00 to 2023-04-19 17:00:00,10,0.02,0,0.0,0.0,0,197.33969497680664,650
9,2023-04-05 17:00:00 to 2023-04-19 17:00:00,2023-04-20 17:00:00 to 2023-04-22 17:00:00,10,0.02,0,0.0,0.0,0,195.25895380973816,651
10,2023-04-08 17:00:00 to 2023-04-22 17:00:00,2023-04-23 17:00:00 to 2023-04-25 17:00:00,10,0.02,0,0.0,0.0,0,194.5957841873169,653
11,2023-04-11 17:00:00 to 2023-04-25 17:00:00,2023-04-26 17:00:00 to 2023-04-28 17:00:00,10,0.02,0,0.0,0.0,0,192.29150390625,655
12,2023-04-14 17:00:00 to 2023-04-28 17:00:00,2023-04-29 17:00:00 to 2023-05-01 17:00:00,10,0.02,0,0.0,0.0,0,192.8251838684082,656
13,2023-04-17 17:00:00 to 2023-05-01 17:00:00,2023-05-02 17:00:00 to 2023-05-04 17:00:00,10,0.02,0,0.0,0.0,0,192.7724950313568,657
14,2023-04-20 17:00:00 to 2023-05-04 17:00:00,2023-05-05 17:00:00 to 2023-05-07 17:00:00,10,0.02,0,0.0,0.0,0,194.44989275932312,659
15,2023-04-23 17:00:00 to 2023-05-07 17:00:00,2023-05-08 17:00:00 to 2023-05-10 17:00:00,10,0.02,0,0.0,0.0,0,195.15961694717407,661
16,2023-04-26 17:00:00 to 2023-05-10 17:00:00,2023-05-11 17:00:00 to 2023-05-13 17:00:00,10,0.02,0,0.0,0.0,0,193.1704032421112,662
17,2023-04-29 17:00:00 to 2023-05-13 17:00:00,2023-05-14 17:00:00 to 2023-05-16 17:00:00,10,0.02,0,0.0,0.0,0,195.46464014053345,663
18,2023-05-02 17:00:00 to 2023-05-16 17:00:00,2023-05-17 17:00:00 to 2023-05-19 17:00:00,10,0.02,0,0.0,0.0,0,195.3064169883728,665
19,2023-05-05 17:00:00 to 2023-05-19 17:00:00,2023-05-20 17:00:00 to 2023-05-22 17:00:00,10,0.02,0,0.0,0.0,0,194.21932697296145,667
20,2023-05-08 17:00:00 to 2023-05-22 17:00:00,2023-05-23 17:00:00 to 2023-05-25 17:00:00,10,0.02,0,0.0,0.0,0,194.65246486663816,668
21,2023-05-11 17:00:00 to 2023-05-25 17:00:00,2023-05-26 17:00:00 to 2023-05-28 17:00:00,10,0.02,0,0.0,0.0,0,192.90414309501648,669
22,2023-05-14 17:00:00 to 2023-05-28 17:00:00,2023-05-29 17:00:00 to 2023-05-31 17:00:00,10,0.02,0,0.0,0.0,0,196.46060991287231,671
23,2023-05-17 17:00:00 to 2023-05-31 17:00:00,2023-06-01 17:00:00 to 2023-06-03 17:00:00,10,0.02,0,0.0,0.0,0,193.06393909454343,673
24,2023-05-20 17:00:00 to 2023-06-03 17:00:00,2023-06-04 17:00:00 to 2023-06-06 17:00:00,10,0.02,0,0.0,0.0,0,193.86389183998108,674
25,2023-05-23 17:00:00 to 2023-06-06 17:00:00,2023-06-07 17:00:00 to 2023-06-09 17:00:00,10,0.02,0,0.0,0.0,0,194.8225109577179,675
26,2023-05-26 17:00:00 to 2023-06-09 17:00:00,2023-06-10 17:00:00 to 2023-06-12 17:00:00,10,0.02,0,0.0,0.0,0,193.93366503715515,677
27,2023-05-29 17:00:00 to 2023-06-12 17:00:00,2023-06-13 17:00:00 to 2023-06-15 17:00:00,10,0.02,0,0.0,0.0,0,193.56776309013367,679
28,2023-06-01 17:00:00 to 2023-06-15 17:00:00,2023-06-16 17:00:00 to 2023-06-18 17:00:00,10,0.02,0,0.0,0.0,0,196.84065222740173,680
29,2023-06-04 17:00:00 to 2023-06-18 17:00:00,2023-06-19 17:00:00 to 2023-06-21 17:00:00,10,0.02,0,0.0,0.0,0,193.2695589065552,681
30,2023-06-07 17:00:00 to 2023-06-21 17:00:00,2023-06-22 17:00:00 to 2023-06-24 17:00:00,10,0.02,0,0.0,0.0,0,196.223149061203,683
31,2023-06-10 17:00:00 to 2023-06-24 17:00:00,2023-06-25 17:00:00 to 2023-06-27 17:00:00,10,0.02,0,0.0,0.0,0,195.51845908164975,685
32,2023-06-13 17:00:00 to 2023-06-27 17:00:00,2023-06-28 17:00:00 to 2023-06-30 17:00:00,10,0.02,0,0.0,0.0,0,192.6747510433197,686
33,2023-06-16 17:00:00 to 2023-06-30 17:00:00,2023-07-01 17:00:00 to 2023-07-03 17:00:00,10,0.02,0,0.0,0.0,0,195.26602697372437,687
34,2023-06-19 17:00:00 to 2023-07-03 17:00:00,2023-07-04 17:00:00 to 2023-07-06 17:00:00,10,0.02,0,0.0,0.0,0,193.91476607322693,689
35,2023-06-22 17:00:00 to 2023-07-06 17:00:00,2023-07-07 17:00:00 to 2023-07-09 17:00:00,10,0.02,0,0.0,0.0,0,194.3296341896057,691
36,2023-06-25 17:00:00 to 2023-07-09 17:00:00,2023-07-10 17:00:00 to 2023-07-12 17:00:00,10,0.02,0,0.0,0.0,0,194.6282138824463,692
37,2023-06-28 17:00:00 to 2023-07-12 17:00:00,2023-07-13 17:00:00 to 2023-07-15 17:00:00,10,0.02,0,0.0,0.0,0,196.30604004859924,693
38,2023-07-01 17:00:00 to 2023-07-15 17:00:00,2023-07-16 17:00:00 to 2023-07-18 17:00:00,10,0.02,0,0.0,0.0,0,195.0232479572296,695
39,2023-07-04 17:00:00 to 2023-07-18 17:00:00,2023-07-19 17:00:00 to 2023-07-21 17:00:00,10,0.02,0,0.0,0.0,0,196.82000994682312,697
40,2023-07-07 17:00:00 to 2023-07-21 17:00:00,2023-07-22 17:00:00 to 2023-07-24 17:00:00,10,0.02,0,0.0,0.0,0,194.0141761302948,698
41,2023-07-10 17:00:00 to 2023-07-24 17:00:00,2023-07-25 17:00:00 to 2023-07-27 17:00:00,10,0.02,0,0.0,0.0,0,193.8703761100769,699
42,2023-07-13 17:00:00 to 2023-07-27 17:00:00,2023-07-28 17:00:00 to 2023-07-30 17:00:00,10,0.02,0,0.0,0.0,0,194.25907826423645,701
43,2023-07-16 17:00:00 to 2023-07-30 17:00:00,2023-07-31 17:00:00 to 2023-08-02 17:00:00,10,0.02,0,0.0,0.0,0,196.6660008430481,703
44,2023-07-19 17:00:00 to 2023-08-02 17:00:00,2023-08-03 17:00:00 to 2023-08-05 17:00:00,10,0.02,0,0.0,0.0,0,193.48735094070437,704
45,2023-07-22 17:00:00 to 2023-08-05 17:00:00,2023-08-06 17:00:00 to 2023-08-08 17:00:00,10,0.02,0,0.0,0.0,0,194.3653349876404,705
46,2023-07-25 17:00:00 to 2023-08-08 17:00:00,2023-08-09 17:00:00 to 2023-08-11 17:00:00,10,0.02,0,0.0,0.0,0,195.0477130413055,707
47,2023-07-28 17:00:00 to 2023-08-11 17:00:00,2023-08-12 17:00:00 to 2023-08-14 17:00:00,10,0.02,0,0.0,0.0,0,199.1898717880249,709
48,2023-07-31 17:00:00 to 2023-08-14 17:00:00,2023-08-15 17:00:00 to 2023-08-17 17:00:00,10,0.02,0,0.0,0.0,0,193.2705841064453,710
49,2023-08-03 17:00:00 to 2023-08-17 17:00:00,2023-08-18 17:00:00 to 2023-08-20 17:00:00,10,0.02,0,0.0,0.0,0,193.4094500541687,711
50,2023-08-06 17:00:00 to 2023-08-20 17:00:00,2023-08-21 17:00:00 to 2023-08-23 17:00:00,10,0.02,0,0.0,0.0,0,194.76578974723816,713
51,2023-08-09 17:00:00 to 2023-08-23 17:00:00,2023-08-24 17:00:00 to 2023-08-26 17:00:00,10,0.02,0,0.0,0.0,0,194.45429491996765,715
52,2023-08-12 17:00:00 to 2023-08-26 17:00:00,2023-08-27 17:00:00 to 2023-08-29 17:00:00,10,0.02,0,0.0,0.0,0,196.47862768173215,716
53,2023-08-15 17:00:00 to 2023-08-29 17:00:00,2023-08-30 17:00:00 to 2023-09-01 17:00:00,10,0.02,0,0.0,0.0,0,188.9607799053192,717
54,2023-08-18 17:00:00 to 2023-09-01 17:00:00,2023-09-02 17:00:00 to 2023-09-04 17:00:00,10,0.02,0,0.0,0.0,0,193.89653086662292,719
55,2023-08-21 17:00:00 to 2023-09-04 17:00:00,2023-09-05 17:00:00 to 2023-09-07 17:00:00,10,0.02,0,0.0,0.0,0,192.86678814888,721
56,2023-08-24 17:00:00 to 2023-09-07 17:00:00,2023-09-08 17:00:00 to 2023-09-10 17:00:00,10,0.02,0,0.0,0.0,0,194.7678701877594,722
57,2023-08-27 17:00:00 to 2023-09-10 17:00:00,2023-09-11 17:00:00 to 2023-09-13 17:00:00,10,0.02,0,0.0,0.0,0,193.74950909614563,723
58,2023-08-30 17:00:00 to 2023-09-13 17:00:00,2023-09-14 17:00:00 to 2023-09-16 17:00:00,10,0.02,0,0.0,0.0,0,196.28572726249695,725
59,2023-09-02 17:00:00 to 2023-09-16 17:00:00,2023-09-17 17:00:00 to 2023-09-19 17:00:00,10,0.02,0,0.0,0.0,0,193.9836323261261,727
60,2023-09-05 17:00:00 to 2023-09-19 17:00:00,2023-09-20 17:00:00 to 2023-09-22 17:00:00,10,0.02,0,0.0,0.0,0,196.6150929927826,728
