Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-02-06 08:00:00 to 2020-02-20 08:00:00,2020-02-21 08:00:00 to 2020-02-23 08:00:00,95,0.04,2,3.945961785482814,2.8617669380085715,100.0,212.33440780639648,75
2,2020-02-09 08:00:00 to 2020-02-23 08:00:00,2020-02-24 08:00:00 to 2020-02-26 08:00:00,90,0.042,2,-10.155376167336234,13.427956464791894,0.0,212.60888671875,76
3,2020-02-12 08:00:00 to 2020-02-26 08:00:00,2020-02-27 08:00:00 to 2020-02-29 08:00:00,25,0.03,4,9.22326642364873,3.968678232873081,100.0,215.12146997451785,77
4,2020-02-15 08:00:00 to 2020-02-29 08:00:00,2020-03-01 08:00:00 to 2020-03-03 08:00:00,35,0.028,2,-0.8169960132991037,1.2964960030831107,0.0,212.97682213783264,79
5,2020-02-18 08:00:00 to 2020-03-03 08:00:00,2020-03-04 08:00:00 to 2020-03-06 08:00:00,40,0.022,3,4.027915598110594,1.77816212733088,100.0,215.32453894615173,81
6,2020-02-21 08:00:00 to 2020-03-06 08:00:00,2020-03-07 08:00:00 to 2020-03-09 08:00:00,40,0.022,3,-5.964041722084311,13.615960300723662,33.33333333333333,211.53401708602905,82
7,2020-02-24 08:00:00 to 2020-03-09 08:00:00,2020-03-10 08:00:00 to 2020-03-12 08:00:00,40,0.024,4,-8.214196486948204,10.62977378035635,75.0,213.9609727859497,83
8,2020-02-27 08:00:00 to 2020-03-12 08:00:00,2020-03-13 08:00:00 to 2020-03-15 08:00:00,10,0.058,4,20.71513062224707,21.533210754693258,100.0,211.7773458957672,85
9,2020-03-01 08:00:00 to 2020-03-15 08:00:00,2020-03-16 08:00:00 to 2020-03-18 08:00:00,50,0.062,1,-8.863449003434289,19.847229103541324,0.0,214.58179712295532,87
10,2020-03-04 08:00:00 to 2020-03-18 08:00:00,2020-03-19 08:00:00 to 2020-03-21 08:00:00,50,0.062,1,9.55105088612392,4.124321919871363,100.0,219.1671028137207,88
11,2020-03-07 08:00:00 to 2020-03-21 08:00:00,2020-03-22 08:00:00 to 2020-03-24 08:00:00,50,0.062,1,0.1999947540983703,3.047648425444858,100.0,223.982882976532,89
12,2020-03-10 08:00:00 to 2020-03-24 08:00:00,2020-03-25 08:00:00 to 2020-03-27 08:00:00,260,0.066,0,0.0,0.0,0.0,230.7882330417633,91
13,2020-03-13 08:00:00 to 2020-03-27 08:00:00,2020-03-28 08:00:00 to 2020-03-30 08:00:00,300,0.036,1,1.4804928655314329,8.061033420772615,100.0,219.49201798439023,93
14,2020-03-16 08:00:00 to 2020-03-30 08:00:00,2020-03-31 08:00:00 to 2020-04-02 08:00:00,120,0.034,0,0.0,0.0,0.0,214.46497893333435,94
15,2020-03-19 08:00:00 to 2020-04-02 08:00:00,2020-04-03 08:00:00 to 2020-04-05 08:00:00,125,0.022,2,2.3869502825970086,0.8189784713346903,100.0,209.47577905654907,95
16,2020-03-22 08:00:00 to 2020-04-05 08:00:00,2020-04-06 08:00:00 to 2020-04-08 08:00:00,45,0.028,1,4.103271509900169,2.562324562980246,100.0,203.63778567314148,97
17,2020-03-25 08:00:00 to 2020-04-08 08:00:00,2020-04-09 08:00:00 to 2020-04-11 08:00:00,65,0.03,2,-0.3230622544668768,7.606036542474273,50.0,203.42162680625916,99
18,2020-03-28 08:00:00 to 2020-04-11 08:00:00,2020-04-12 08:00:00 to 2020-04-14 08:00:00,25,0.02,2,1.4949865359906107,1.1032891661650597,100.0,204.424889087677,100
19,2020-03-31 08:00:00 to 2020-04-14 08:00:00,2020-04-15 08:00:00 to 2020-04-17 08:00:00,25,0.02,2,1.7881131245914912,0.3428447579089687,100.0,201.283588886261,101
20,2020-04-03 08:00:00 to 2020-04-17 08:00:00,2020-04-18 08:00:00 to 2020-04-20 08:00:00,25,0.02,1,0.9423035952063946,0.0379922686814389,100.0,202.3919620513916,103
21,2020-04-06 08:00:00 to 2020-04-20 08:00:00,2020-04-21 08:00:00 to 2020-04-23 08:00:00,25,0.02,1,0.8265771749298255,0.2937316545931945,100.0,204.52612900733948,105
22,2020-04-09 08:00:00 to 2020-04-23 08:00:00,2020-04-24 08:00:00 to 2020-04-26 08:00:00,125,0.02,0,0.0,0.0,0.0,205.60272216796875,106
23,2020-04-12 08:00:00 to 2020-04-26 08:00:00,2020-04-27 08:00:00 to 2020-04-29 08:00:00,90,0.02,1,0.0488681046227793,3.983973391224727,100.0,200.8755638599396,107
24,2020-04-15 08:00:00 to 2020-04-29 08:00:00,2020-04-30 08:00:00 to 2020-05-02 08:00:00,280,0.032,1,1.8451122523844423,1.1059271718622543,100.0,201.65234303474423,109
25,2020-04-18 08:00:00 to 2020-05-02 08:00:00,2020-05-03 08:00:00 to 2020-05-05 08:00:00,300,0.026,1,3.578046456403335,3.6628409524906886,100.0,204.07869172096252,111
26,2020-04-21 08:00:00 to 2020-05-05 08:00:00,2020-05-06 08:00:00 to 2020-05-08 08:00:00,300,0.026,1,1.5110579439252252,1.3012199274172869,100.0,201.75313210487369,112
27,2020-04-24 08:00:00 to 2020-05-08 08:00:00,2020-05-09 08:00:00 to 2020-05-11 08:00:00,295,0.03,1,-2.488283132183369,9.525993540721604,0.0,203.7262477874756,113
28,2020-04-27 08:00:00 to 2020-05-11 08:00:00,2020-05-12 08:00:00 to 2020-05-14 08:00:00,75,0.036,0,0.0,0.0,0.0,203.70399522781372,115
29,2020-04-30 08:00:00 to 2020-05-14 08:00:00,2020-05-15 08:00:00 to 2020-05-17 08:00:00,70,0.02,1,1.1249446947972137,0.0365800034630667,100.0,205.6268961429596,117
30,2020-05-03 08:00:00 to 2020-05-17 08:00:00,2020-05-18 08:00:00 to 2020-05-20 08:00:00,70,0.02,1,0.6539595959595863,0.5377310050387383,100.0,207.76596784591675,118
31,2020-05-06 08:00:00 to 2020-05-20 08:00:00,2020-05-21 08:00:00 to 2020-05-23 08:00:00,70,0.02,1,-0.5265690496765274,3.927399151463824,0.0,201.66970086097717,119
32,2020-05-09 08:00:00 to 2020-05-23 08:00:00,2020-05-24 08:00:00 to 2020-05-26 08:00:00,65,0.02,2,2.0178754801617287,0.4818760260082247,100.0,205.03104305267337,121
33,2020-05-12 08:00:00 to 2020-05-26 08:00:00,2020-05-27 08:00:00 to 2020-05-29 08:00:00,300,0.02,0,0.0,0.0,0.0,200.96703624725345,123
34,2020-05-15 08:00:00 to 2020-05-29 08:00:00,2020-05-30 08:00:00 to 2020-06-01 08:00:00,300,0.02,1,0.9870575692963576,0.5776950959488386,100.0,199.93250513076785,124
35,2020-05-18 08:00:00 to 2020-06-01 08:00:00,2020-06-02 08:00:00 to 2020-06-04 08:00:00,240,0.036,1,2.071098651525899,1.3286730606116943,100.0,199.19227290153503,125
36,2020-05-21 08:00:00 to 2020-06-04 08:00:00,2020-06-05 08:00:00 to 2020-06-07 08:00:00,135,0.02,1,0.3466301463082709,0.5048237043781368,100.0,200.55262804031372,127
37,2020-05-24 08:00:00 to 2020-06-07 08:00:00,2020-06-08 08:00:00 to 2020-06-10 08:00:00,145,0.02,0,0.0,0.0,0.0,199.5173246860504,129
38,2020-05-27 08:00:00 to 2020-06-10 08:00:00,2020-06-11 08:00:00 to 2020-06-13 08:00:00,170,0.02,2,-0.6537056729073629,8.912253080210593,50.0,201.93143892288208,130
39,2020-05-30 08:00:00 to 2020-06-13 08:00:00,2020-06-14 08:00:00 to 2020-06-16 08:00:00,250,0.04,1,1.02656692913386,1.85236527247528,100.0,203.94475078582764,131
40,2020-06-02 08:00:00 to 2020-06-16 08:00:00,2020-06-17 08:00:00 to 2020-06-19 08:00:00,250,0.038,0,0.0,0.0,0.0,199.6556260585785,133
41,2020-06-05 08:00:00 to 2020-06-19 08:00:00,2020-06-20 08:00:00 to 2020-06-22 08:00:00,225,0.034,0,0.0,0.0,0.0,203.19488167762756,135
42,2020-06-08 08:00:00 to 2020-06-22 08:00:00,2020-06-23 08:00:00 to 2020-06-25 08:00:00,235,0.032,1,0.6467280493135876,1.6013777027166949,0.0,205.23974609375,136
43,2020-06-11 08:00:00 to 2020-06-25 08:00:00,2020-06-26 08:00:00 to 2020-06-28 08:00:00,45,0.02,2,0.2979808674883134,1.7144582908404278,50.0,199.4892771244049,137
44,2020-06-14 08:00:00 to 2020-06-28 08:00:00,2020-06-29 08:00:00 to 2020-07-01 08:00:00,85,0.02,0,0.0,0.0,0.0,201.83250403404236,139
45,2020-06-17 08:00:00 to 2020-07-01 08:00:00,2020-07-02 08:00:00 to 2020-07-04 08:00:00,110,0.026,1,0.802099653379555,0.8720986194097592,100.0,200.02594113349917,141
46,2020-06-20 08:00:00 to 2020-07-04 08:00:00,2020-07-05 08:00:00 to 2020-07-07 08:00:00,110,0.032,0,0.0,0.0,0.0,201.14470386505127,142
47,2020-06-23 08:00:00 to 2020-07-07 08:00:00,2020-07-08 08:00:00 to 2020-07-10 08:00:00,110,0.032,2,1.8593999505671857,1.951584995711286,50.0,200.92257809638977,143
48,2020-06-26 08:00:00 to 2020-07-10 08:00:00,2020-07-11 08:00:00 to 2020-07-13 08:00:00,175,0.022,0,0.0,0.0,0.0,201.30079221725464,145
49,2020-06-29 08:00:00 to 2020-07-13 08:00:00,2020-07-14 08:00:00 to 2020-07-16 08:00:00,125,0.02,2,5.475302831948756,4.572484724444012,100.0,198.34932684898376,147
50,2020-07-02 08:00:00 to 2020-07-16 08:00:00,2020-07-17 08:00:00 to 2020-07-19 08:00:00,125,0.02,2,1.1277764868250597,3.2882244264106406,50.0,202.42688584327695,148
51,2020-07-05 08:00:00 to 2020-07-19 08:00:00,2020-07-20 08:00:00 to 2020-07-22 08:00:00,125,0.02,1,0.5711605331608007,3.216626546827392,100.0,200.0781462192535,149
52,2020-07-08 08:00:00 to 2020-07-22 08:00:00,2020-07-23 08:00:00 to 2020-07-25 08:00:00,125,0.02,2,0.9159153112952118,0.8989402694786649,50.0,204.71947693824768,151
53,2020-07-11 08:00:00 to 2020-07-25 08:00:00,2020-07-26 08:00:00 to 2020-07-28 08:00:00,125,0.02,3,-0.4186841061211271,8.372779823818451,66.66666666666666,205.60423398017883,153
54,2020-07-14 08:00:00 to 2020-07-28 08:00:00,2020-07-29 08:00:00 to 2020-07-31 08:00:00,75,0.022,1,0.6331386874702548,1.7742815894584143,100.0,204.86694192886353,154
55,2020-07-17 08:00:00 to 2020-07-31 08:00:00,2020-08-01 08:00:00 to 2020-08-03 08:00:00,50,0.022,2,6.6429713735085,2.751715955128448,100.0,203.80776000022888,155
56,2020-07-20 08:00:00 to 2020-08-03 08:00:00,2020-08-04 08:00:00 to 2020-08-06 08:00:00,70,0.022,2,2.2120713346227423,0.5687114263508606,100.0,202.00405287742615,157
57,2020-07-23 08:00:00 to 2020-08-06 08:00:00,2020-08-07 08:00:00 to 2020-08-09 08:00:00,75,0.022,1,-0.7170320644660934,5.5594239710017455,0.0,205.7277340888977,159
58,2020-07-26 08:00:00 to 2020-08-09 08:00:00,2020-08-10 08:00:00 to 2020-08-12 08:00:00,125,0.02,3,3.636495273069977,7.2228812989509725,66.66666666666666,204.19282388687137,160
59,2020-07-29 08:00:00 to 2020-08-12 08:00:00,2020-08-13 08:00:00 to 2020-08-15 08:00:00,65,0.022,4,7.701754141265756,4.103828261122798,75.0,202.92084193229675,161
60,2020-08-01 08:00:00 to 2020-08-15 08:00:00,2020-08-16 08:00:00 to 2020-08-18 08:00:00,55,0.02,5,5.452303155289647,0.8808809982226731,100.0,205.90643787384033,163
61,2020-08-04 08:00:00 to 2020-08-18 08:00:00,2020-08-19 08:00:00 to 2020-08-21 08:00:00,55,0.02,3,3.7261464618214633,4.64516636201789,100.0,208.95403122901917,165
62,2020-08-07 08:00:00 to 2020-08-21 08:00:00,2020-08-22 08:00:00 to 2020-08-24 08:00:00,35,0.022,3,5.1176264612739395,1.3992181903706118,100.0,210.93525314331055,166
63,2020-08-10 08:00:00 to 2020-08-24 08:00:00,2020-08-25 08:00:00 to 2020-08-27 08:00:00,55,0.022,5,2.2084331879638195,3.733833470630468,60.0,213.89430618286133,167
64,2020-08-13 08:00:00 to 2020-08-27 08:00:00,2020-08-28 08:00:00 to 2020-08-30 08:00:00,65,0.022,0,0.0,0.0,0.0,211.50524282455444,169
65,2020-08-16 08:00:00 to 2020-08-30 08:00:00,2020-08-31 08:00:00 to 2020-09-02 08:00:00,160,0.058,0,0.0,0.0,0.0,213.22737216949463,171
66,2020-08-19 08:00:00 to 2020-09-02 08:00:00,2020-09-03 08:00:00 to 2020-09-05 08:00:00,200,0.042,1,-5.824360613624249,16.237389466038,0.0,209.7982668876648,172
67,2020-08-22 08:00:00 to 2020-09-05 08:00:00,2020-09-06 08:00:00 to 2020-09-08 08:00:00,35,0.03,2,1.7596202756646928,1.162758026833978,100.0,209.99284100532532,173
68,2020-08-25 08:00:00 to 2020-09-08 08:00:00,2020-09-09 08:00:00 to 2020-09-11 08:00:00,40,0.034,0,0.0,0.0,0.0,208.79316401481628,175
69,2020-08-28 08:00:00 to 2020-09-11 08:00:00,2020-09-12 08:00:00 to 2020-09-14 08:00:00,40,0.034,0,0.0,0.0,0.0,210.0984838008881,177
70,2020-08-31 08:00:00 to 2020-09-14 08:00:00,2020-09-15 08:00:00 to 2020-09-17 08:00:00,40,0.034,1,1.0402722772277229,0.4054779132248913,100.0,213.10898995399475,178
71,2020-09-03 08:00:00 to 2020-09-17 08:00:00,2020-09-18 08:00:00 to 2020-09-20 08:00:00,45,0.034,1,-0.3969320980470547,2.402347394801585,0.0,211.25295996665955,179
72,2020-09-06 08:00:00 to 2020-09-20 08:00:00,2020-09-21 08:00:00 to 2020-09-23 08:00:00,110,0.026,2,-6.056649025772131,11.071243344931906,0.0,201.93292999267575,181
73,2020-09-09 08:00:00 to 2020-09-23 08:00:00,2020-09-24 08:00:00 to 2020-09-26 08:00:00,190,0.064,0,0.0,0.0,0.0,203.7627398967743,183
74,2020-09-12 08:00:00 to 2020-09-26 08:00:00,2020-09-27 08:00:00 to 2020-09-29 08:00:00,195,0.06,0,0.0,0.0,0.0,207.40870785713196,184
75,2020-09-15 08:00:00 to 2020-09-29 08:00:00,2020-09-30 08:00:00 to 2020-10-02 08:00:00,195,0.06,0,0.0,0.0,0.0,206.26533699035645,185
76,2020-09-18 08:00:00 to 2020-10-02 08:00:00,2020-10-03 08:00:00 to 2020-10-05 08:00:00,300,0.034,1,1.1506100719424284,1.0226909265241793,100.0,205.21651983261108,187
77,2020-09-21 08:00:00 to 2020-10-05 08:00:00,2020-10-06 08:00:00 to 2020-10-08 08:00:00,255,0.02,2,2.634500988492837,2.1134004849806933,50.0,199.89603996276855,189
78,2020-09-24 08:00:00 to 2020-10-08 08:00:00,2020-10-09 08:00:00 to 2020-10-11 08:00:00,245,0.02,0,0.0,0.0,0.0,202.02450609207153,190
79,2020-09-27 08:00:00 to 2020-10-11 08:00:00,2020-10-12 08:00:00 to 2020-10-14 08:00:00,235,0.02,0,0.0,0.0,0.0,202.79853796958923,191
80,2020-09-30 08:00:00 to 2020-10-14 08:00:00,2020-10-15 08:00:00 to 2020-10-17 08:00:00,210,0.02,1,-2.278667210517724,5.642077913040458,0.0,200.35229897499084,193
81,2020-10-03 08:00:00 to 2020-10-17 08:00:00,2020-10-18 08:00:00 to 2020-10-20 08:00:00,85,0.022,0,0.0,0.0,0.0,200.8034920692444,195
82,2020-10-06 08:00:00 to 2020-10-20 08:00:00,2020-10-21 08:00:00 to 2020-10-23 08:00:00,55,0.022,0,0.0,0.0,0.0,202.15419602394104,196
83,2020-10-09 08:00:00 to 2020-10-23 08:00:00,2020-10-24 08:00:00 to 2020-10-26 08:00:00,50,0.02,0,0.0,0.0,0.0,199.55166578292847,197
84,2020-10-12 08:00:00 to 2020-10-26 08:00:00,2020-10-27 08:00:00 to 2020-10-29 08:00:00,50,0.02,2,1.487460112812241,0.8852012671793986,100.0,201.50489115715027,199
85,2020-10-15 08:00:00 to 2020-10-29 08:00:00,2020-10-30 08:00:00 to 2020-11-01 08:00:00,60,0.02,2,1.609095472404133,3.431944241023848,100.0,199.9557168483734,201
86,2020-10-18 08:00:00 to 2020-11-01 08:00:00,2020-11-02 08:00:00 to 2020-11-04 08:00:00,65,0.02,2,-2.167030975638081,5.3990499876724245,0.0,202.2682158946991,202
87,2020-10-21 08:00:00 to 2020-11-04 08:00:00,2020-11-05 08:00:00 to 2020-11-07 08:00:00,50,0.022,0,0.0,0.0,0.0,201.70797872543335,203
88,2020-10-24 08:00:00 to 2020-11-07 08:00:00,2020-11-08 08:00:00 to 2020-11-10 08:00:00,65,0.02,3,2.7073521225010335,1.1968983307785328,100.0,205.2683641910553,205
89,2020-10-27 08:00:00 to 2020-11-10 08:00:00,2020-11-11 08:00:00 to 2020-11-13 08:00:00,95,0.028,1,1.1454163424124455,0.6105450610020219,100.0,205.92045402526855,207
90,2020-10-30 08:00:00 to 2020-11-13 08:00:00,2020-11-14 08:00:00 to 2020-11-16 08:00:00,170,0.02,1,0.0864181818970246,3.2952677658888616,0.0,203.78519225120544,208
91,2020-11-02 08:00:00 to 2020-11-16 08:00:00,2020-11-17 08:00:00 to 2020-11-19 08:00:00,170,0.02,1,-0.3021272462360502,1.5805205200157666,0.0,200.76254796981812,209
92,2020-11-05 08:00:00 to 2020-11-19 08:00:00,2020-11-20 08:00:00 to 2020-11-22 08:00:00,125,0.02,1,1.0749321957790745,0.0,100.0,199.7967631816864,211
93,2020-11-08 08:00:00 to 2020-11-22 08:00:00,2020-11-23 08:00:00 to 2020-11-25 08:00:00,125,0.02,3,4.746505337300295,1.2525284714004532,66.66666666666666,200.21884298324585,213
94,2020-11-11 08:00:00 to 2020-11-25 08:00:00,2020-11-26 08:00:00 to 2020-11-28 08:00:00,90,0.02,4,-6.438743973927521,17.595263967785524,75.0,199.0586450099945,214
95,2020-11-14 08:00:00 to 2020-11-28 08:00:00,2020-11-29 08:00:00 to 2020-12-01 08:00:00,40,0.02,3,2.331546843418582,0.4679508398924704,100.0,199.32930898666385,215
96,2020-11-17 08:00:00 to 2020-12-01 08:00:00,2020-12-02 08:00:00 to 2020-12-04 08:00:00,40,0.02,2,1.3748831525962486,1.2310417223805807,100.0,205.73177099227905,217
