Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return,Original Return (%),Is Outlier,Z-Score
top8,2020,2,February,2020-02,2020-02-15 07:45:00,2020-02-27 08:00:00,10000.0,10206.115230486526,2.0611523048652547,0.0,15.829832033420942,1,100.0,10206.115230486526,,,
top8,2020,3,March,2020-03,2020-03-05 08:00:00,2020-03-30 05:15:00,10206.115230486526,10364.54570862689,1.5523093220338957,0.0,14.227149940411818,1,0.0,10364.545708626889,,,
top8,2020,4,April,2020-04,2020-04-03 07:45:00,2020-04-27 08:00:00,10364.54570862689,10992.417014377921,6.057875795061851,0.0,28.85306390136677,2,0.0,10992.41701437792,,,
top8,2020,5,May,2020-05,2020-05-04 08:00:00,2020-05-28 08:00:00,10992.417014377921,11323.124878683513,3.008509082879862,0.0,12.255748679485801,3,33.33333333333333,11323.124878683511,,,
top8,2020,6,June,2020-06,2020-06-02 08:00:00,2020-06-28 16:15:00,11323.124878683513,12020.76271536504,6.16117762681283,-0.5887936351134382,15.95549731048845,4,50.0,12020.762715365037,,,
top8,2020,7,July,2020-07,2020-07-03 08:00:00,2020-07-31 08:00:00,12020.76271536504,12484.80996864536,3.8603811111517228,-0.07293141683777371,12.18561416282633,2,0.0,12484.809968645357,,,
top8,2020,8,August,2020-08,2020-08-02 09:00:00,2020-08-28 09:00:00,12484.80996864536,13069.08619616669,4.679896842552633,-1.5435640238506743,12.602936242919391,5,40.0,13069.086196166685,,,
top8,2020,9,September,2020-09,2020-09-01 08:00:00,2020-09-28 17:45:00,13069.08619616669,15052.562383706801,15.17685443165786,-1.441801233004325,30.404525389662208,5,40.0,15052.562383706796,,,
top8,2020,10,October,2020-10,2020-10-03 12:00:00,2020-10-31 07:00:00,15052.562383706801,15042.129977973289,-0.06930651053009829,-2.7375434056927106,16.21931449275583,2,0.0,15042.129977973282,,,
top8,2020,11,November,2020-11,2020-11-04 08:00:00,2020-11-28 08:00:00,15042.129977973289,13847.412574160668,-7.942474939134869,-22.239548852826264,116.98574009415792,3,66.66666666666666,13847.41257416066,,,
top8,2020,12,December,2020-12,2020-12-02 07:00:00,2020-12-31 07:00:00,13847.412574160668,14271.472369979392,3.0623756860543194,-6.5921163683289485,32.22365115209438,5,60.0,14271.472369979385,,,
top8,2021,1,January,2021-01,2021-01-02 02:15:00,2021-01-31 08:00:00,14271.472369979392,15430.564950492584,8.121744908054396,-16.298325165331928,53.86042539643135,7,100.0,15430.564950492575,,,
top8,2021,2,February,2021-02,2021-02-01 08:00:00,2021-02-28 08:00:00,15430.564950492584,18326.17954767001,18.76544771022781,-7.634742771539516,39.261108121665174,7,71.42857142857143,18326.17954767,,,
top8,2021,3,March,2021-03,2021-03-04 08:00:00,2021-03-28 07:00:00,18326.17954767001,21711.027462926722,18.47001392981038,-0.677382052096398,23.908705624835186,6,66.66666666666666,21711.02746292671,,,
