Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%)
top8,2020,2,February,2020-02,2020-02-15 07:45:00,2020-02-27 08:00:00,10000.0,10206.115230486526,2.0611523048652547,0.0,15.829832033420942,1,100.0
top8,2020,3,March,2020-03,2020-03-05 08:00:00,2020-03-30 05:15:00,10206.115230486526,10364.545708626889,1.5523093220338957,0.0,14.227149940411818,1,0.0
top8,2020,4,April,2020-04,2020-04-03 07:45:00,2020-04-27 08:00:00,10364.545708626889,10992.41701437792,6.057875795061851,0.0,28.85306390136677,2,0.0
top8,2020,5,May,2020-05,2020-05-04 08:00:00,2020-05-28 08:00:00,10992.41701437792,11323.124878683511,3.008509082879862,0.0,12.255748679485801,3,33.33333333333333
top8,2020,6,June,2020-06,2020-06-02 08:00:00,2020-06-28 16:15:00,11323.124878683511,12020.762715365037,6.16117762681283,-0.5887936351134382,15.95549731048845,4,50.0
top8,2020,7,July,2020-07,2020-07-03 08:00:00,2020-07-31 08:00:00,12020.762715365037,12484.809968645357,3.8603811111517228,-0.07293141683777371,12.18561416282633,2,0.0
top8,2020,8,August,2020-08,2020-08-02 09:00:00,2020-08-28 09:00:00,13121.963795578124,13736.058164928285,4.679896842552633,-1.5435640238506743,12.602936242919391,5,40.0
top8,2020,9,September,2020-09,2020-09-01 08:00:00,2020-09-28 17:45:00,13736.058164928285,15820.759717267303,15.17685443165786,-1.441801233004325,30.404525389662208,5,40.0
top8,2020,10,October,2020-10,2020-10-03 12:00:00,2020-10-31 07:00:00,15820.759717267303,15809.794900767914,-0.06930651053009829,-2.7375434056927106,16.21931449275583,2,0.0
top8,2020,11,November,2020-11,2020-11-04 08:00:00,2020-11-28 08:00:00,15809.794900767914,14554.1059028458,-7.942474939134869,-22.239548852826264,116.98574009415792,3,66.66666666666666
top8,2020,12,December,2020-12,2020-12-02 07:00:00,2020-12-31 07:00:00,14554.1059028458,14999.807303337146,3.0623756860543194,-6.5921163683289485,32.22365115209438,5,60.0
top8,2021,1,January,2021-01,2021-01-02 02:15:00,2021-01-31 08:00:00,15092.040094496411,16317.7770923927,8.121744908054396,-16.298325165331928,53.86042539643135,7,100.0
top8,2021,2,February,2021-02,2021-02-01 08:00:00,2021-02-28 08:00:00,16678.478008225302,19808.269077720666,18.76544771022781,-7.634742771539516,39.261108121665174,7,71.42857142857143
top8,2021,3,March,2021-03,2021-03-04 08:00:00,2021-03-28 07:00:00,19808.269077720666,23466.859135629995,18.47001392981038,-0.677382052096398,23.908705624835186,6,66.66666666666666
top8,2021,4,April,2021-04,2021-04-01 07:00:00,2021-04-29 08:00:00,23466.859135629995,26336.722472269586,12.229430960712783,-7.902398299858238,53.479990284260545,4,50.0
top8,2021,5,May,2021-05,2021-05-03 07:00:00,2021-05-31 07:45:00,26336.722472269586,31173.956968149378,18.36688107631086,-6.920620707525094,35.39681999376765,5,80.0
top8,2021,6,June,2021-06,2021-06-04 08:45:00,2021-06-28 08:45:00,31173.956968149378,30404.960398165214,-2.466791658081302,-6.535426431448233,36.42508612237153,4,25.0
top8,2021,7,July,2021-07,2021-07-02 07:00:00,2021-07-31 21:00:00,30404.960398165214,33235.44054520805,9.30927095439873,-7.472050596888846,30.213725140655427,7,71.42857142857143
top8,2021,8,August,2021-08,2021-08-02 06:45:00,2021-08-31 08:00:00,34285.70858654432,45766.67977283693,33.48617152628543,0.0,22.501278125945248,4,50.0
top8,2021,9,September,2021-09,2021-09-01 07:00:00,2021-09-30 12:30:00,46216.57321966106,47571.70078102805,2.932124705408712,-0.5510161341114705,7.836377525403823,4,25.0
top8,2021,10,October,2021-10,2021-10-02 07:00:00,2021-10-31 07:00:00,47571.70078102805,46770.078057657905,-1.6850831696348267,-7.429220015201032,29.029777200758062,6,16.666666666666664
top8,2021,11,November,2021-11,2021-11-01 23:45:00,2021-11-27 09:00:00,47362.23433479134,40329.68908023168,-14.848423756464758,-16.935373738383575,46.33473515128046,4,25.0
