Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-11-25 11:30:00 to 2024-12-09 11:30:00,2024-12-10 11:30:00 to 2024-12-12 11:30:00,100,0.078,1,7.596420198182423,8.432956242654775,0.0,256.5017249584198,951
2,2024-11-28 11:30:00 to 2024-12-12 11:30:00,2024-12-13 11:30:00 to 2024-12-15 11:30:00,50,0.058,1,-3.2611382936542213,5.7029422283954485,0.0,239.19932913780212,953
3,2024-12-01 11:30:00 to 2024-12-15 11:30:00,2024-12-16 11:30:00 to 2024-12-18 11:30:00,200,0.03,1,-3.909176470588245,4.1555303550758005,0.0,252.38376116752625,955
4,2024-12-04 11:30:00 to 2024-12-18 11:30:00,2024-12-19 11:30:00 to 2024-12-21 11:30:00,55,0.076,1,-3.3962338108882615,4.401964469914037,0.0,235.45931196212769,956
5,2024-12-07 11:30:00 to 2024-12-21 11:30:00,2024-12-22 11:30:00 to 2024-12-24 11:30:00,290,0.042,0,0.0,0.0,0.0,208.79581689834595,957
6,2024-12-10 11:30:00 to 2024-12-24 11:30:00,2024-12-25 11:30:00 to 2024-12-27 11:30:00,260,0.04,0,0.0,0.0,0.0,206.27061200141907,959
7,2024-12-13 11:30:00 to 2024-12-27 11:30:00,2024-12-28 11:30:00 to 2024-12-30 11:30:00,285,0.024,0,0.0,0.0,0.0,204.7495927810669,961
8,2024-12-16 11:30:00 to 2024-12-30 11:30:00,2024-12-31 11:30:00 to 2025-01-02 11:30:00,250,0.03,0,0.0,0.0,0.0,202.9383602142334,962
9,2024-12-19 11:30:00 to 2025-01-02 11:30:00,2025-01-03 11:30:00 to 2025-01-05 11:30:00,280,0.036,0,0.0,0.0,0.0,203.02164506912231,963
10,2024-12-22 11:30:00 to 2025-01-05 11:30:00,2025-01-06 11:30:00 to 2025-01-08 11:30:00,10,0.052,0,0.0,0.0,0.0,196.76323199272156,965
11,2024-12-25 11:30:00 to 2025-01-08 11:30:00,2025-01-09 11:30:00 to 2025-01-11 11:30:00,10,0.036,11,3.322777040195942,1.7700001212887049,90.9090909090909,196.4233350753784,967
12,2024-12-28 11:30:00 to 2025-01-11 11:30:00,2025-01-12 11:30:00 to 2025-01-14 11:30:00,45,0.02,1,-2.5001109581735546,12.438839473511734,0.0,212.33460307121277,968
13,2024-12-31 11:30:00 to 2025-01-14 11:30:00,2025-01-15 11:30:00 to 2025-01-17 11:30:00,235,0.068,6,6.567127138030228,1.867351475777686,100.0,219.7688720226288,969
14,2025-01-03 11:30:00 to 2025-01-17 11:30:00,2025-01-18 11:30:00 to 2025-01-20 11:30:00,235,0.068,2,18.63221459074488,9.23578043619089,50.0,238.37765312194824,971
15,2025-01-06 11:30:00 to 2025-01-20 11:30:00,2025-01-21 11:30:00 to 2025-01-23 11:30:00,235,0.068,1,-6.212903263916232,10.22461870352454,0.0,248.66077709198,973
16,2025-01-09 11:30:00 to 2025-01-23 11:30:00,2025-01-24 11:30:00 to 2025-01-26 11:30:00,290,0.08,1,-5.714356210244387,7.952021158516405,0.0,232.40548992156985,974
17,2025-01-12 11:30:00 to 2025-01-26 11:30:00,2025-01-27 11:30:00 to 2025-01-29 11:30:00,65,0.062,1,3.008921505311428,10.292732200958934,0.0,230.28765487670896,975
18,2025-01-15 11:30:00 to 2025-01-29 11:30:00,2025-01-30 11:30:00 to 2025-02-01 11:30:00,10,0.078,1,0.5984383561643881,3.6406067183624047,0.0,219.75382018089297,977
19,2025-01-18 11:30:00 to 2025-02-01 11:30:00,2025-02-02 11:30:00 to 2025-02-04 11:30:00,95,0.05,1,-23.928881904175277,27.367815918795376,0.0,206.81779289245603,979
20,2025-01-21 11:30:00 to 2025-02-04 11:30:00,2025-02-05 11:30:00 to 2025-02-07 11:30:00,225,0.08,1,-1.4242812500000035,7.006633665165451,0.0,207.67625308036804,980
21,2025-01-24 11:30:00 to 2025-02-07 11:30:00,2025-02-08 11:30:00 to 2025-02-10 11:30:00,270,0.02,1,13.326317568435462,33.72680427855552,0.0,207.5262849330902,981
22,2025-01-27 11:30:00 to 2025-02-10 11:30:00,2025-02-11 11:30:00 to 2025-02-13 11:30:00,205,0.078,1,5.708047904191626,9.021188035237744,0.0,206.1435160636902,983
23,2025-01-30 11:30:00 to 2025-02-13 11:30:00,2025-02-14 11:30:00 to 2025-02-16 11:30:00,295,0.08,1,1.6007050359712232,6.191312377988157,0.0,204.2354497909546,985
24,2025-02-02 11:30:00 to 2025-02-16 11:30:00,2025-02-17 11:30:00 to 2025-02-19 11:30:00,60,0.062,1,-9.273564484373765,13.842081519987609,0.0,203.90061783790588,986
25,2025-02-05 11:30:00 to 2025-02-19 11:30:00,2025-02-20 11:30:00 to 2025-02-22 11:30:00,115,0.046,1,0.7913201438848956,5.935956857326719,0.0,206.46480178833008,987
26,2025-02-08 11:30:00 to 2025-02-22 11:30:00,2025-02-23 11:30:00 to 2025-02-25 11:30:00,15,0.044,1,-13.466094828289531,15.333924432411976,0.0,203.39556503295896,989
27,2025-02-11 11:30:00 to 2025-02-25 11:30:00,2025-02-26 11:30:00 to 2025-02-28 11:30:00,295,0.08,1,0.1250556438791682,5.461361367604753,0.0,206.08134198188785,991
28,2025-02-14 11:30:00 to 2025-02-28 11:30:00,2025-03-01 11:30:00 to 2025-03-03 11:30:00,275,0.078,1,-0.6797647058823532,6.352844089325059,0.0,210.1884400844574,992
29,2025-02-17 11:30:00 to 2025-03-03 11:30:00,2025-03-04 11:30:00 to 2025-03-06 11:30:00,120,0.078,1,12.200855367941058,3.6384993751944177,0.0,206.02428007125857,993
30,2025-02-20 11:30:00 to 2025-03-06 11:30:00,2025-03-07 11:30:00 to 2025-03-09 11:30:00,140,0.078,1,-2.5747889610389576,5.279518812289004,0.0,206.5978488922119,995
