Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-12-25 10:00:00 to 2021-01-08 10:00:00,2021-01-09 10:00:00 to 2021-01-11 10:00:00,25,0.072,2,4.1682408623361695,3.5273977763136664,100.0,220.30115008354187,236
2,2020-12-28 10:00:00 to 2021-01-11 10:00:00,2021-01-12 10:00:00 to 2021-01-14 10:00:00,300,0.078,2,8.779061554369946,4.512846421561162,100.0,218.23456120491028,237
3,2020-12-31 10:00:00 to 2021-01-14 10:00:00,2021-01-15 10:00:00 to 2021-01-17 10:00:00,300,0.078,0,0.0,0.0,0.0,220.10606002807617,239
4,2021-01-03 10:00:00 to 2021-01-17 10:00:00,2021-01-18 10:00:00 to 2021-01-20 10:00:00,300,0.078,0,0.0,0.0,0.0,215.9575560092926,241
5,2021-01-06 10:00:00 to 2021-01-20 10:00:00,2021-01-21 10:00:00 to 2021-01-23 10:00:00,10,0.032,2,-4.195781647784297,10.169312438873249,50.0,219.6383559703827,242
6,2021-01-09 10:00:00 to 2021-01-23 10:00:00,2021-01-24 10:00:00 to 2021-01-26 10:00:00,50,0.042,2,5.789734590270491,1.3659982727223403,100.0,217.08063101768496,243
7,2021-01-12 10:00:00 to 2021-01-26 10:00:00,2021-01-27 10:00:00 to 2021-01-29 10:00:00,65,0.026,3,2.393684838464724,7.868690054386981,66.66666666666666,215.54654002189636,245
8,2021-01-15 10:00:00 to 2021-01-29 10:00:00,2021-01-30 10:00:00 to 2021-02-01 10:00:00,135,0.02,2,-1.9453868366238567,9.036712926830525,50.0,215.97660493850708,247
9,2021-01-18 10:00:00 to 2021-02-01 10:00:00,2021-02-02 10:00:00 to 2021-02-04 10:00:00,30,0.024,7,9.7583947228698,2.662531154320267,85.71428571428571,217.9835720062256,248
10,2021-01-21 10:00:00 to 2021-02-04 10:00:00,2021-02-05 10:00:00 to 2021-02-07 10:00:00,30,0.022,5,1.4843337682901985,8.78778689547632,80.0,215.35242319107056,249
