Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-09-16 11:30:00 to 2024-09-30 11:30:00,2024-10-01 11:30:00 to 2024-10-03 11:30:00,40,0.02,12,-9.170424616195614,14.293740660675985,75.0,215.55846238136292,917
2,2024-09-19 11:30:00 to 2024-10-03 11:30:00,2024-10-04 11:30:00 to 2024-10-06 11:30:00,40,0.046,1,0.1229329184685229,0.1105563759097094,100.0,220.00927591323853,918
3,2024-09-22 11:30:00 to 2024-10-06 11:30:00,2024-10-07 11:30:00 to 2024-10-09 11:30:00,40,0.046,1,0.5704853893767358,0.5453762182203038,100.0,214.0425992012024,919
4,2024-09-25 11:30:00 to 2024-10-09 11:30:00,2024-10-10 11:30:00 to 2024-10-12 11:30:00,55,0.024,7,17.11877871796878,3.508966000289981,100.0,207.4676229953766,921
5,2024-09-28 11:30:00 to 2024-10-12 11:30:00,2024-10-13 11:30:00 to 2024-10-15 11:30:00,55,0.024,6,-0.5552544228298212,4.015978707467817,83.33333333333334,208.38282775878903,923
6,2024-10-01 11:30:00 to 2024-10-15 11:30:00,2024-10-16 11:30:00 to 2024-10-18 11:30:00,55,0.024,5,2.748010078358002,3.104837356253888,80.0,210.8099360466003,924
7,2024-10-04 11:30:00 to 2024-10-18 11:30:00,2024-10-19 11:30:00 to 2024-10-21 11:30:00,55,0.02,8,0.8405036652499621,2.7999881021490043,87.5,207.78017592430115,925
8,2024-10-07 11:30:00 to 2024-10-21 11:30:00,2024-10-22 11:30:00 to 2024-10-24 11:30:00,45,0.02,4,-3.884578735111354,6.800356286726674,75.0,209.6929109096527,927
9,2024-10-10 11:30:00 to 2024-10-24 11:30:00,2024-10-25 11:30:00 to 2024-10-27 11:30:00,45,0.02,7,-6.565111347914171,11.45411460849251,85.71428571428571,208.0611901283264,929
10,2024-10-13 11:30:00 to 2024-10-27 11:30:00,2024-10-28 11:30:00 to 2024-10-30 11:30:00,90,0.07,1,2.3462112517228526,0.0991041533042348,100.0,210.06616401672363,930
11,2024-10-16 11:30:00 to 2024-10-30 11:30:00,2024-10-31 11:30:00 to 2024-11-02 11:30:00,160,0.07,1,-4.812201155732291,6.387615190970235,0.0,206.0568401813507,931
12,2024-10-19 11:30:00 to 2024-11-02 11:30:00,2024-11-03 11:30:00 to 2024-11-05 11:30:00,90,0.07,0,0.0,0.0,0.0,210.75724387168884,933
13,2024-10-22 11:30:00 to 2024-11-05 11:30:00,2024-11-06 11:30:00 to 2024-11-08 11:30:00,90,0.064,0,0.0,0.0,0.0,210.33078718185425,935
14,2024-10-25 11:30:00 to 2024-11-08 11:30:00,2024-11-09 11:30:00 to 2024-11-11 11:30:00,50,0.02,7,3.622142604707387,4.430391111021379,85.71428571428571,209.5805401802063,936
15,2024-10-28 11:30:00 to 2024-11-11 11:30:00,2024-11-12 11:30:00 to 2024-11-14 11:30:00,25,0.028,6,-4.158925741797647,9.117596692830322,50.0,207.599613904953,937
16,2024-10-31 11:30:00 to 2024-11-14 11:30:00,2024-11-15 11:30:00 to 2024-11-17 11:30:00,250,0.024,2,0.5856747798584183,7.740760438709657,50.0,211.31455206871033,939
17,2024-11-03 11:30:00 to 2024-11-17 11:30:00,2024-11-18 11:30:00 to 2024-11-20 11:30:00,160,0.05,2,0.0428755822798666,2.4335577146733773,50.0,209.1055212020874,941
