Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-10-14 07:00:00 to 2020-10-28 07:00:00,2020-10-29 07:00:00 to 2020-10-31 07:00:00,40,0.02,2,-3.2798520930939774,5.8575368440481554,0.0,208.816339969635,200
2,2020-10-17 07:00:00 to 2020-10-31 07:00:00,2020-11-01 07:00:00 to 2020-11-03 07:00:00,75,0.032,2,1.3738823535347728,2.3461977972551904,50.0,205.5678789615631,201
3,2020-10-20 07:00:00 to 2020-11-03 07:00:00,2020-11-04 07:00:00 to 2020-11-06 07:00:00,80,0.032,1,1.764042525351633,0.2895191364082348,100.0,203.39539694786072,203
4,2020-10-23 07:00:00 to 2020-11-06 07:00:00,2020-11-07 07:00:00 to 2020-11-09 07:00:00,85,0.036,1,1.4493026553730852,4.379544681014689,100.0,209.12952589988708,205
5,2020-10-26 07:00:00 to 2020-11-09 07:00:00,2020-11-10 07:00:00 to 2020-11-12 07:00:00,85,0.036,0,0.0,0.0,0.0,203.8924539089203,206
6,2020-10-29 07:00:00 to 2020-11-12 07:00:00,2020-11-13 07:00:00 to 2020-11-15 07:00:00,20,0.02,2,0.8200999602512092,2.757241693345532,50.0,205.16949725151065,207
7,2020-11-01 07:00:00 to 2020-11-15 07:00:00,2020-11-16 07:00:00 to 2020-11-18 07:00:00,35,0.02,2,0.6838939463114366,0.2877839535328931,50.0,207.98127913475037,209
8,2020-11-04 07:00:00 to 2020-11-18 07:00:00,2020-11-19 07:00:00 to 2020-11-21 07:00:00,35,0.02,3,3.3875316903528985,1.0005282998218985,100.0,203.67607498168945,211
9,2020-11-07 07:00:00 to 2020-11-21 07:00:00,2020-11-22 07:00:00 to 2020-11-24 07:00:00,35,0.02,3,3.633142641623017,1.7465049803623138,100.0,202.37881231307983,212
10,2020-11-10 07:00:00 to 2020-11-24 07:00:00,2020-11-25 07:00:00 to 2020-11-27 07:00:00,35,0.02,7,11.893759872414211,6.324582736750876,71.42857142857143,205.26325464248657,213
11,2020-11-13 07:00:00 to 2020-11-27 07:00:00,2020-11-28 07:00:00 to 2020-11-30 07:00:00,35,0.02,3,2.1415116524919724,1.332354947133371,66.66666666666666,207.96013593673703,215
