Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-12-10 17:00:00 to 2024-12-24 17:00:00,2024-12-25 17:00:00 to 2024-12-27 17:00:00,45,0.06,1,1.5786766675595938,1.6924784820696064,100.0,209.58359909057617,959
2,2024-12-13 17:00:00 to 2024-12-27 17:00:00,2024-12-28 17:00:00 to 2024-12-30 17:00:00,35,0.02,6,-1.0704082612093042,6.818565376582125,50.0,208.57854914665225,961
3,2024-12-16 17:00:00 to 2024-12-30 17:00:00,2024-12-31 17:00:00 to 2025-01-02 17:00:00,35,0.02,2,-0.4946734408888551,2.1264272490430995,0.0,210.9639608860016,962
4,2024-12-19 17:00:00 to 2025-01-02 17:00:00,2025-01-03 17:00:00 to 2025-01-05 17:00:00,35,0.02,3,1.4626222133046394,0.9017144797703116,100.0,202.33278489112857,963
5,2024-12-22 17:00:00 to 2025-01-05 17:00:00,2025-01-06 17:00:00 to 2025-01-08 17:00:00,35,0.02,1,-12.232240039386578,12.23224003938658,0.0,202.71944499015808,965
6,2024-12-25 17:00:00 to 2025-01-08 17:00:00,2025-01-09 17:00:00 to 2025-01-11 17:00:00,10,0.02,0,0.0,0.0,0.0,200.94834804534912,967
7,2024-12-28 17:00:00 to 2025-01-11 17:00:00,2025-01-12 17:00:00 to 2025-01-14 17:00:00,15,0.02,3,-0.54078888284419,3.7406830326721137,66.66666666666666,200.99694991111755,968
8,2024-12-31 17:00:00 to 2025-01-14 17:00:00,2025-01-15 17:00:00 to 2025-01-17 17:00:00,50,0.05,0,0.0,0.0,0.0,198.32302522659305,969
9,2025-01-03 17:00:00 to 2025-01-17 17:00:00,2025-01-18 17:00:00 to 2025-01-20 17:00:00,50,0.05,3,3.6507572723773953,2.7359743525848623,100.0,198.64615607261655,971
10,2025-01-06 17:00:00 to 2025-01-20 17:00:00,2025-01-21 17:00:00 to 2025-01-23 17:00:00,55,0.052,0,0.0,0.0,0.0,198.9028160572052,973
11,2025-01-09 17:00:00 to 2025-01-23 17:00:00,2025-01-24 17:00:00 to 2025-01-26 17:00:00,70,0.054,2,4.381495605010387,0.3348115154778549,100.0,203.09499073028564,974
12,2025-01-12 17:00:00 to 2025-01-26 17:00:00,2025-01-27 17:00:00 to 2025-01-29 17:00:00,100,0.03,3,0.4476622147740454,8.333562188725628,33.33333333333333,202.18499112129211,975
13,2025-01-15 17:00:00 to 2025-01-29 17:00:00,2025-01-30 17:00:00 to 2025-02-01 17:00:00,70,0.054,0,0.0,0.0,0.0,208.46080207824707,977
14,2025-01-18 17:00:00 to 2025-02-01 17:00:00,2025-02-02 17:00:00 to 2025-02-04 17:00:00,130,0.03,1,-19.84490041071248,29.7610228481752,0.0,211.09999585151672,979
15,2025-01-21 17:00:00 to 2025-02-04 17:00:00,2025-02-05 17:00:00 to 2025-02-07 17:00:00,60,0.072,0,0.0,0.0,0.0,208.0589029788971,980
16,2025-01-24 17:00:00 to 2025-02-07 17:00:00,2025-02-08 17:00:00 to 2025-02-10 17:00:00,60,0.072,1,1.509590047393358,3.3267889663916757,100.0,207.02927994728088,981
17,2025-01-27 17:00:00 to 2025-02-10 17:00:00,2025-02-11 17:00:00 to 2025-02-13 17:00:00,20,0.074,0,0.0,0.0,0.0,205.35825204849243,983
18,2025-01-30 17:00:00 to 2025-02-13 17:00:00,2025-02-14 17:00:00 to 2025-02-16 17:00:00,295,0.036,1,-10.503774426379096,13.09909374696524,0.0,210.03512716293335,985
19,2025-02-02 17:00:00 to 2025-02-16 17:00:00,2025-02-17 17:00:00 to 2025-02-19 17:00:00,45,0.042,1,0.513093140794208,3.5805031569555648,100.0,206.37047410011292,986
20,2025-02-05 17:00:00 to 2025-02-19 17:00:00,2025-02-20 17:00:00 to 2025-02-22 17:00:00,105,0.052,0,0.0,0.0,0.0,206.4940979480743,987
21,2025-02-08 17:00:00 to 2025-02-22 17:00:00,2025-02-23 17:00:00 to 2025-02-25 17:00:00,20,0.022,6,2.4965096290630755,2.961477583353289,66.66666666666666,200.51300024986267,989
22,2025-02-11 17:00:00 to 2025-02-25 17:00:00,2025-02-26 17:00:00 to 2025-02-28 17:00:00,20,0.022,2,1.3328440376120123,0.733428861731126,100.0,194.50283694267273,991
23,2025-02-14 17:00:00 to 2025-02-28 17:00:00,2025-03-01 17:00:00 to 2025-03-03 17:00:00,240,0.08,0,0.0,0.0,0.0,199.59049487113953,992
24,2025-02-17 17:00:00 to 2025-03-03 17:00:00,2025-03-04 17:00:00 to 2025-03-06 17:00:00,20,0.026,2,0.751360129525001,2.0938880372347124,50.0,195.73176980018616,993
25,2025-02-20 17:00:00 to 2025-03-06 17:00:00,2025-03-07 17:00:00 to 2025-03-09 17:00:00,15,0.02,2,-1.470738151754558,2.813456617894097,50.0,197.9518518447876,995
