Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-02-07 11:00:00 to 2023-02-21 11:00:00,2023-02-22 11:00:00 to 2023-02-24 11:00:00,240,0.032,1,2.204288171008447,5.215246447015488,100.0,210.3691897392273,623
2,2023-02-10 11:00:00 to 2023-02-24 11:00:00,2023-02-25 11:00:00 to 2023-02-27 11:00:00,300,0.052,1,1.7031250272271974,1.5568784578523265,100.0,207.1473278999329,625
3,2023-02-13 11:00:00 to 2023-02-27 11:00:00,2023-02-28 11:00:00 to 2023-03-02 11:00:00,255,0.03,0,0.0,0.0,0.0,206.95559191703796,626
4,2023-02-16 11:00:00 to 2023-03-02 11:00:00,2023-03-03 11:00:00 to 2023-03-05 11:00:00,275,0.042,1,-5.684243983746892,11.248232827979558,0.0,206.0495548248291,627
5,2023-02-19 11:00:00 to 2023-03-05 11:00:00,2023-03-06 11:00:00 to 2023-03-08 11:00:00,45,0.024,3,1.556650323032136,2.1938033791337537,100.0,205.65075302124023,629
6,2023-02-22 11:00:00 to 2023-03-08 11:00:00,2023-03-09 11:00:00 to 2023-03-11 11:00:00,45,0.022,4,-7.379889352961763,11.694686349852184,50.0,201.30154705047607,631
7,2023-02-25 11:00:00 to 2023-03-11 11:00:00,2023-03-12 11:00:00 to 2023-03-14 11:00:00,30,0.03,1,0.6188603872470594,0.5486423060125162,100.0,202.58663511276245,632
8,2023-02-28 11:00:00 to 2023-03-14 11:00:00,2023-03-15 11:00:00 to 2023-03-17 11:00:00,30,0.03,2,1.060265918668356,7.393624945803061,50.0,204.6534960269928,633
9,2023-03-03 11:00:00 to 2023-03-17 11:00:00,2023-03-18 11:00:00 to 2023-03-20 11:00:00,30,0.02,5,5.696889459085542,2.2282165000531755,100.0,203.97142910957336,635
10,2023-03-06 11:00:00 to 2023-03-20 11:00:00,2023-03-21 11:00:00 to 2023-03-23 11:00:00,30,0.02,3,5.242620058301218,1.5755753858559804,100.0,203.97742009162903,637
11,2023-03-09 11:00:00 to 2023-03-23 11:00:00,2023-03-24 11:00:00 to 2023-03-26 11:00:00,225,0.02,1,-1.0735356729987326,5.775222353748075,0.0,203.04975509643555,638
12,2023-03-12 11:00:00 to 2023-03-26 11:00:00,2023-03-27 11:00:00 to 2023-03-29 11:00:00,230,0.02,1,-3.372618233309368,9.282143778978654,0.0,203.16520810127255,639
13,2023-03-15 11:00:00 to 2023-03-29 11:00:00,2023-03-30 11:00:00 to 2023-04-01 11:00:00,30,0.02,0,0.0,0.0,0.0,202.7504060268402,641
14,2023-03-18 11:00:00 to 2023-04-01 11:00:00,2023-04-02 11:00:00 to 2023-04-04 11:00:00,25,0.024,1,0.1477048734004711,0.9740354745613952,100.0,202.59456825256348,643
15,2023-03-21 11:00:00 to 2023-04-04 11:00:00,2023-04-05 11:00:00 to 2023-04-07 11:00:00,135,0.02,2,0.139892843892776,1.8028810082302464,50.0,199.08974480628967,644
16,2023-03-24 11:00:00 to 2023-04-07 11:00:00,2023-04-08 11:00:00 to 2023-04-10 11:00:00,135,0.02,0,0.0,0.0,0.0,202.09096312522888,645
17,2023-03-27 11:00:00 to 2023-04-10 11:00:00,2023-04-11 11:00:00 to 2023-04-13 11:00:00,255,0.022,1,1.0302492375935617,0.6891317187024532,100.0,194.7346727848053,647
18,2023-03-30 11:00:00 to 2023-04-13 11:00:00,2023-04-14 11:00:00 to 2023-04-16 11:00:00,270,0.024,0,0.0,0.0,0.0,193.09478878974917,649
19,2023-04-02 11:00:00 to 2023-04-16 11:00:00,2023-04-17 11:00:00 to 2023-04-19 11:00:00,55,0.02,2,-0.3677529391345524,1.9651039855721864,0.0,191.86034202575684,650
20,2023-04-05 11:00:00 to 2023-04-19 11:00:00,2023-04-20 11:00:00 to 2023-04-22 11:00:00,40,0.028,2,0.4145517492863655,0.8548712416483217,100.0,195.8425040245056,651
21,2023-04-08 11:00:00 to 2023-04-22 11:00:00,2023-04-23 11:00:00 to 2023-04-25 11:00:00,40,0.022,1,0.4295561643835571,1.2693998234190238,100.0,195.63414216041565,653
22,2023-04-11 11:00:00 to 2023-04-25 11:00:00,2023-04-26 11:00:00 to 2023-04-28 11:00:00,40,0.022,1,1.667496687648054,1.921743776320145,100.0,195.99793481826785,655
23,2023-04-14 11:00:00 to 2023-04-28 11:00:00,2023-04-29 11:00:00 to 2023-05-01 11:00:00,50,0.02,1,0.5889064009475259,1.8358567463846085,100.0,197.46054220199585,656
24,2023-04-17 11:00:00 to 2023-05-01 11:00:00,2023-05-02 11:00:00 to 2023-05-04 11:00:00,50,0.022,0,0.0,0.0,0.0,200.8543632030487,657
25,2023-04-20 11:00:00 to 2023-05-04 11:00:00,2023-05-05 11:00:00 to 2023-05-07 11:00:00,185,0.02,2,-0.8770779370212222,3.338710463461451,50.0,198.74137997627255,659
26,2023-04-23 11:00:00 to 2023-05-07 11:00:00,2023-05-08 11:00:00 to 2023-05-10 11:00:00,120,0.024,1,-0.1862565431323128,4.8864914440300735,0.0,196.4060151576996,661
27,2023-04-26 11:00:00 to 2023-05-10 11:00:00,2023-05-11 11:00:00 to 2023-05-13 11:00:00,35,0.02,2,0.7543266155747733,1.2771214480298696,50.0,197.463858127594,662
28,2023-04-29 11:00:00 to 2023-05-13 11:00:00,2023-05-14 11:00:00 to 2023-05-16 11:00:00,50,0.028,0,0.0,0.0,0.0,199.70393180847168,663
29,2023-05-02 11:00:00 to 2023-05-16 11:00:00,2023-05-17 11:00:00 to 2023-05-19 11:00:00,50,0.028,0,0.0,0.0,0.0,195.97634100914,665
30,2023-05-05 11:00:00 to 2023-05-19 11:00:00,2023-05-20 11:00:00 to 2023-05-22 11:00:00,35,0.02,1,0.5008622061482856,0.2107707537341008,100.0,197.81751704216003,667
31,2023-05-08 11:00:00 to 2023-05-22 11:00:00,2023-05-23 11:00:00 to 2023-05-25 11:00:00,85,0.02,2,1.2739153743828684,1.9242540671212016,100.0,194.2181360721588,668
32,2023-05-11 11:00:00 to 2023-05-25 11:00:00,2023-05-26 11:00:00 to 2023-05-28 11:00:00,260,0.028,0,0.0,0.0,0.0,193.84566283226013,669
33,2023-05-14 11:00:00 to 2023-05-28 11:00:00,2023-05-29 11:00:00 to 2023-05-31 11:00:00,295,0.02,1,-2.551759884782132,2.6979319694899275,0.0,195.2914092540741,671
34,2023-05-17 11:00:00 to 2023-05-31 11:00:00,2023-06-01 11:00:00 to 2023-06-03 11:00:00,260,0.028,1,0.1803863089731749,1.1394874433547932,100.0,193.68449878692627,673
35,2023-05-20 11:00:00 to 2023-06-03 11:00:00,2023-06-04 11:00:00 to 2023-06-06 11:00:00,155,0.03,1,-2.7266741577464746,3.4686777772656328,0.0,195.9325270652771,674
36,2023-05-23 11:00:00 to 2023-06-06 11:00:00,2023-06-07 11:00:00 to 2023-06-09 11:00:00,150,0.046,1,1.601400620475706,1.3522887858189931,100.0,195.79513096809387,675
37,2023-05-26 11:00:00 to 2023-06-09 11:00:00,2023-06-10 11:00:00 to 2023-06-12 11:00:00,260,0.036,1,0.1538229584067448,9.99756848161594,100.0,195.2370698451996,677
38,2023-05-29 11:00:00 to 2023-06-12 11:00:00,2023-06-13 11:00:00 to 2023-06-15 11:00:00,300,0.062,1,0.4268491155046649,1.405095374393266,0.0,201.8707439899445,679
39,2023-06-01 11:00:00 to 2023-06-15 11:00:00,2023-06-16 11:00:00 to 2023-06-18 11:00:00,300,0.062,0,0.0,0.0,0.0,201.33812308311465,680
40,2023-06-04 11:00:00 to 2023-06-18 11:00:00,2023-06-19 11:00:00 to 2023-06-21 11:00:00,300,0.062,0,0.0,0.0,0.0,202.5388560295105,681
41,2023-06-07 11:00:00 to 2023-06-21 11:00:00,2023-06-22 11:00:00 to 2023-06-24 11:00:00,270,0.028,1,1.8654641231302775,0.0279897145447343,100.0,201.20296502113345,683
42,2023-06-10 11:00:00 to 2023-06-24 11:00:00,2023-06-25 11:00:00 to 2023-06-27 11:00:00,155,0.022,1,1.1638920595533455,0.2406575742368126,100.0,197.76902294158936,685
43,2023-06-13 11:00:00 to 2023-06-27 11:00:00,2023-06-28 11:00:00 to 2023-06-30 11:00:00,135,0.022,1,-2.4625161299881073,6.5925133736218555,0.0,195.09025812149048,686
44,2023-06-16 11:00:00 to 2023-06-30 11:00:00,2023-07-01 11:00:00 to 2023-07-03 11:00:00,50,0.02,0,0.0,0.0,0.0,193.8423209190369,687
