Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-10-27 02:30:00 to 2023-11-10 02:30:00,2023-11-11 02:30:00 to 2023-11-13 02:30:00,65,0.026,1,1.7500940871816966,0.5571605955260286,100.0,205.56475019454956,754
2,2023-10-30 02:30:00 to 2023-11-13 02:30:00,2023-11-14 02:30:00 to 2023-11-16 02:30:00,65,0.032,0,0.0,0.0,0.0,207.50445985794067,755
3,2023-11-02 02:30:00 to 2023-11-16 02:30:00,2023-11-17 02:30:00 to 2023-11-19 02:30:00,50,0.02,3,2.6467664669666555,4.973448936239063,66.66666666666666,203.0936913490295,757
4,2023-11-05 02:30:00 to 2023-11-19 02:30:00,2023-11-20 02:30:00 to 2023-11-22 02:30:00,270,0.02,1,-5.538823903308384,9.985320993421,0.0,204.50842118263245,759
5,2023-11-08 02:30:00 to 2023-11-22 02:30:00,2023-11-23 02:30:00 to 2023-11-25 02:30:00,40,0.032,0,0.0,0.0,0.0,206.2789671421051,760
6,2023-11-11 02:30:00 to 2023-11-25 02:30:00,2023-11-26 02:30:00 to 2023-11-28 02:30:00,60,0.02,2,1.0485003820939165,1.112697370882375,100.0,201.6451351642609,761
7,2023-11-14 02:30:00 to 2023-11-28 02:30:00,2023-11-29 02:30:00 to 2023-12-01 02:30:00,175,0.032,1,0.3189524522650754,1.2815716959940255,0.0,207.65956473350525,763
8,2023-11-17 02:30:00 to 2023-12-01 02:30:00,2023-12-02 02:30:00 to 2023-12-04 02:30:00,110,0.022,0,0.0,0.0,0.0,206.8649570941925,765
9,2023-11-20 02:30:00 to 2023-12-04 02:30:00,2023-12-05 02:30:00 to 2023-12-07 02:30:00,100,0.022,1,1.2255986644407495,0.0598501571515634,100.0,206.11783599853516,766
10,2023-11-23 02:30:00 to 2023-12-07 02:30:00,2023-12-08 02:30:00 to 2023-12-10 02:30:00,45,0.02,1,-0.144872850296033,0.144872850296033,0.0,197.09911513328552,767
11,2023-11-26 02:30:00 to 2023-12-10 02:30:00,2023-12-11 02:30:00 to 2023-12-13 02:30:00,100,0.022,2,6.185570878946291,1.842253545551146,100.0,202.1878969669342,769
12,2023-11-29 02:30:00 to 2023-12-13 02:30:00,2023-12-14 02:30:00 to 2023-12-16 02:30:00,60,0.02,4,-3.5039794536071716,7.703231037137019,50.0,201.16371202468872,771
13,2023-12-02 02:30:00 to 2023-12-16 02:30:00,2023-12-17 02:30:00 to 2023-12-19 02:30:00,55,0.022,2,5.07530922290196,1.8850108253532565,100.0,201.45121693611145,772
14,2023-12-05 02:30:00 to 2023-12-19 02:30:00,2023-12-20 02:30:00 to 2023-12-22 02:30:00,55,0.022,0,0.0,0.0,0.0,205.68152284622192,773
