Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-04-30 14:00:00 to 2024-05-14 14:00:00,2024-05-15 14:00:00 to 2024-05-17 14:00:00,40,0.036,1,0.092520195968209,5.371902450663311,100.0,208.0190861225128,847
2,2024-05-03 14:00:00 to 2024-05-17 14:00:00,2024-05-18 14:00:00 to 2024-05-20 14:00:00,35,0.024,3,2.725829559534268,5.411946091487653,66.66666666666666,206.6146218776703,849
3,2024-05-06 14:00:00 to 2024-05-20 14:00:00,2024-05-21 14:00:00 to 2024-05-23 14:00:00,45,0.028,2,4.114880670874954,2.484351604969689,100.0,206.48303508758545,850
4,2024-05-09 14:00:00 to 2024-05-23 14:00:00,2024-05-24 14:00:00 to 2024-05-26 14:00:00,35,0.024,3,0.6871578422404855,5.091938900766094,33.33333333333333,205.32584023475647,851
5,2024-05-12 14:00:00 to 2024-05-26 14:00:00,2024-05-27 14:00:00 to 2024-05-29 14:00:00,200,0.034,1,-2.603724613019567,4.836368391483558,0.0,208.54785704612732,853
6,2024-05-15 14:00:00 to 2024-05-29 14:00:00,2024-05-30 14:00:00 to 2024-06-01 14:00:00,45,0.024,3,4.329720785574718,0.6505569265681137,100.0,205.6010582447052,855
7,2024-05-18 14:00:00 to 2024-06-01 14:00:00,2024-06-02 14:00:00 to 2024-06-04 14:00:00,80,0.02,5,7.417618439392627,4.497532128511289,100.0,204.84948420524597,856
8,2024-05-21 14:00:00 to 2024-06-04 14:00:00,2024-06-05 14:00:00 to 2024-06-07 14:00:00,80,0.02,4,2.3300600729152574,2.459262208376183,75.0,210.41511487960815,857
9,2024-05-24 14:00:00 to 2024-06-07 14:00:00,2024-06-08 14:00:00 to 2024-06-10 14:00:00,45,0.024,3,2.4426985465914184,5.390331435301324,66.66666666666666,204.75576996803284,859
10,2024-05-27 14:00:00 to 2024-06-10 14:00:00,2024-06-11 14:00:00 to 2024-06-13 14:00:00,100,0.024,2,-8.302679035668698,8.58495649425289,0.0,208.97946095466617,861
11,2024-05-30 14:00:00 to 2024-06-13 14:00:00,2024-06-14 14:00:00 to 2024-06-16 14:00:00,160,0.06,2,4.453639006277226,1.136302886117828,100.0,206.56290698051453,862
12,2024-06-02 14:00:00 to 2024-06-16 14:00:00,2024-06-17 14:00:00 to 2024-06-19 14:00:00,160,0.06,1,-6.36269144097083,15.575048778490023,0.0,208.21366620063785,863
13,2024-06-05 14:00:00 to 2024-06-19 14:00:00,2024-06-20 14:00:00 to 2024-06-22 14:00:00,155,0.08,0,0.0,0.0,0.0,209.50898098945615,865
14,2024-06-08 14:00:00 to 2024-06-22 14:00:00,2024-06-23 14:00:00 to 2024-06-25 14:00:00,285,0.066,1,3.404124012022712,0.8604919408550232,100.0,209.12496304512024,867
15,2024-06-11 14:00:00 to 2024-06-25 14:00:00,2024-06-26 14:00:00 to 2024-06-28 14:00:00,295,0.08,0,0.0,0.0,0.0,206.32483100891113,868
16,2024-06-14 14:00:00 to 2024-06-28 14:00:00,2024-06-29 14:00:00 to 2024-07-01 14:00:00,295,0.076,1,-0.6667617718869951,2.5944026085227687,0.0,205.62920308113095,869
17,2024-06-17 14:00:00 to 2024-07-01 14:00:00,2024-07-02 14:00:00 to 2024-07-04 14:00:00,55,0.024,4,0.9853640054722564,5.1021983485359454,50.0,204.2819368839264,871
18,2024-06-20 14:00:00 to 2024-07-04 14:00:00,2024-07-05 14:00:00 to 2024-07-07 14:00:00,10,0.02,4,-6.892227013847023,11.06595337718123,50.0,205.3817322254181,873
19,2024-06-23 14:00:00 to 2024-07-07 14:00:00,2024-07-08 14:00:00 to 2024-07-10 14:00:00,25,0.068,0,0.0,0.0,0.0,203.89965415000916,874
20,2024-06-26 14:00:00 to 2024-07-10 14:00:00,2024-07-11 14:00:00 to 2024-07-13 14:00:00,25,0.068,0,0.0,0.0,0.0,207.64115524291992,875
21,2024-06-29 14:00:00 to 2024-07-13 14:00:00,2024-07-14 14:00:00 to 2024-07-16 14:00:00,25,0.068,0,0.0,0.0,0.0,207.95296716690063,877
22,2024-07-02 14:00:00 to 2024-07-16 14:00:00,2024-07-17 14:00:00 to 2024-07-19 14:00:00,300,0.022,1,1.1445694654390537,1.9160126577355656,0.0,203.76559114456177,879
23,2024-07-05 14:00:00 to 2024-07-19 14:00:00,2024-07-20 14:00:00 to 2024-07-22 14:00:00,150,0.026,2,2.478665887884999,4.554689741345273,100.0,202.33717918395996,880
24,2024-07-08 14:00:00 to 2024-07-22 14:00:00,2024-07-23 14:00:00 to 2024-07-25 14:00:00,220,0.028,3,-7.773429357765709,12.83452295255455,66.66666666666666,200.91505193710327,881
25,2024-07-11 14:00:00 to 2024-07-25 14:00:00,2024-07-26 14:00:00 to 2024-07-28 14:00:00,215,0.026,1,4.701086732113781,1.7995577385589896,100.0,203.09072279930115,883
26,2024-07-14 14:00:00 to 2024-07-28 14:00:00,2024-07-29 14:00:00 to 2024-07-31 14:00:00,240,0.022,4,5.667324231243856,2.574769283888749,75.0,206.21593022346497,885
27,2024-07-17 14:00:00 to 2024-07-31 14:00:00,2024-08-01 14:00:00 to 2024-08-03 14:00:00,185,0.024,1,-10.17336585724077,18.94592732816924,0.0,207.7003471851349,886
28,2024-07-20 14:00:00 to 2024-08-03 14:00:00,2024-08-04 14:00:00 to 2024-08-06 14:00:00,145,0.048,2,-6.832950702332455,25.547340935913407,50.0,209.40327310562137,887
29,2024-07-23 14:00:00 to 2024-08-06 14:00:00,2024-08-07 14:00:00 to 2024-08-09 14:00:00,145,0.07,0,0.0,0.0,0.0,208.1790599822998,889
30,2024-07-26 14:00:00 to 2024-08-09 14:00:00,2024-08-10 14:00:00 to 2024-08-12 14:00:00,145,0.062,1,1.8751699401947917,3.896848725607123,100.0,212.53299808502197,891
31,2024-07-29 14:00:00 to 2024-08-12 14:00:00,2024-08-13 14:00:00 to 2024-08-15 14:00:00,145,0.062,1,3.3284425757911045,3.570591844874287,100.0,209.16574692726135,892
32,2024-08-01 14:00:00 to 2024-08-15 14:00:00,2024-08-16 14:00:00 to 2024-08-18 14:00:00,110,0.05,1,-0.5437525915687547,3.196744282616011,0.0,210.50595116615295,893
33,2024-08-04 14:00:00 to 2024-08-18 14:00:00,2024-08-19 14:00:00 to 2024-08-21 14:00:00,90,0.05,1,1.6717841693511035,0.8363046474432732,100.0,203.32634973526,895
