Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2022-08-25 12:00:00 to 2022-09-08 12:00:00,2022-09-09 12:00:00 to 2022-09-11 12:00:00,25,0.044,0,0.0,0.0,0.0,230.2660357952118,540
2,2022-08-28 12:00:00 to 2022-09-11 12:00:00,2022-09-12 12:00:00 to 2022-09-14 12:00:00,30,0.022,4,-5.658504715106574,8.522820101429009,50.0,230.1891531944275,541
3,2022-08-31 12:00:00 to 2022-09-14 12:00:00,2022-09-15 12:00:00 to 2022-09-17 12:00:00,30,0.034,1,0.6188063199005773,0.8488183916208072,100.0,223.26462697982788,543
4,2022-09-03 12:00:00 to 2022-09-17 12:00:00,2022-09-18 12:00:00 to 2022-09-20 12:00:00,65,0.038,1,-3.4739820432709165,6.194685992930355,0.0,221.5795030593872,545
5,2022-09-06 12:00:00 to 2022-09-20 12:00:00,2022-09-21 12:00:00 to 2022-09-23 12:00:00,165,0.072,0,0.0,0.0,0.0,223.6577980518341,546
6,2022-09-09 12:00:00 to 2022-09-23 12:00:00,2022-09-24 12:00:00 to 2022-09-26 12:00:00,165,0.072,0,0.0,0.0,0.0,227.89479613304135,547
7,2022-09-12 12:00:00 to 2022-09-26 12:00:00,2022-09-27 12:00:00 to 2022-09-29 12:00:00,300,0.056,1,-1.146184354382658,1.6127253534401462,0.0,219.4907341003418,549
8,2022-09-15 12:00:00 to 2022-09-29 12:00:00,2022-09-30 12:00:00 to 2022-10-02 12:00:00,165,0.064,0,0.0,0.0,0.0,216.5017981529236,551
9,2022-09-18 12:00:00 to 2022-10-02 12:00:00,2022-10-03 12:00:00 to 2022-10-05 12:00:00,185,0.026,1,1.1210932475884328,0.5485223116655608,100.0,214.6220827102661,552
10,2022-09-21 12:00:00 to 2022-10-05 12:00:00,2022-10-06 12:00:00 to 2022-10-08 12:00:00,185,0.026,1,-0.690041265474556,0.926264666886406,0.0,218.01692414283752,553
11,2022-09-24 12:00:00 to 2022-10-08 12:00:00,2022-10-09 12:00:00 to 2022-10-11 12:00:00,185,0.026,2,-2.2373685293003835,5.40784099850001,50.0,222.45848512649536,555
12,2022-09-27 12:00:00 to 2022-10-11 12:00:00,2022-10-12 12:00:00 to 2022-10-14 12:00:00,70,0.046,1,1.1004730510105765,1.165187567339336,100.0,243.9311411380768,557
13,2022-09-30 12:00:00 to 2022-10-14 12:00:00,2022-10-15 12:00:00 to 2022-10-17 12:00:00,135,0.042,0,0.0,0.0,0.0,250.52129220962524,558
14,2022-10-03 12:00:00 to 2022-10-17 12:00:00,2022-10-18 12:00:00 to 2022-10-20 12:00:00,135,0.042,1,-0.1409187343500889,2.072862030682582,0.0,265.5423800945282,559
15,2022-10-06 12:00:00 to 2022-10-20 12:00:00,2022-10-21 12:00:00 to 2022-10-23 12:00:00,135,0.036,0,0.0,0.0,0.0,267.065052986145,561
16,2022-10-09 12:00:00 to 2022-10-23 12:00:00,2022-10-24 12:00:00 to 2022-10-26 12:00:00,135,0.034,1,1.4881832252666756,0.7675363970335465,100.0,228.5034551620483,563
17,2022-10-12 12:00:00 to 2022-10-26 12:00:00,2022-10-27 12:00:00 to 2022-10-29 12:00:00,85,0.028,1,4.116797077997126,1.2694589112784151,100.0,225.44551992416385,564
18,2022-10-15 12:00:00 to 2022-10-29 12:00:00,2022-10-30 12:00:00 to 2022-11-01 12:00:00,85,0.026,1,0.2574864349150448,2.7306016410118343,100.0,260.987998008728,565
19,2022-10-18 12:00:00 to 2022-11-01 12:00:00,2022-11-02 12:00:00 to 2022-11-04 12:00:00,75,0.024,1,0.6384925026399105,0.907944953399187,100.0,264.1190257072449,567
20,2022-10-21 12:00:00 to 2022-11-04 12:00:00,2022-11-05 12:00:00 to 2022-11-07 12:00:00,100,0.024,2,-1.4637115195505612,4.768420874311925,50.0,263.3560781478882,569
21,2022-10-24 12:00:00 to 2022-11-07 12:00:00,2022-11-08 12:00:00 to 2022-11-10 12:00:00,100,0.024,2,-15.525695031245688,19.917173663050708,0.0,272.09613823890686,570
22,2022-10-27 12:00:00 to 2022-11-10 12:00:00,2022-11-11 12:00:00 to 2022-11-13 12:00:00,20,0.034,1,0.6725355736413803,1.2042671307791744,100.0,276.5079882144928,571
23,2022-10-30 12:00:00 to 2022-11-13 12:00:00,2022-11-14 12:00:00 to 2022-11-16 12:00:00,20,0.034,0,0.0,0.0,0.0,272.57694482803345,573
24,2022-11-02 12:00:00 to 2022-11-16 12:00:00,2022-11-17 12:00:00 to 2022-11-19 12:00:00,20,0.034,0,0.0,0.0,0.0,276.91026306152344,575
25,2022-11-05 12:00:00 to 2022-11-19 12:00:00,2022-11-20 12:00:00 to 2022-11-22 12:00:00,20,0.034,0,0.0,0.0,0.0,280.5560920238495,576
26,2022-11-08 12:00:00 to 2022-11-22 12:00:00,2022-11-23 12:00:00 to 2022-11-25 12:00:00,195,0.02,1,-0.2957777777777665,1.6010492364840312,0.0,270.7143712043762,577
27,2022-11-11 12:00:00 to 2022-11-25 12:00:00,2022-11-26 12:00:00 to 2022-11-28 12:00:00,260,0.02,1,-2.986391541028552,3.873478733623574,0.0,265.97423696517944,579
28,2022-11-14 12:00:00 to 2022-11-28 12:00:00,2022-11-29 12:00:00 to 2022-12-01 12:00:00,205,0.02,2,1.9830258374270855,0.2917402543824043,100.0,266.31647992134094,581
29,2022-11-17 12:00:00 to 2022-12-01 12:00:00,2022-12-02 12:00:00 to 2022-12-04 12:00:00,290,0.02,1,-0.1252961373390644,0.5468393415179506,0.0,264.84697794914246,582
30,2022-11-20 12:00:00 to 2022-12-04 12:00:00,2022-12-05 12:00:00 to 2022-12-07 12:00:00,295,0.028,1,-0.2724961888369762,0.3758089490269789,0.0,270.7131142616272,583
31,2022-11-23 12:00:00 to 2022-12-07 12:00:00,2022-12-08 12:00:00 to 2022-12-10 12:00:00,295,0.028,1,0.8510639041437753,0.4783294605374262,100.0,242.55055594444275,585
32,2022-11-26 12:00:00 to 2022-12-10 12:00:00,2022-12-11 12:00:00 to 2022-12-13 12:00:00,190,0.028,1,-0.2795434330074385,2.276740105928659,0.0,271.8965699672699,587
33,2022-11-29 12:00:00 to 2022-12-13 12:00:00,2022-12-14 12:00:00 to 2022-12-16 12:00:00,195,0.028,1,-1.716267974660186,1.978164098016392,0.0,272.92038917541504,588
