Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-02-20 17:00:00 to 2024-03-05 17:00:00,2024-03-06 17:00:00 to 2024-03-08 17:00:00,85,0.02,3,4.314969617502211,2.27572117260719,66.66666666666666,211.81584525108337,812
2,2024-02-23 17:00:00 to 2024-03-08 17:00:00,2024-03-09 17:00:00 to 2024-03-11 17:00:00,90,0.022,1,3.1355071843512454,1.9890690823883836,100.0,207.8426308631897,813
3,2024-02-26 17:00:00 to 2024-03-11 17:00:00,2024-03-12 17:00:00 to 2024-03-14 17:00:00,90,0.022,2,-1.023199800873153,4.849857071898297,50.0,210.4277889728546,815
4,2024-02-29 17:00:00 to 2024-03-14 17:00:00,2024-03-15 17:00:00 to 2024-03-17 17:00:00,60,0.02,3,-5.946719637554761,11.56117460033676,33.33333333333333,206.44674611091617,817
5,2024-03-03 17:00:00 to 2024-03-17 17:00:00,2024-03-18 17:00:00 to 2024-03-20 17:00:00,80,0.03,2,-3.1238996423271055,10.342710226398466,50.0,209.0588002204895,818
6,2024-03-06 17:00:00 to 2024-03-20 17:00:00,2024-03-21 17:00:00 to 2024-03-23 17:00:00,20,0.028,1,0.8938081081081146,0.2634954954954992,100.0,209.03847098350525,819
7,2024-03-09 17:00:00 to 2024-03-23 17:00:00,2024-03-24 17:00:00 to 2024-03-26 17:00:00,20,0.028,1,-0.2710830208891275,1.116767995990348,0.0,212.3433129787445,821
8,2024-03-12 17:00:00 to 2024-03-26 17:00:00,2024-03-27 17:00:00 to 2024-03-29 17:00:00,20,0.028,1,0.4145265619484599,0.7873645502501163,100.0,211.5126690864563,823
9,2024-03-15 17:00:00 to 2024-03-29 17:00:00,2024-03-30 17:00:00 to 2024-04-01 17:00:00,295,0.022,2,-2.9309531109577436,4.324703100822045,50.0,209.20478296279907,824
10,2024-03-18 17:00:00 to 2024-04-01 17:00:00,2024-04-02 17:00:00 to 2024-04-04 17:00:00,60,0.022,3,2.7941150194007967,2.349390654073401,100.0,202.54799890518188,825
11,2024-03-21 17:00:00 to 2024-04-04 17:00:00,2024-04-05 17:00:00 to 2024-04-07 17:00:00,70,0.024,1,0.8248043234297984,2.5702722842279524,100.0,203.0280478000641,827
12,2024-03-24 17:00:00 to 2024-04-07 17:00:00,2024-04-08 17:00:00 to 2024-04-10 17:00:00,65,0.026,1,-4.669846012935413,7.395241776054132,0.0,207.8579671382904,829
13,2024-03-27 17:00:00 to 2024-04-10 17:00:00,2024-04-11 17:00:00 to 2024-04-13 17:00:00,85,0.04,1,-12.33395895240048,13.007974783961814,0.0,205.28335785865784,830
14,2024-03-30 17:00:00 to 2024-04-13 17:00:00,2024-04-14 17:00:00 to 2024-04-16 17:00:00,20,0.046,1,3.0503361206510453,0.0251824587089126,100.0,207.30908274650577,831
15,2024-04-02 17:00:00 to 2024-04-16 17:00:00,2024-04-17 17:00:00 to 2024-04-19 17:00:00,20,0.046,0,0.0,0.0,0.0,207.3924391269684,833
16,2024-04-05 17:00:00 to 2024-04-19 17:00:00,2024-04-20 17:00:00 to 2024-04-22 17:00:00,15,0.02,0,0.0,0.0,0.0,206.03968000411987,835
17,2024-04-08 17:00:00 to 2024-04-22 17:00:00,2024-04-23 17:00:00 to 2024-04-25 17:00:00,15,0.02,3,-1.943248365379004,4.319854081552876,66.66666666666666,214.27763724327087,836
18,2024-04-11 17:00:00 to 2024-04-25 17:00:00,2024-04-26 17:00:00 to 2024-04-28 17:00:00,205,0.066,0,0.0,0.0,0.0,215.7018780708313,837
19,2024-04-14 17:00:00 to 2024-04-28 17:00:00,2024-04-29 17:00:00 to 2024-05-01 17:00:00,145,0.03,2,3.2793076033651234,2.884069769461938,100.0,212.42009091377255,839
20,2024-04-17 17:00:00 to 2024-05-01 17:00:00,2024-05-02 17:00:00 to 2024-05-04 17:00:00,125,0.03,0,0.0,0.0,0.0,205.09768724441528,841
21,2024-04-20 17:00:00 to 2024-05-04 17:00:00,2024-05-05 17:00:00 to 2024-05-07 17:00:00,285,0.074,0,0.0,0.0,0.0,206.72972798347473,842
22,2024-04-23 17:00:00 to 2024-05-07 17:00:00,2024-05-08 17:00:00 to 2024-05-10 17:00:00,285,0.042,1,3.033825495342862,2.5939222586212725,100.0,208.36369276046753,843
23,2024-04-26 17:00:00 to 2024-05-10 17:00:00,2024-05-11 17:00:00 to 2024-05-13 17:00:00,300,0.036,1,4.928669564492866,2.031439945559723,100.0,205.45718002319336,845
24,2024-04-29 17:00:00 to 2024-05-13 17:00:00,2024-05-14 17:00:00 to 2024-05-16 17:00:00,205,0.034,2,0.4090147762412016,0.7711349053622619,50.0,202.13887906074524,847
25,2024-05-02 17:00:00 to 2024-05-16 17:00:00,2024-05-17 17:00:00 to 2024-05-19 17:00:00,205,0.034,2,-0.7816226662553345,2.9664472768043386,50.0,206.89177083969116,848
26,2024-05-05 17:00:00 to 2024-05-19 17:00:00,2024-05-20 17:00:00 to 2024-05-22 17:00:00,205,0.034,1,4.83388217324944,2.341559153675408,100.0,206.9827780723572,849
27,2024-05-08 17:00:00 to 2024-05-22 17:00:00,2024-05-23 17:00:00 to 2024-05-25 17:00:00,295,0.036,0,0.0,0.0,0.0,205.1230092048645,851
28,2024-05-11 17:00:00 to 2024-05-25 17:00:00,2024-05-26 17:00:00 to 2024-05-28 17:00:00,135,0.022,1,-0.7008002115830094,2.748993379667906,0.0,207.18729209899905,853
29,2024-05-14 17:00:00 to 2024-05-28 17:00:00,2024-05-29 17:00:00 to 2024-05-31 17:00:00,205,0.022,2,-1.126067395015707,5.436005036989218,0.0,205.93800401687625,854
30,2024-05-17 17:00:00 to 2024-05-31 17:00:00,2024-06-01 17:00:00 to 2024-06-03 17:00:00,150,0.02,0,0.0,0.0,0.0,203.6162669658661,855
31,2024-05-20 17:00:00 to 2024-06-03 17:00:00,2024-06-04 17:00:00 to 2024-06-06 17:00:00,150,0.02,2,0.5992914204321096,0.8649578018783165,50.0,202.023540019989,857
32,2024-05-23 17:00:00 to 2024-06-06 17:00:00,2024-06-07 17:00:00 to 2024-06-09 17:00:00,150,0.022,2,-0.3985716054811564,7.138538380550031,50.0,200.69567012786865,859
33,2024-05-26 17:00:00 to 2024-06-09 17:00:00,2024-06-10 17:00:00 to 2024-06-12 17:00:00,205,0.04,1,2.6372789980985,6.104338444142346,100.0,204.1632308959961,860
34,2024-05-29 17:00:00 to 2024-06-12 17:00:00,2024-06-13 17:00:00 to 2024-06-15 17:00:00,240,0.056,1,-0.6747944794651994,3.929459716861502,0.0,205.3221170902252,861
35,2024-06-01 17:00:00 to 2024-06-15 17:00:00,2024-06-16 17:00:00 to 2024-06-18 17:00:00,65,0.036,2,-6.414856045693723,12.649238798252991,0.0,208.11287188529968,863
36,2024-06-04 17:00:00 to 2024-06-18 17:00:00,2024-06-19 17:00:00 to 2024-06-21 17:00:00,65,0.048,0,0.0,0.0,0.0,209.28838682174683,865
37,2024-06-07 17:00:00 to 2024-06-21 17:00:00,2024-06-22 17:00:00 to 2024-06-24 17:00:00,55,0.044,0,0.0,0.0,0.0,210.6886990070343,866
38,2024-06-10 17:00:00 to 2024-06-24 17:00:00,2024-06-25 17:00:00 to 2024-06-27 17:00:00,55,0.044,0,0.0,0.0,0.0,209.22799682617188,867
39,2024-06-13 17:00:00 to 2024-06-27 17:00:00,2024-06-28 17:00:00 to 2024-06-30 17:00:00,50,0.07,0,0.0,0.0,0.0,211.1871781349182,869
40,2024-06-16 17:00:00 to 2024-06-30 17:00:00,2024-07-01 17:00:00 to 2024-07-03 17:00:00,280,0.026,1,0.8702853014421271,4.450002826211357,100.0,211.2842638492584,871
41,2024-06-19 17:00:00 to 2024-07-03 17:00:00,2024-07-04 17:00:00 to 2024-07-06 17:00:00,260,0.038,1,-10.606282414200214,21.39127870165042,0.0,205.28879117965695,872
42,2024-06-22 17:00:00 to 2024-07-06 17:00:00,2024-07-07 17:00:00 to 2024-07-09 17:00:00,10,0.028,0,0.0,0.0,0.0,205.595675945282,873
43,2024-06-25 17:00:00 to 2024-07-09 17:00:00,2024-07-10 17:00:00 to 2024-07-12 17:00:00,10,0.028,0,0.0,0.0,0.0,208.20121479034424,875
44,2024-06-28 17:00:00 to 2024-07-12 17:00:00,2024-07-13 17:00:00 to 2024-07-15 17:00:00,10,0.028,0,0.0,0.0,0.0,206.7638828754425,877
45,2024-07-01 17:00:00 to 2024-07-15 17:00:00,2024-07-16 17:00:00 to 2024-07-18 17:00:00,10,0.028,0,0.0,0.0,0.0,206.28413486480713,878
46,2024-07-04 17:00:00 to 2024-07-18 17:00:00,2024-07-19 17:00:00 to 2024-07-21 17:00:00,40,0.026,0,0.0,0.0,0.0,204.57834482192993,879
47,2024-07-07 17:00:00 to 2024-07-21 17:00:00,2024-07-22 17:00:00 to 2024-07-24 17:00:00,70,0.022,3,1.5670743706765098,4.704657926937842,66.66666666666666,203.93197107315063,881
