Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-11-03 14:30:00 to 2023-11-17 14:30:00,2023-11-18 14:30:00 to 2023-11-20 14:30:00,65,0.028,1,1.13666820891538,0.8586897846228569,100.0,200.73990893363953,757
2,2023-11-06 14:30:00 to 2023-11-20 14:30:00,2023-11-21 14:30:00 to 2023-11-23 14:30:00,15,0.024,2,0.7306612671325821,1.8181280738158232,100.0,204.6890969276428,759
3,2023-11-09 14:30:00 to 2023-11-23 14:30:00,2023-11-24 14:30:00 to 2023-11-26 14:30:00,20,0.024,0,0.0,0.0,0.0,199.18957209587097,761
4,2023-11-12 14:30:00 to 2023-11-26 14:30:00,2023-11-27 14:30:00 to 2023-11-29 14:30:00,180,0.05,1,0.7645785168539442,1.7205058437985687,100.0,199.36401629447937,762
5,2023-11-15 14:30:00 to 2023-11-29 14:30:00,2023-11-30 14:30:00 to 2023-12-02 14:30:00,300,0.05,0,0.0,0.0,0.0,199.09689593315125,763
6,2023-11-18 14:30:00 to 2023-12-02 14:30:00,2023-12-03 14:30:00 to 2023-12-05 14:30:00,230,0.05,0,0.0,0.0,0.0,198.94540810585025,765
7,2023-11-21 14:30:00 to 2023-12-05 14:30:00,2023-12-06 14:30:00 to 2023-12-08 14:30:00,45,0.022,0,0.0,0.0,0.0,191.82077503204343,767
8,2023-11-24 14:30:00 to 2023-12-08 14:30:00,2023-12-09 14:30:00 to 2023-12-11 14:30:00,240,0.024,2,1.5871152459515725,2.3299539729623775,50.0,194.8379728794098,768
9,2023-11-27 14:30:00 to 2023-12-11 14:30:00,2023-12-12 14:30:00 to 2023-12-14 14:30:00,135,0.02,2,1.760398991280672,0.8725663028945735,100.0,192.48034501075745,769
10,2023-11-30 14:30:00 to 2023-12-14 14:30:00,2023-12-15 14:30:00 to 2023-12-17 14:30:00,120,0.02,3,1.8402401723199,0.6196239110444206,66.66666666666666,193.3872151374817,771
11,2023-12-03 14:30:00 to 2023-12-17 14:30:00,2023-12-18 14:30:00 to 2023-12-20 14:30:00,120,0.02,1,0.2454201130792535,3.361931209540173,100.0,191.6361846923828,773
12,2023-12-06 14:30:00 to 2023-12-20 14:30:00,2023-12-21 14:30:00 to 2023-12-23 14:30:00,120,0.02,1,1.055892172728054,0.3274143031555935,100.0,193.1652419567108,774
13,2023-12-09 14:30:00 to 2023-12-23 14:30:00,2023-12-24 14:30:00 to 2023-12-26 14:30:00,120,0.02,2,2.2569758694825035,0.365125882043796,100.0,195.25574612617493,775
14,2023-12-12 14:30:00 to 2023-12-26 14:30:00,2023-12-27 14:30:00 to 2023-12-29 14:30:00,85,0.02,2,2.4832132110907152,2.9778468148357184,100.0,194.3837878704071,777
15,2023-12-15 14:30:00 to 2023-12-29 14:30:00,2023-12-30 14:30:00 to 2024-01-01 14:30:00,130,0.02,2,1.0272480046294912,1.0840202345442136,100.0,191.06319212913513,779
16,2023-12-18 14:30:00 to 2024-01-01 14:30:00,2024-01-02 14:30:00 to 2024-01-04 14:30:00,170,0.02,1,5.413424041767958,4.814316721066544,0.0,190.79937314987183,780
17,2023-12-21 14:30:00 to 2024-01-04 14:30:00,2024-01-05 14:30:00 to 2024-01-07 14:30:00,175,0.02,2,-0.2474884671025938,5.814303941918171,50.0,190.71547317504883,781
18,2023-12-24 14:30:00 to 2024-01-07 14:30:00,2024-01-08 14:30:00 to 2024-01-10 14:30:00,180,0.02,2,3.67963640572174,3.388129292539696,100.0,197.51344633102417,783
19,2023-12-27 14:30:00 to 2024-01-10 14:30:00,2024-01-11 14:30:00 to 2024-01-13 14:30:00,135,0.036,1,0.6693533462828782,2.424754492802414,0.0,195.1683168411255,785
20,2023-12-30 14:30:00 to 2024-01-13 14:30:00,2024-01-14 14:30:00 to 2024-01-16 14:30:00,200,0.038,0,0.0,0.0,0.0,194.89197897911072,786
21,2024-01-02 14:30:00 to 2024-01-16 14:30:00,2024-01-17 14:30:00 to 2024-01-19 14:30:00,60,0.024,1,-0.526789720468896,1.4686890003717334,0.0,198.13963794708252,787
22,2024-01-05 14:30:00 to 2024-01-19 14:30:00,2024-01-20 14:30:00 to 2024-01-22 14:30:00,175,0.03,1,-0.5940729416098838,1.088680189670383,0.0,197.19735288619995,789
23,2024-01-08 14:30:00 to 2024-01-22 14:30:00,2024-01-23 14:30:00 to 2024-01-25 14:30:00,50,0.026,2,1.251864317137297,0.593120672171048,100.0,195.65053296089172,791
24,2024-01-11 14:30:00 to 2024-01-25 14:30:00,2024-01-26 14:30:00 to 2024-01-28 14:30:00,295,0.036,0,0.0,0.0,0.0,194.64127612113953,792
25,2024-01-14 14:30:00 to 2024-01-28 14:30:00,2024-01-29 14:30:00 to 2024-01-31 14:30:00,290,0.038,0,0.0,0.0,0.0,195.96526980400083,793
26,2024-01-17 14:30:00 to 2024-01-31 14:30:00,2024-02-01 14:30:00 to 2024-02-03 14:30:00,200,0.028,1,1.1473997932913518,0.4776498919178077,100.0,195.30737209320068,795
27,2024-01-20 14:30:00 to 2024-02-03 14:30:00,2024-02-04 14:30:00 to 2024-02-06 14:30:00,270,0.024,0,0.0,0.0,0.0,194.22693395614624,797
28,2024-01-23 14:30:00 to 2024-02-06 14:30:00,2024-02-07 14:30:00 to 2024-02-09 14:30:00,295,0.028,0,0.0,0.0,0.0,191.8583540916443,798
29,2024-01-26 14:30:00 to 2024-02-09 14:30:00,2024-02-10 14:30:00 to 2024-02-12 14:30:00,285,0.026,0,0.0,0.0,0.0,190.4193649291992,799
30,2024-01-29 14:30:00 to 2024-02-12 14:30:00,2024-02-13 14:30:00 to 2024-02-15 14:30:00,235,0.02,0,0.0,0.0,0.0,192.82284283638,801
31,2024-02-01 14:30:00 to 2024-02-15 14:30:00,2024-02-16 14:30:00 to 2024-02-18 14:30:00,70,0.02,1,1.0773389079354456,0.0219772619223214,100.0,189.4375081062317,803
32,2024-02-04 14:30:00 to 2024-02-18 14:30:00,2024-02-19 14:30:00 to 2024-02-21 14:30:00,70,0.02,3,2.7398858202126215,2.1032528955893612,66.66666666666666,189.6900279521942,804
33,2024-02-07 14:30:00 to 2024-02-21 14:30:00,2024-02-22 14:30:00 to 2024-02-24 14:30:00,60,0.02,1,0.6786781915976826,1.3635868983593398,100.0,192.6885278224945,805
34,2024-02-10 14:30:00 to 2024-02-24 14:30:00,2024-02-25 14:30:00 to 2024-02-27 14:30:00,60,0.02,1,0.9431731322397718,0.5523076921390729,100.0,192.44961810112,807
35,2024-02-13 14:30:00 to 2024-02-27 14:30:00,2024-02-28 14:30:00 to 2024-03-01 14:30:00,60,0.02,2,3.8035148141387984,2.172115270162333,100.0,195.3555119037628,809
36,2024-02-16 14:30:00 to 2024-03-01 14:30:00,2024-03-02 14:30:00 to 2024-03-04 14:30:00,40,0.02,1,1.4454180854032894,0.5242274511019732,100.0,195.21079087257385,810
37,2024-02-19 14:30:00 to 2024-03-04 14:30:00,2024-03-05 14:30:00 to 2024-03-07 14:30:00,45,0.02,1,-2.6203849369739873,8.842137855891979,0.0,195.17933297157288,811
38,2024-02-22 14:30:00 to 2024-03-07 14:30:00,2024-03-08 14:30:00 to 2024-03-10 14:30:00,25,0.02,2,1.4934278080699188,0.7921029687733009,100.0,194.40499925613403,813
39,2024-02-25 14:30:00 to 2024-03-10 14:30:00,2024-03-11 14:30:00 to 2024-03-13 14:30:00,30,0.02,2,1.977817868331622,0.4151074886628339,100.0,195.47254490852356,815
40,2024-02-28 14:30:00 to 2024-03-13 14:30:00,2024-03-14 14:30:00 to 2024-03-16 14:30:00,15,0.02,6,5.0555580219219705,1.782580145810635,83.33333333333334,199.15318036079407,816
41,2024-03-02 14:30:00 to 2024-03-16 14:30:00,2024-03-17 14:30:00 to 2024-03-19 14:30:00,15,0.02,5,3.28681124441935,4.012889497257572,80.0,200.70196914672852,817
42,2024-03-05 14:30:00 to 2024-03-19 14:30:00,2024-03-20 14:30:00 to 2024-03-22 14:30:00,15,0.02,1,1.6188779885071016,1.1704362180100585,100.0,197.03085207939148,819
43,2024-03-08 14:30:00 to 2024-03-22 14:30:00,2024-03-23 14:30:00 to 2024-03-25 14:30:00,15,0.02,0,0.0,0.0,0.0,198.04534006118777,821
44,2024-03-11 14:30:00 to 2024-03-25 14:30:00,2024-03-26 14:30:00 to 2024-03-28 14:30:00,15,0.02,1,0.1327845663716834,1.048555424726369,100.0,199.3822329044342,822
45,2024-03-14 14:30:00 to 2024-03-28 14:30:00,2024-03-29 14:30:00 to 2024-03-31 14:30:00,35,0.02,0,0.0,0.0,0.0,201.9527268409729,823
46,2024-03-17 14:30:00 to 2024-03-31 14:30:00,2024-04-01 14:30:00 to 2024-04-03 14:30:00,190,0.022,2,-1.104923286799531,6.662830082228011,0.0,193.38844180107117,825
47,2024-03-20 14:30:00 to 2024-04-03 14:30:00,2024-04-04 14:30:00 to 2024-04-06 14:30:00,215,0.024,1,0.4378348096720037,1.250104729011895,100.0,192.64435815811157,827
48,2024-03-23 14:30:00 to 2024-04-06 14:30:00,2024-04-07 14:30:00 to 2024-04-09 14:30:00,245,0.024,0,0.0,0.0,0.0,196.930584192276,828
49,2024-03-26 14:30:00 to 2024-04-09 14:30:00,2024-04-10 14:30:00 to 2024-04-12 14:30:00,245,0.022,2,2.189730058489695,2.714161054162415,50.0,191.77949786186215,829
50,2024-03-29 14:30:00 to 2024-04-12 14:30:00,2024-04-13 14:30:00 to 2024-04-15 14:30:00,295,0.046,1,-2.7486650886920505,23.35845308154166,0.0,198.16618490219116,831
51,2024-04-01 14:30:00 to 2024-04-15 14:30:00,2024-04-16 14:30:00 to 2024-04-18 14:30:00,145,0.064,1,2.937185958254267,0.919332068311196,100.0,195.71673703193665,833
52,2024-04-04 14:30:00 to 2024-04-18 14:30:00,2024-04-19 14:30:00 to 2024-04-21 14:30:00,145,0.074,0,0.0,0.0,0.0,199.02066564559937,834
53,2024-04-07 14:30:00 to 2024-04-21 14:30:00,2024-04-22 14:30:00 to 2024-04-24 14:30:00,145,0.074,0,0.0,0.0,0.0,199.7993040084839,835
54,2024-04-10 14:30:00 to 2024-04-24 14:30:00,2024-04-25 14:30:00 to 2024-04-27 14:30:00,145,0.074,0,0.0,0.0,0.0,204.02419710159305,837
55,2024-04-13 14:30:00 to 2024-04-27 14:30:00,2024-04-28 14:30:00 to 2024-04-30 14:30:00,25,0.02,2,-0.6343281455016586,2.7833071249074965,0.0,197.58571696281433,839
56,2024-04-16 14:30:00 to 2024-04-30 14:30:00,2024-05-01 14:30:00 to 2024-05-03 14:30:00,100,0.022,1,2.9905439150472923,3.594635909337903,100.0,194.6572148799896,840
57,2024-04-19 14:30:00 to 2024-05-03 14:30:00,2024-05-04 14:30:00 to 2024-05-06 14:30:00,195,0.04,2,1.8262319116166328,0.7279605802656545,50.0,197.18560791015625,841
58,2024-04-22 14:30:00 to 2024-05-06 14:30:00,2024-05-07 14:30:00 to 2024-05-09 14:30:00,195,0.04,0,0.0,0.0,0.0,197.8300249576569,843
59,2024-04-25 14:30:00 to 2024-05-09 14:30:00,2024-05-10 14:30:00 to 2024-05-12 14:30:00,180,0.02,1,0.6854446226596702,1.5507401829712208,100.0,200.48229479789737,845
60,2024-04-28 14:30:00 to 2024-05-12 14:30:00,2024-05-13 14:30:00 to 2024-05-15 14:30:00,180,0.02,2,3.598263680861037,1.332761896343048,100.0,198.9363751411438,846
61,2024-05-01 14:30:00 to 2024-05-15 14:30:00,2024-05-16 14:30:00 to 2024-05-18 14:30:00,170,0.02,1,0.9588320305052548,0.8278953019361835,100.0,195.42294192314148,847
62,2024-05-04 14:30:00 to 2024-05-18 14:30:00,2024-05-19 14:30:00 to 2024-05-21 14:30:00,230,0.02,1,1.0798455656066472,0.8090884930817284,100.0,193.76149678230288,849
63,2024-05-07 14:30:00 to 2024-05-21 14:30:00,2024-05-22 14:30:00 to 2024-05-24 14:30:00,165,0.02,2,2.889160715898797,0.7472938696023808,100.0,194.43565320968628,851
64,2024-05-10 14:30:00 to 2024-05-24 14:30:00,2024-05-25 14:30:00 to 2024-05-27 14:30:00,160,0.022,0,0.0,0.0,0.0,191.89941906929016,852
65,2024-05-13 14:30:00 to 2024-05-27 14:30:00,2024-05-28 14:30:00 to 2024-05-30 14:30:00,290,0.02,0,0.0,0.0,0.0,191.9618299007416,853
66,2024-05-16 14:30:00 to 2024-05-30 14:30:00,2024-05-31 14:30:00 to 2024-06-02 14:30:00,290,0.02,0,0.0,0.0,0.0,189.3618121147156,855
67,2024-05-19 14:30:00 to 2024-06-02 14:30:00,2024-06-03 14:30:00 to 2024-06-05 14:30:00,300,0.02,2,2.7188574994577173,0.5197640196112532,100.0,189.8549997806549,857
68,2024-05-22 14:30:00 to 2024-06-05 14:30:00,2024-06-06 14:30:00 to 2024-06-08 14:30:00,90,0.02,3,2.077814099219322,5.585176029779781,100.0,192.0365891456604,858
69,2024-05-25 14:30:00 to 2024-06-08 14:30:00,2024-06-09 14:30:00 to 2024-06-11 14:30:00,115,0.022,2,-2.112438432918225,3.247566603249332,50.0,193.94370222091675,859
70,2024-05-28 14:30:00 to 2024-06-11 14:30:00,2024-06-12 14:30:00 to 2024-06-14 14:30:00,95,0.02,1,-0.598272612025703,1.9647935084334132,0.0,194.50811100006104,861
71,2024-05-31 14:30:00 to 2024-06-14 14:30:00,2024-06-15 14:30:00 to 2024-06-17 14:30:00,110,0.022,1,-0.1181669449081891,1.6170034329231548,0.0,197.5916509628296,863
72,2024-06-03 14:30:00 to 2024-06-17 14:30:00,2024-06-18 14:30:00 to 2024-06-20 14:30:00,110,0.034,2,1.5094742302027409,10.06607522714012,100.0,198.63441467285156,864
73,2024-06-06 14:30:00 to 2024-06-20 14:30:00,2024-06-21 14:30:00 to 2024-06-23 14:30:00,110,0.036,0,0.0,0.0,0.0,199.9983868598938,865
74,2024-06-09 14:30:00 to 2024-06-23 14:30:00,2024-06-24 14:30:00 to 2024-06-26 14:30:00,260,0.04,0,0.0,0.0,0.0,196.12672901153564,867
75,2024-06-12 14:30:00 to 2024-06-26 14:30:00,2024-06-27 14:30:00 to 2024-06-29 14:30:00,115,0.044,0,0.0,0.0,0.0,198.1245219707489,869
76,2024-06-15 14:30:00 to 2024-06-29 14:30:00,2024-06-30 14:30:00 to 2024-07-02 14:30:00,235,0.02,0,0.0,0.0,0.0,197.7046649456024,870
77,2024-06-18 14:30:00 to 2024-07-02 14:30:00,2024-07-03 14:30:00 to 2024-07-05 14:30:00,85,0.02,2,-10.798101966214182,17.268751160437514,50.0,191.63993072509768,871
78,2024-06-21 14:30:00 to 2024-07-05 14:30:00,2024-07-06 14:30:00 to 2024-07-08 14:30:00,275,0.078,0,0.0,0.0,0.0,194.11151313781735,873
79,2024-06-24 14:30:00 to 2024-07-08 14:30:00,2024-07-09 14:30:00 to 2024-07-11 14:30:00,165,0.076,0,0.0,0.0,0.0,193.3103370666504,875
80,2024-06-27 14:30:00 to 2024-07-11 14:30:00,2024-07-12 14:30:00 to 2024-07-14 14:30:00,165,0.076,0,0.0,0.0,0.0,196.5738809108734,876
81,2024-06-30 14:30:00 to 2024-07-14 14:30:00,2024-07-15 14:30:00 to 2024-07-17 14:30:00,165,0.076,0,0.0,0.0,0.0,199.36505794525144,877
82,2024-07-03 14:30:00 to 2024-07-17 14:30:00,2024-07-18 14:30:00 to 2024-07-20 14:30:00,145,0.026,1,0.516743497741827,2.973230053642853,100.0,195.41322588920593,879
83,2024-07-06 14:30:00 to 2024-07-20 14:30:00,2024-07-21 14:30:00 to 2024-07-23 14:30:00,140,0.028,2,2.264323895728121,1.0917631309063875,50.0,192.5583429336548,881
