Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-01-06 08:15:00 to 2020-01-20 08:15:00,2020-01-21 08:15:00 to 2020-01-23 08:15:00,300,0.03,1,1.7090068965517278,0.135537352549669,100.0,202.2572591304779,59
2,2020-01-09 08:15:00 to 2020-01-23 08:15:00,2020-01-24 08:15:00 to 2020-01-26 08:15:00,270,0.028,1,-0.6218520502043794,3.547795549307635,0.0,198.97942090034485,61
3,2020-01-12 08:15:00 to 2020-01-26 08:15:00,2020-01-27 08:15:00 to 2020-01-29 08:15:00,285,0.032,0,0.0,0.0,0.0,200.96590614318848,62
4,2020-01-15 08:15:00 to 2020-01-29 08:15:00,2020-01-30 08:15:00 to 2020-02-01 08:15:00,60,0.022,1,0.7839499788045758,0.3803525814335341,100.0,202.21254181861875,63
5,2020-01-18 08:15:00 to 2020-02-01 08:15:00,2020-02-02 08:15:00 to 2020-02-04 08:15:00,60,0.022,0,0.0,0.0,0.0,201.3411581516266,65
6,2020-01-21 08:15:00 to 2020-02-04 08:15:00,2020-02-05 08:15:00 to 2020-02-07 08:15:00,55,0.022,0,0.0,0.0,0.0,199.5687849521637,67
7,2020-01-24 08:15:00 to 2020-02-07 08:15:00,2020-02-08 08:15:00 to 2020-02-10 08:15:00,120,0.02,2,2.129010780684712,2.0374512932076505,50.0,198.7669780254364,68
8,2020-01-27 08:15:00 to 2020-02-10 08:15:00,2020-02-11 08:15:00 to 2020-02-13 08:15:00,125,0.02,2,1.0948911285320355,0.2003476343107292,50.0,198.96488285064697,69
9,2020-01-30 08:15:00 to 2020-02-13 08:15:00,2020-02-14 08:15:00 to 2020-02-16 08:15:00,55,0.02,2,-0.4204663241523121,6.695320321907239,50.0,199.68377113342285,71
10,2020-02-02 08:15:00 to 2020-02-16 08:15:00,2020-02-17 08:15:00 to 2020-02-19 08:15:00,70,0.04,1,1.2585770491803487,2.2104252561318196,100.0,199.64109992980957,73
11,2020-02-05 08:15:00 to 2020-02-19 08:15:00,2020-02-20 08:15:00 to 2020-02-22 08:15:00,70,0.04,1,-0.658236256107084,2.4021780595087403,0.0,205.9441077709198,74
12,2020-02-08 08:15:00 to 2020-02-22 08:15:00,2020-02-23 08:15:00 to 2020-02-25 08:15:00,65,0.044,0,0.0,0.0,0.0,206.82032179832456,75
13,2020-02-11 08:15:00 to 2020-02-25 08:15:00,2020-02-26 08:15:00 to 2020-02-28 08:15:00,65,0.044,2,1.7325869103997866,1.7354368814786294,50.0,205.03211283683777,77
14,2020-02-14 08:15:00 to 2020-02-28 08:15:00,2020-02-29 08:15:00 to 2020-03-02 08:15:00,65,0.046,0,0.0,0.0,0.0,208.88755917549133,79
15,2020-02-17 08:15:00 to 2020-03-02 08:15:00,2020-03-03 08:15:00 to 2020-03-05 08:15:00,200,0.076,0,0.0,0.0,0.0,204.28766322135925,80
16,2020-02-20 08:15:00 to 2020-03-05 08:15:00,2020-03-06 08:15:00 to 2020-03-08 08:15:00,40,0.028,0,0.0,0.0,0.0,203.70336389541623,81
17,2020-02-23 08:15:00 to 2020-03-08 08:15:00,2020-03-09 08:15:00 to 2020-03-11 08:15:00,25,0.026,1,1.317520561685069,0.2689790791459452,100.0,205.0645980834961,83
18,2020-02-26 08:15:00 to 2020-03-11 08:15:00,2020-03-12 08:15:00 to 2020-03-14 08:15:00,30,0.02,6,-10.836352177928529,29.84787706122972,50.0,201.49627900123596,85
19,2020-02-29 08:15:00 to 2020-03-14 08:15:00,2020-03-15 08:15:00 to 2020-03-17 08:15:00,10,0.08,0,0.0,0.0,0.0,204.61248016357425,86
20,2020-03-03 08:15:00 to 2020-03-17 08:15:00,2020-03-18 08:15:00 to 2020-03-20 08:15:00,10,0.08,0,0.0,0.0,0.0,211.8212502002716,87
21,2020-03-06 08:15:00 to 2020-03-20 08:15:00,2020-03-21 08:15:00 to 2020-03-23 08:15:00,10,0.08,0,0.0,0.0,0.0,214.9005386829376,89
22,2020-03-09 08:15:00 to 2020-03-23 08:15:00,2020-03-24 08:15:00 to 2020-03-26 08:15:00,300,0.052,0,0.0,0.0,0.0,215.01681780815125,91
23,2020-03-12 08:15:00 to 2020-03-26 08:15:00,2020-03-27 08:15:00 to 2020-03-29 08:15:00,70,0.074,0,0.0,0.0,0.0,208.0998272895813,92
24,2020-03-15 08:15:00 to 2020-03-29 08:15:00,2020-03-30 08:15:00 to 2020-04-01 08:15:00,105,0.032,1,1.5616460502143128,0.4359393062532315,100.0,209.2793560028076,93
25,2020-03-18 08:15:00 to 2020-04-01 08:15:00,2020-04-02 08:15:00 to 2020-04-04 08:15:00,240,0.022,0,0.0,0.0,0.0,206.17783093452456,95
