Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-07-05 12:00:00 to 2023-07-19 12:00:00,2023-07-20 12:00:00 to 2023-07-22 12:00:00,50,0.02,3,1.038273712390383,1.6379202401718878,100.0,215.58343815803528,697
2,2023-07-08 12:00:00 to 2023-07-22 12:00:00,2023-07-23 12:00:00 to 2023-07-25 12:00:00,25,0.026,2,-1.0230465822857333,3.263917414460738,50.0,209.4898600578308,699
3,2023-07-11 12:00:00 to 2023-07-25 12:00:00,2023-07-26 12:00:00 to 2023-07-28 12:00:00,250,0.054,1,1.4207474835886205,1.5881120046763475,100.0,212.68266320228577,700
4,2023-07-14 12:00:00 to 2023-07-28 12:00:00,2023-07-29 12:00:00 to 2023-07-31 12:00:00,130,0.05,0,0.0,0.0,0.0,206.2324562072754,701
5,2023-07-17 12:00:00 to 2023-07-31 12:00:00,2023-08-01 12:00:00 to 2023-08-03 12:00:00,185,0.052,1,3.07271120418849,1.0632198362971186,100.0,204.9692988395691,703
6,2023-07-20 12:00:00 to 2023-08-03 12:00:00,2023-08-04 12:00:00 to 2023-08-06 12:00:00,185,0.036,1,-4.627911478543083,6.277361586571202,0.0,206.84557390213013,705
7,2023-07-23 12:00:00 to 2023-08-06 12:00:00,2023-08-07 12:00:00 to 2023-08-09 12:00:00,145,0.036,1,1.8009121771217724,0.4624680867657107,100.0,207.790913105011,706
8,2023-07-26 12:00:00 to 2023-08-09 12:00:00,2023-08-10 12:00:00 to 2023-08-12 12:00:00,150,0.038,0,0.0,0.0,0.0,203.55504631996155,707
9,2023-07-29 12:00:00 to 2023-08-12 12:00:00,2023-08-13 12:00:00 to 2023-08-15 12:00:00,35,0.038,0,0.0,0.0,0.0,205.24071669578552,709
10,2023-08-01 12:00:00 to 2023-08-15 12:00:00,2023-08-16 12:00:00 to 2023-08-18 12:00:00,10,0.02,6,5.205572735292426,5.634220035365552,83.33333333333334,200.8844888210297,711
11,2023-08-04 12:00:00 to 2023-08-18 12:00:00,2023-08-19 12:00:00 to 2023-08-21 12:00:00,195,0.062,0,0.0,0.0,0.0,200.4698088169098,712
12,2023-08-07 12:00:00 to 2023-08-21 12:00:00,2023-08-22 12:00:00 to 2023-08-24 12:00:00,195,0.062,1,1.5573949843260195,1.4511922165551194,100.0,205.34786939620972,713
