Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return,Original Return (%),Is Outlier,Z-Score
top1,2019,10,October,2019-10,2019-10-01 17:45:00,2019-10-28 17:45:00,10000.0,10027.158360045849,0.2715836004584915,0.0,1.760062892511486,2,0.0,10027.158360045849,,,
top1,2019,11,November,2019-11,2019-11-06 17:45:00,2019-11-30 17:45:00,10027.158360045849,10232.6961310227,2.0498107599041804,0.0,14.55221279501902,1,0.0,10232.6961310227,,,
top1,2019,12,December,2019-12,2019-12-03 17:45:00,2019-12-29 07:45:00,10232.6961310227,10230.150013103002,-0.024882180483964955,-0.024882180483964955,0.1612549597275615,2,0.0,10230.150013103002,,,
top1,2020,1,January,2020-01,2020-01-01 07:45:00,2020-01-31 14:15:00,10230.150013103002,12231.36618214994,19.56194353439331,-0.5991456498007586,18.457262376373876,6,66.66666666666666,12231.366182149943,,,
top1,2020,2,February,2020-02,2020-02-02 08:00:00,2020-02-28 21:15:00,12231.36618214994,13099.633889266752,7.098697677647259,-8.142350356837003,43.540073159517014,7,57.14285714285714,13099.633889266754,,,
top1,2020,3,March,2020-03,2020-03-01 02:00:00,2020-03-29 08:00:00,13099.633889266752,13111.28373539683,0.08893260856415175,-21.56466709328676,77.29871507934756,7,42.857142857142854,13111.283735396833,,,
top1,2020,4,April,2020-04,2020-04-02 08:00:00,2020-04-30 07:45:00,13111.28373539683,14129.848990757184,7.768615765750764,0.0,22.39840013784457,2,0.0,14129.848990757186,,,
top1,2020,5,May,2020-05,2020-05-04 08:00:00,2020-05-28 08:00:00,14129.848990757184,14713.231487275078,4.128724212831325,-1.014286864952274,11.185973420170022,3,33.33333333333333,14713.23148727508,,,
top1,2020,6,June,2020-06,2020-06-01 08:00:00,2020-06-30 08:00:00,14713.231487275078,15305.91065151004,4.028205256931816,-0.8820292301445876,9.385790825339667,3,66.66666666666666,15305.910651510041,,,
top1,2020,7,July,2020-07,2020-07-03 08:00:00,2020-07-31 08:00:00,15305.91065151004,15497.23143617035,1.2499797562939285,-2.8537465403141393,13.26072538082479,5,40.0,15497.231436170354,,,
top1,2020,8,August,2020-08,2020-08-01 02:15:00,2020-08-31 12:00:00,15497.23143617035,17700.821633440308,14.21925075034245,-4.135719377699665,17.95437072295375,8,62.5,17700.82163344031,,,
top1,2020,9,September,2020-09,2020-09-01 07:00:00,2020-09-29 07:00:00,17700.821633440308,18533.70323774227,4.705327365869194,-6.732564795654461,27.417446979660486,8,50.0,18533.703237742273,,,
top1,2020,10,October,2020-10,2020-10-03 09:00:00,2020-10-31 08:00:00,18533.70323774227,20846.885893492625,12.480952274231738,-6.178084209087331,31.463992901308153,5,40.0,20846.885893492625,,,
top1,2020,11,November,2020-11,2020-11-01 07:00:00,2020-11-30 11:45:00,20846.885893492625,19797.862874258215,-5.032037037061077,-15.058169818092804,52.05351224576654,7,42.857142857142854,19797.862874258215,,,
top1,2020,12,December,2020-12,2020-12-01 14:45:00,2020-12-30 08:00:00,19797.862874258215,20141.710174157084,1.736789986286591,-6.873204177267988,21.390907182810196,5,60.0,20141.710174157084,,,
top1,2021,1,January,2021-01,2021-01-03 08:00:00,2021-01-31 07:00:00,20141.710174157084,25062.43317543742,24.43051239806784,-1.7049481764648045,26.68421916864432,4,100.0,25062.433175437425,,,
top1,2021,2,February,2021-02,2021-02-01 01:15:00,2021-02-28 08:00:00,25062.43317543742,27054.558266724787,7.9486499867848455,-8.14052205806124,63.9069473271352,7,71.42857142857143,36286.6225709403,44.78491500379622,True,3.661311054075545
top1,2021,3,March,2021-03,2021-03-01 08:00:00,2021-03-30 18:00:00,27054.558266724787,29586.130500471394,9.357285411162163,-3.556723123155925,28.427032630805048,4,50.0,39682.06541097438,,,
top1,2021,4,April,2021-04,2021-04-01 00:15:00,2021-04-29 07:00:00,29586.130500471394,35816.74569138173,21.05924325187123,-6.231552311503674,35.83998242311468,9,55.55555555555556,48038.80809323812,,,
top1,2021,5,May,2021-05,2021-05-03 08:00:00,2021-05-31 07:00:00,35816.74569138173,46974.82098190284,31.153235937920453,-4.792629607252829,42.0860083148063,7,85.71428571428571,63004.451320289416,,,
top1,2021,6,June,2021-06,2021-06-04 03:00:00,2021-06-30 06:15:00,46974.82098190284,40463.661035762474,-13.8609574449444,-21.709237208499587,53.44970899731033,6,50.0,54271.43113436339,,,
top1,2021,7,July,2021-07,2021-07-01 05:00:00,2021-07-30 04:00:00,40463.661035762474,41562.53951695517,2.715716900211995,-8.52352324626704,25.3398952769042,8,50.0,55745.289561666206,,,
top1,2021,8,August,2021-08,2021-08-03 07:00:00,2021-08-31 08:00:00,41562.53951695517,47152.54757994134,13.449630672124258,-4.407513900265602,24.65206677030613,7,57.14285714285714,63242.82512481655,,,
top1,2021,9,September,2021-09,2021-09-01 07:00:00,2021-09-30 15:15:00,47152.54757994134,62416.34039892666,32.37108831311275,-9.582887083666547,58.139240201448104,6,66.66666666666666,83715.21589767838,,,
top1,2021,10,October,2021-10,2021-10-02 07:00:00,2021-10-29 17:45:00,62416.34039892666,66915.44093765569,7.208209436781399,-0.754022920977615,12.432579948551147,6,50.0,89749.58399003676,,,
top1,2021,11,November,2021-11,2021-11-06 07:00:00,2021-11-30 20:45:00,66915.44093765569,78417.2689932789,17.18860085871561,-1.3902506158412486,17.79922789033577,4,25.0,105176.2817544419,,,
