Portfolio,Start Date,End Date,Total Return (%),CAGR (%),Max Drawdown (%),Recovery Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Volatility (%),Win Rate (%),Profit Factor,Average Profit (%),Average Loss (%),Profit/Loss Ratio,Number of Trades,Number of Periods
top4,2020-01-22 07:45:00,2025-03-06 06:45:00,62225.74476128567,251.68099620192996,-25.400581506561736,2449.7763858363196,3.355275612226244,2.4935690922920832,9.90847379367725,38.23119985757329,54.96453900709219,29.945712743723274,2.810953157481468,-0.11456367363345574,24.53616463517972,282,626
top6,2020-03-01 08:00:00,2025-03-05 16:00:00,24275.39563172146,199.51051630973956,-27.614949757976603,879.0671663166612,3.4907889303012594,2.5083128722729837,7.2247285639949705,31.63617255219936,51.20274914089347,8.682233686721098,2.4571859831125473,-0.2969644635973542,8.27434351351944,291,629
top1,2019-10-01 17:45:00,2025-03-05 12:15:00,21063.38271000244,168.4005606885184,-24.00414789710804,877.489290612982,2.4944202131652293,1.7659562629992704,7.015477550394817,39.687175593800426,53.31325301204819,4.560434066808708,2.6310962520960968,-0.6588281132306685,3.9936004539850276,332,661
top2,2019-12-17 07:45:00,2025-03-06 06:00:00,16298.208963640805,165.8569232154657,-28.31484875402618,575.6064284582594,2.5223644909655416,1.9668370409242275,5.857595237618282,38.24469071827326,52.11726384364821,7.070516772765129,2.563745824092549,-0.394663040192394,6.496037284977965,307,646
top10,2020-02-11 08:00:00,2025-03-04 04:45:00,10282.329440299985,150.4543475105355,-26.506174875171805,387.9220403820466,3.0732190955122505,2.074905009996794,5.676199912627352,33.737908038525504,50.204081632653065,3.7627626147559283,2.5255757176876976,-0.6767041715603359,3.732171048782302,245,581
top7,2020-01-29 17:45:00,2025-03-05 07:45:00,7448.101172869123,133.64401531055088,-34.30837719228701,217.09278556444102,2.5104328643553058,1.7348147269090024,3.8953755976716926,36.315405524117224,48.561151079136685,4.516531973514163,2.4339060022951715,-0.5087406537171925,4.784178312685373,278,614
top3,2020-01-10 07:45:00,2025-03-04 14:00:00,7293.166162257357,130.71719432704793,-35.60910204419092,204.8118526888584,2.3515154776397202,1.6722596371221055,3.6708927443558617,37.028418178399455,48.754448398576514,3.192139694756849,2.484145477896018,-0.7403774997490751,3.355241722956103,281,645
top5,2020-02-03 08:00:00,2025-03-04 21:30:00,4999.795502701716,116.7886032688668,-27.352471238333166,182.79136313265707,2.02609794791101,1.3899891375198616,4.269764229024879,40.76819213303355,53.44827586206896,3.8822631746396,2.3625815977295495,-0.6987145291956907,3.381325990815135,290,629
top9,2020-02-27 08:00:00,2025-03-04 14:15:00,3192.3895954774935,100.70105616822191,-30.33959207296475,105.22190238418511,2.5758436561916804,1.785089604579309,3.319130195489854,31.29732705461652,46.6403162055336,5.580121348510761,2.2186689817291607,-0.3475338464457134,6.384037136008071,253,590
top8,2020-02-15 07:45:00,2025-03-04 20:30:00,1285.8064300164986,68.32264664693881,-30.674961834816493,41.917132185543295,1.9000660409030874,1.321938670063002,2.227309915326176,32.4381086178376,44.93927125506073,6.434676688008555,2.3531867408222302,-0.2984789666804105,7.88392819431679,247,598
