Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return,Original Return (%),Is Outlier,Z-Score
top7,2020,2,February,2020-02,2020-02-11 08:00:00,2020-02-13 13:45:00,10000.0,10326.057840819543,3.2605784081954248,0.0,0.0,1,100.0,10326.057840819543,,,
top7,2020,3,March,2020-03,2020-03-17 08:00:00,2020-03-29 08:00:00,10326.057840819543,10326.057840819543,0.0,0.0,0.0,1,0.0,10326.057840819543,,,
top7,2020,4,April,2020-04,2020-04-03 07:45:00,2020-04-27 08:00:00,10326.057840819543,10528.096518299395,1.9565906040268422,0.0,8.681304435152548,3,33.33333333333333,10528.096518299395,,,
top7,2020,5,May,2020-05,2020-05-01 08:45:00,2020-05-28 08:00:00,10528.096518299395,10844.835258306788,3.00850908287984,0.0,10.984747918439487,3,33.33333333333333,10844.835258306788,,,
top7,2020,6,June,2020-06,2020-06-02 07:45:00,2020-06-28 15:30:00,10844.835258306788,11721.416796374293,8.082940101797043,-0.33822143651119907,28.30407725020531,3,33.33333333333333,11721.416796374293,,,
top7,2020,7,July,2020-07,2020-07-03 09:00:00,2020-07-27 08:45:00,11721.416796374293,13077.138474844865,11.566192910143158,-1.3647023871305453,27.150079094100626,4,50.0,13077.138474844867,,,
top7,2020,8,August,2020-08,2020-08-01 07:45:00,2020-08-28 07:45:00,13077.138474844865,15749.627709979643,20.436345766893638,-2.4138160204066006,32.05064196354334,5,60.0,15749.627709979646,,,
top7,2020,9,September,2020-09,2020-09-01 08:00:00,2020-09-29 07:00:00,15749.627709979643,18079.626048871825,14.793989939303742,-0.49175007036309504,20.360472429517344,4,25.0,18079.62604887183,,,
top7,2020,10,October,2020-10,2020-10-01 20:00:00,2020-10-31 09:00:00,18079.626048871825,18216.075415642616,0.7547134349015217,-1.4206690598912886,9.000094826230217,3,0.0,18216.07541564262,,,
top7,2020,11,November,2020-11,2020-11-01 07:00:00,2020-11-30 23:45:00,18216.075415642616,22619.377753626868,24.17261807229356,-6.244521825046101,53.77954922635748,7,42.857142857142854,22619.37775362687,,,
top7,2020,12,December,2020-12,2020-12-01 14:45:00,2020-12-30 07:00:00,22619.377753626868,20310.691565526322,-10.206674176659714,-11.564416437349912,33.64692598543018,5,20.0,20310.691565526326,,,
top7,2021,1,January,2021-01,2021-01-03 07:00:00,2021-01-31 07:00:00,20310.691565526322,21983.750911727824,8.237333233109677,-15.35876723090971,69.49030329778205,9,100.0,36471.83343723805,79.56962873259468,True,5.139458843741168
top7,2021,2,February,2021-02,2021-02-04 08:45:00,2021-02-28 09:00:00,21983.750911727824,26263.369018370184,19.46718794179605,-2.667364681392137,28.846558411870777,3,100.0,43571.87379828399,,,
