Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%)
top7,2020,2,February,2020-02,2020-02-11 08:00:00,2020-02-13 13:45:00,10000.0,10326.057840819543,3.2605784081954248,0.0,0.0,1,100.0
top7,2020,3,March,2020-03,2020-03-17 08:00:00,2020-03-29 08:00:00,10326.057840819543,10326.057840819543,0.0,0.0,0.0,1,0.0
top7,2020,4,April,2020-04,2020-04-03 07:45:00,2020-04-27 08:00:00,10326.057840819543,10528.096518299395,1.9565906040268422,0.0,8.681304435152548,3,33.33333333333333
top7,2020,5,May,2020-05,2020-05-01 08:45:00,2020-05-28 08:00:00,10528.096518299395,10844.835258306788,3.00850908287984,0.0,10.984747918439487,3,33.33333333333333
top7,2020,6,June,2020-06,2020-06-02 07:45:00,2020-06-28 15:30:00,10844.835258306788,11721.416796374291,8.082940101797043,-0.33822143651119907,28.30407725020531,3,33.33333333333333
top7,2020,7,July,2020-07,2020-07-03 09:00:00,2020-07-27 08:45:00,11721.416796374291,13077.138474844864,11.566192910143158,-1.3647023871305453,27.150079094100626,4,50.0
top7,2020,8,August,2020-08,2020-08-01 07:45:00,2020-08-28 07:45:00,13077.138474844864,15749.627709979643,20.436345766893638,-2.4138160204066006,32.05064196354334,5,60.0
top7,2020,9,September,2020-09,2020-09-01 08:00:00,2020-09-29 07:00:00,15749.627709979643,18079.626048871825,14.793989939303742,-0.49175007036309504,20.360472429517344,4,25.0
top7,2020,10,October,2020-10,2020-10-01 20:00:00,2020-10-31 09:00:00,18480.928259582666,18620.40630805225,0.7547134349015217,-1.4206690598912886,9.000094826230217,3,0.0
top7,2020,11,November,2020-11,2020-11-01 07:00:00,2020-11-30 23:45:00,18620.40630805225,23121.44600840698,24.17261807229356,-6.244521825046101,53.77954922635748,7,42.857142857142854
top7,2020,12,December,2020-12,2020-12-01 14:45:00,2020-12-30 07:00:00,23671.93773372974,21255.82017794618,-10.206674176659714,-11.564416437349912,33.64692598543018,5,20.0
top7,2021,1,January,2021-01,2021-01-03 07:00:00,2021-01-31 07:00:00,21255.82017794618,38168.997377605905,79.56962873259468,-15.35876723090971,69.49030329778205,9,100.0
top7,2021,2,February,2021-02,2021-02-04 08:45:00,2021-02-28 09:00:00,38168.997377605905,45599.42783260365,19.46718794179605,-2.667364681392137,28.846558411870777,3,100.0
top7,2021,3,March,2021-03,2021-03-04 07:30:00,2021-03-28 08:00:00,45599.42783260365,53642.45710498169,17.638443407457103,-1.9601045927066352,22.56634635953585,6,83.33333333333334
top7,2021,4,April,2021-04,2021-04-01 07:00:00,2021-04-30 08:00:00,53642.45710498169,62626.049171460414,16.74716735830588,-13.454706285409069,46.79552679779618,6,83.33333333333334
top7,2021,5,May,2021-05,2021-05-02 17:45:00,2021-05-31 08:00:00,63799.4129712651,72275.15296195306,13.284981155712817,-8.190677898016174,56.02252055255546,8,37.5
top7,2021,6,June,2021-06,2021-06-01 08:45:00,2021-06-28 07:00:00,72275.15296195306,72940.10111411454,0.9200231682823468,-9.18835353671026,44.10313482013645,6,33.33333333333333
top7,2021,7,July,2021-07,2021-07-02 07:00:00,2021-07-30 07:00:00,72940.10111411454,72025.18720421148,-1.254335949537111,-10.056260232489468,42.98157518055679,4,50.0
top7,2021,8,August,2021-08,2021-08-01 20:15:00,2021-08-31 07:00:00,72824.05702080006,90182.45772372824,23.836080291393635,-1.6291876762146162,22.4042581447355,8,75.0
top7,2021,9,September,2021-09,2021-09-01 07:00:00,2021-09-30 12:00:00,90182.45772372824,97251.30262290545,7.83838129676222,-2.5774112807223637,20.93672743857355,5,80.0
top7,2021,10,October,2021-10,2021-10-01 05:00:00,2021-10-30 07:00:00,97994.15853365774,95211.94745858472,-2.839160126179785,-5.90562268478979,26.442103089179913,5,40.0
top7,2021,11,November,2021-11,2021-11-03 07:00:00,2021-11-28 07:00:00,95211.94745858472,107038.38332615186,12.421167913524078,-11.868968724909445,59.19006996465856,3,33.33333333333333
top7,2021,12,December,2021-12,2021-12-01 09:00:00,2021-12-30 10:00:00,107038.38332615186,114225.4970713678,6.7145200832456675,-0.1898514782608829,23.577418971716924,3,33.33333333333333
top7,2022,1,January,2022-01,2022-01-02 08:00:00,2022-01-30 09:00:00,114225.4970713678,120594.18681740647,5.575541283974039,-3.3863126961892864,23.612866401602503,6,50.0
top7,2022,2,February,2022-02,2022-02-03 08:00:00,2022-02-28 03:30:00,120594.18681740647,133360.59077249162,10.586251536663994,-3.0466205965901993,21.882926256699527,5,40.0
top7,2022,3,March,2022-03,2022-03-03 04:00:00,2022-03-31 07:00:00,133360.59077249162,149059.8042392933,11.772003540074284,-2.005557280372272,19.266543766967963,5,60.0
top7,2022,4,April,2022-04,2022-04-01 18:15:00,2022-04-28 03:30:00,155409.24285410304,154735.18309825487,-0.43373208920460815,-12.061432214791278,45.806391243461796,5,60.0
top7,2022,5,May,2022-05,2022-05-02 03:30:00,2022-05-30 09:00:00,154735.18309825487,127977.00072062714,-17.292888302356314,-18.825753787541476,70.11667994940144,4,0.0
top7,2022,6,June,2022-06,2022-06-03 03:30:00,2022-06-27 08:00:00,127977.00072062714,148636.82297826651,16.143386812713032,-5.055939373704243,21.677581081316113,6,33.33333333333333
top7,2022,7,July,2022-07,2022-07-01 08:00:00,2022-07-31 02:15:00,148636.82297826651,164647.92967726063,10.771965101363378,-1.6043641896834826,13.402086491327179,6,66.66666666666666
