Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-03-23 15:00:00 to 2023-04-06 15:00:00,2023-04-07 15:00:00 to 2023-04-09 15:00:00,15,0.028,0,0.0,0.0,0.0,205.37690210342407,645
2,2023-03-26 15:00:00 to 2023-04-09 15:00:00,2023-04-10 15:00:00 to 2023-04-12 15:00:00,15,0.028,0,0.0,0.0,0.0,202.79148721694943,647
3,2023-03-29 15:00:00 to 2023-04-12 15:00:00,2023-04-13 15:00:00 to 2023-04-15 15:00:00,55,0.026,1,2.805602419354837,0.5805012096774226,100.0,199.3008587360382,648
4,2023-04-01 15:00:00 to 2023-04-15 15:00:00,2023-04-16 15:00:00 to 2023-04-18 15:00:00,115,0.02,3,4.059247108028376,2.497409398448503,100.0,200.88360381126404,649
5,2023-04-04 15:00:00 to 2023-04-18 15:00:00,2023-04-19 15:00:00 to 2023-04-21 15:00:00,175,0.02,1,-9.700922447988342,11.794058487846671,0.0,196.01843285560608,651
6,2023-04-07 15:00:00 to 2023-04-21 15:00:00,2023-04-22 15:00:00 to 2023-04-24 15:00:00,50,0.022,2,1.4306592908963829,3.5844187181836142,50.0,197.2834930419922,653
7,2023-04-10 15:00:00 to 2023-04-24 15:00:00,2023-04-25 15:00:00 to 2023-04-27 15:00:00,50,0.022,1,4.355872942668957,2.7849487190334914,100.0,202.207227230072,654
8,2023-04-13 15:00:00 to 2023-04-27 15:00:00,2023-04-28 15:00:00 to 2023-04-30 15:00:00,50,0.02,1,0.1197731765384742,1.0003017666918967,100.0,202.91659998893735,655
9,2023-04-16 15:00:00 to 2023-04-30 15:00:00,2023-05-01 15:00:00 to 2023-05-03 15:00:00,45,0.03,1,0.0175539846714673,0.5109867350678848,100.0,206.21521162986755,657
10,2023-04-19 15:00:00 to 2023-05-03 15:00:00,2023-05-04 15:00:00 to 2023-05-06 15:00:00,105,0.028,1,-0.9710289916212604,1.8249440462013369,0.0,202.1387219429016,659
11,2023-04-22 15:00:00 to 2023-05-06 15:00:00,2023-05-07 15:00:00 to 2023-05-09 15:00:00,45,0.032,2,3.781568020132981,0.921513506258032,100.0,195.5437648296356,660
12,2023-04-25 15:00:00 to 2023-05-09 15:00:00,2023-05-10 15:00:00 to 2023-05-12 15:00:00,50,0.034,1,1.3575067796610163,0.691815230190791,100.0,198.23915600776672,661
13,2023-04-28 15:00:00 to 2023-05-12 15:00:00,2023-05-13 15:00:00 to 2023-05-15 15:00:00,45,0.032,0,0.0,0.0,0.0,198.9238510131836,663
14,2023-05-01 15:00:00 to 2023-05-15 15:00:00,2023-05-16 15:00:00 to 2023-05-18 15:00:00,45,0.032,0,0.0,0.0,0.0,198.15975999832153,665
15,2023-05-04 15:00:00 to 2023-05-18 15:00:00,2023-05-19 15:00:00 to 2023-05-21 15:00:00,45,0.032,0,0.0,0.0,0.0,200.8711268901825,666
16,2023-05-07 15:00:00 to 2023-05-21 15:00:00,2023-05-22 15:00:00 to 2023-05-24 15:00:00,220,0.02,2,-0.5498626969886572,1.5398447258528736,50.0,197.08223509788513,667
17,2023-05-10 15:00:00 to 2023-05-24 15:00:00,2023-05-25 15:00:00 to 2023-05-27 15:00:00,155,0.02,1,1.2824994646099368,1.3328511144551058,100.0,194.32923793792725,669
18,2023-05-13 15:00:00 to 2023-05-27 15:00:00,2023-05-28 15:00:00 to 2023-05-30 15:00:00,225,0.02,0,0.0,0.0,0.0,195.55012226104736,671
19,2023-05-16 15:00:00 to 2023-05-30 15:00:00,2023-05-31 15:00:00 to 2023-06-02 15:00:00,270,0.024,1,0.3340048096455029,2.966105378188601,100.0,193.43071508407593,672
20,2023-05-19 15:00:00 to 2023-06-02 15:00:00,2023-06-03 15:00:00 to 2023-06-05 15:00:00,295,0.028,1,-0.938539475908692,1.0148557670175085,0.0,196.56614089012143,673
21,2023-05-22 15:00:00 to 2023-06-05 15:00:00,2023-06-06 15:00:00 to 2023-06-08 15:00:00,300,0.062,0,0.0,0.0,0.0,196.8001279830933,675
22,2023-05-25 15:00:00 to 2023-06-08 15:00:00,2023-06-09 15:00:00 to 2023-06-11 15:00:00,300,0.034,1,-4.574793529656254,8.359212441581477,0.0,198.11151003837583,677
23,2023-05-28 15:00:00 to 2023-06-11 15:00:00,2023-06-12 15:00:00 to 2023-06-14 15:00:00,15,0.02,1,0.3976244487744952,0.4508651716187419,100.0,200.579509973526,678
24,2023-05-31 15:00:00 to 2023-06-14 15:00:00,2023-06-15 15:00:00 to 2023-06-17 15:00:00,30,0.026,0,0.0,0.0,0.0,200.9894661903381,679
25,2023-06-03 15:00:00 to 2023-06-17 15:00:00,2023-06-18 15:00:00 to 2023-06-20 15:00:00,195,0.032,0,0.0,0.0,0.0,204.157751083374,681
26,2023-06-06 15:00:00 to 2023-06-20 15:00:00,2023-06-21 15:00:00 to 2023-06-23 15:00:00,30,0.026,0,0.0,0.0,0.0,202.18714809417725,683
27,2023-06-09 15:00:00 to 2023-06-23 15:00:00,2023-06-24 15:00:00 to 2023-06-26 15:00:00,100,0.032,1,0.2246093433878923,0.990503218686772,100.0,200.7364149093628,684
28,2023-06-12 15:00:00 to 2023-06-26 15:00:00,2023-06-27 15:00:00 to 2023-06-29 15:00:00,215,0.02,1,0.4830604228173979,2.080168353254463,0.0,197.28583908081055,685
29,2023-06-15 15:00:00 to 2023-06-29 15:00:00,2023-06-30 15:00:00 to 2023-07-02 15:00:00,175,0.024,1,1.224011276176825,0.6441057487522451,100.0,195.4702069759369,687
30,2023-06-18 15:00:00 to 2023-07-02 15:00:00,2023-07-03 15:00:00 to 2023-07-05 15:00:00,300,0.02,1,-1.2244343183975614,1.2244343183975617,0.0,197.55904293060303,689
31,2023-06-21 15:00:00 to 2023-07-05 15:00:00,2023-07-06 15:00:00 to 2023-07-08 15:00:00,295,0.02,1,0.5778788819468537,5.786986781703129,100.0,200.08767199516296,690
32,2023-06-24 15:00:00 to 2023-07-08 15:00:00,2023-07-09 15:00:00 to 2023-07-11 15:00:00,300,0.02,0,0.0,0.0,0.0,200.52320289611816,691
33,2023-06-27 15:00:00 to 2023-07-11 15:00:00,2023-07-12 15:00:00 to 2023-07-14 15:00:00,75,0.022,0,0.0,0.0,0.0,197.56078219413757,693
34,2023-06-30 15:00:00 to 2023-07-14 15:00:00,2023-07-15 15:00:00 to 2023-07-17 15:00:00,180,0.02,0,0.0,0.0,0.0,198.07942008972168,695
35,2023-07-03 15:00:00 to 2023-07-17 15:00:00,2023-07-18 15:00:00 to 2023-07-20 15:00:00,90,0.02,1,0.8075804135856197,2.1468863843418697,100.0,198.1474850177765,696
36,2023-07-06 15:00:00 to 2023-07-20 15:00:00,2023-07-21 15:00:00 to 2023-07-23 15:00:00,115,0.02,1,0.163192150840714,1.5418390111338485,100.0,196.0891311168671,697
37,2023-07-09 15:00:00 to 2023-07-23 15:00:00,2023-07-24 15:00:00 to 2023-07-26 15:00:00,100,0.02,1,-1.420700250424325,3.0342201421042727,0.0,198.85795497894287,699
38,2023-07-12 15:00:00 to 2023-07-26 15:00:00,2023-07-27 15:00:00 to 2023-07-29 15:00:00,75,0.022,0,0.0,0.0,0.0,200.7203540802002,701
39,2023-07-15 15:00:00 to 2023-07-29 15:00:00,2023-07-30 15:00:00 to 2023-08-01 15:00:00,75,0.022,1,-0.3610915783016389,0.6723227494768701,0.0,198.7672860622406,702
40,2023-07-18 15:00:00 to 2023-08-01 15:00:00,2023-08-02 15:00:00 to 2023-08-04 15:00:00,300,0.028,0,0.0,0.0,0.0,195.5418050289154,703
41,2023-07-21 15:00:00 to 2023-08-04 15:00:00,2023-08-05 15:00:00 to 2023-08-07 15:00:00,300,0.02,0,0.0,0.0,0.0,194.04058718681335,705
42,2023-07-24 15:00:00 to 2023-08-07 15:00:00,2023-08-08 15:00:00 to 2023-08-10 15:00:00,295,0.02,0,0.0,0.0,0.0,191.84512281417847,707
43,2023-07-27 15:00:00 to 2023-08-10 15:00:00,2023-08-11 15:00:00 to 2023-08-13 15:00:00,295,0.02,0,0.0,0.0,0.0,191.62119603157043,708
44,2023-07-30 15:00:00 to 2023-08-13 15:00:00,2023-08-14 15:00:00 to 2023-08-16 15:00:00,295,0.02,2,-0.2694449274410727,1.9666021961390177,50.0,192.58812522888184,709
45,2023-08-02 15:00:00 to 2023-08-16 15:00:00,2023-08-17 15:00:00 to 2023-08-19 15:00:00,20,0.02,1,3.4535146779774553,0.1664927789241691,100.0,193.27006816864017,711
46,2023-08-05 15:00:00 to 2023-08-19 15:00:00,2023-08-20 15:00:00 to 2023-08-22 15:00:00,80,0.036,0,0.0,0.0,0.0,196.34781193733215,713
47,2023-08-08 15:00:00 to 2023-08-22 15:00:00,2023-08-23 15:00:00 to 2023-08-25 15:00:00,60,0.026,0,0.0,0.0,0.0,195.98889112472537,714
48,2023-08-11 15:00:00 to 2023-08-25 15:00:00,2023-08-26 15:00:00 to 2023-08-28 15:00:00,60,0.026,0,0.0,0.0,0.0,197.1434600353241,715
49,2023-08-14 15:00:00 to 2023-08-28 15:00:00,2023-08-29 15:00:00 to 2023-08-31 15:00:00,60,0.026,0,0.0,0.0,0.0,200.208997964859,717
50,2023-08-17 15:00:00 to 2023-08-31 15:00:00,2023-09-01 15:00:00 to 2023-09-03 15:00:00,25,0.022,1,0.3990331095687724,0.3968806462623797,100.0,194.90622639656067,719
51,2023-08-20 15:00:00 to 2023-09-03 15:00:00,2023-09-04 15:00:00 to 2023-09-06 15:00:00,80,0.02,1,0.1764935327859711,0.6352976909741328,100.0,195.56373810768127,720
52,2023-08-23 15:00:00 to 2023-09-06 15:00:00,2023-09-07 15:00:00 to 2023-09-09 15:00:00,55,0.022,0,0.0,0.0,0.0,196.63282918930057,721
53,2023-08-26 15:00:00 to 2023-09-09 15:00:00,2023-09-10 15:00:00 to 2023-09-12 15:00:00,80,0.02,1,-8.357504156576542,12.23580747000094,0.0,195.30950284004211,723
54,2023-08-29 15:00:00 to 2023-09-12 15:00:00,2023-09-13 15:00:00 to 2023-09-15 15:00:00,215,0.056,0,0.0,0.0,0.0,198.37767124176025,725
55,2023-09-01 15:00:00 to 2023-09-15 15:00:00,2023-09-16 15:00:00 to 2023-09-18 15:00:00,95,0.046,0,0.0,0.0,0.0,196.74882411956787,726
56,2023-09-04 15:00:00 to 2023-09-18 15:00:00,2023-09-19 15:00:00 to 2023-09-21 15:00:00,95,0.046,0,0.0,0.0,0.0,195.78329277038577,727
57,2023-09-07 15:00:00 to 2023-09-21 15:00:00,2023-09-22 15:00:00 to 2023-09-24 15:00:00,95,0.046,0,0.0,0.0,0.0,198.62020707130432,729
58,2023-09-10 15:00:00 to 2023-09-24 15:00:00,2023-09-25 15:00:00 to 2023-09-27 15:00:00,130,0.02,0,0.0,0.0,0.0,195.14425015449524,731
59,2023-09-13 15:00:00 to 2023-09-27 15:00:00,2023-09-28 15:00:00 to 2023-09-30 15:00:00,155,0.02,0,0.0,0.0,0.0,196.05842304229736,732
60,2023-09-16 15:00:00 to 2023-09-30 15:00:00,2023-10-01 15:00:00 to 2023-10-03 15:00:00,295,0.028,1,-0.2781136437997702,0.7723182239240909,0.0,194.3354787826538,733
61,2023-09-19 15:00:00 to 2023-10-03 15:00:00,2023-10-04 15:00:00 to 2023-10-06 15:00:00,45,0.022,1,0.9133375619882464,0.339743495399707,100.0,193.6802608966827,735
62,2023-09-22 15:00:00 to 2023-10-06 15:00:00,2023-10-07 15:00:00 to 2023-10-09 15:00:00,45,0.022,1,-0.277634421802104,0.4747718331832421,0.0,197.56579518318176,737
63,2023-09-25 15:00:00 to 2023-10-09 15:00:00,2023-10-10 15:00:00 to 2023-10-12 15:00:00,50,0.02,0,0.0,0.0,0.0,198.60201811790463,738
64,2023-09-28 15:00:00 to 2023-10-12 15:00:00,2023-10-13 15:00:00 to 2023-10-15 15:00:00,50,0.02,0,0.0,0.0,0.0,198.39908289909363,739
65,2023-10-01 15:00:00 to 2023-10-15 15:00:00,2023-10-16 15:00:00 to 2023-10-18 15:00:00,50,0.02,0,0.0,0.0,0.0,199.28854608535767,741
66,2023-10-04 15:00:00 to 2023-10-18 15:00:00,2023-10-19 15:00:00 to 2023-10-21 15:00:00,110,0.022,1,0.6568390549536525,0.6477447529938886,100.0,195.0154469013214,743
67,2023-10-07 15:00:00 to 2023-10-21 15:00:00,2023-10-22 15:00:00 to 2023-10-24 15:00:00,275,0.022,0,0.0,0.0,0.0,192.65640091896057,744
68,2023-10-10 15:00:00 to 2023-10-24 15:00:00,2023-10-25 15:00:00 to 2023-10-27 15:00:00,85,0.022,2,0.0023773427298328,2.1727348680814194,50.0,195.53824520111084,745
69,2023-10-13 15:00:00 to 2023-10-27 15:00:00,2023-10-28 15:00:00 to 2023-10-30 15:00:00,60,0.02,0,0.0,0.0,0.0,193.20359182357788,747
