Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-12-13 13:00:00 to 2024-12-27 13:00:00,2024-12-28 13:00:00 to 2024-12-30 13:00:00,165,0.034,2,1.4842805170472455,1.4247306742352186,50.0,237.90455389022827,961
2,2024-12-16 13:00:00 to 2024-12-30 13:00:00,2024-12-31 13:00:00 to 2025-01-02 13:00:00,105,0.08,1,0.4259108586410365,1.48948656325103,100.0,229.74137687683103,962
3,2024-12-19 13:00:00 to 2025-01-02 13:00:00,2025-01-03 13:00:00 to 2025-01-05 13:00:00,180,0.036,0,0.0,0.0,0.0,229.71145606040955,963
4,2024-12-22 13:00:00 to 2025-01-05 13:00:00,2025-01-06 13:00:00 to 2025-01-08 13:00:00,295,0.044,1,-10.5161493536367,13.60291063111017,0.0,217.45517492294312,965
5,2024-12-25 13:00:00 to 2025-01-08 13:00:00,2025-01-09 13:00:00 to 2025-01-11 13:00:00,120,0.056,0,0.0,0.0,0.0,218.30797004699707,967
6,2024-12-28 13:00:00 to 2025-01-11 13:00:00,2025-01-12 13:00:00 to 2025-01-14 13:00:00,75,0.08,0,0.0,0.0,0.0,218.3596031665802,968
7,2024-12-31 13:00:00 to 2025-01-14 13:00:00,2025-01-15 13:00:00 to 2025-01-17 13:00:00,15,0.024,0,0.0,0.0,0.0,214.13099694252017,969
8,2025-01-03 13:00:00 to 2025-01-17 13:00:00,2025-01-18 13:00:00 to 2025-01-20 13:00:00,15,0.024,4,-11.728404665668968,15.213639512172618,0.0,214.5841999053955,971
9,2025-01-06 13:00:00 to 2025-01-20 13:00:00,2025-01-21 13:00:00 to 2025-01-23 13:00:00,120,0.052,2,1.841249103403734,1.292559723415674,50.0,219.310085773468,973
10,2025-01-09 13:00:00 to 2025-01-23 13:00:00,2025-01-24 13:00:00 to 2025-01-26 13:00:00,115,0.052,1,1.5754841608109564,1.4772073895306206,100.0,220.42123293876648,974
11,2025-01-12 13:00:00 to 2025-01-26 13:00:00,2025-01-27 13:00:00 to 2025-01-29 13:00:00,115,0.052,2,0.9908989300152644,6.221011714013269,50.0,214.68786191940308,975
12,2025-01-15 13:00:00 to 2025-01-29 13:00:00,2025-01-30 13:00:00 to 2025-02-01 13:00:00,120,0.056,0,0.0,0.0,0.0,221.95514011383057,977
13,2025-01-18 13:00:00 to 2025-02-01 13:00:00,2025-02-02 13:00:00 to 2025-02-04 13:00:00,260,0.08,1,-7.872876841880879,24.8488715503461,0.0,220.9372980594635,979
14,2025-01-21 13:00:00 to 2025-02-04 13:00:00,2025-02-05 13:00:00 to 2025-02-07 13:00:00,270,0.074,1,0.5466300148588562,2.2171144130757603,0.0,221.32418608665463,980
15,2025-01-24 13:00:00 to 2025-02-07 13:00:00,2025-02-08 13:00:00 to 2025-02-10 13:00:00,265,0.058,0,0.0,0.0,0.0,221.2840480804443,981
16,2025-01-27 13:00:00 to 2025-02-10 13:00:00,2025-02-11 13:00:00 to 2025-02-13 13:00:00,105,0.074,0,0.0,0.0,0.0,217.6898250579834,983
17,2025-01-30 13:00:00 to 2025-02-13 13:00:00,2025-02-14 13:00:00 to 2025-02-16 13:00:00,265,0.028,2,0.1321063344415961,4.964055979352692,50.0,220.2009038925171,985
18,2025-02-02 13:00:00 to 2025-02-16 13:00:00,2025-02-17 13:00:00 to 2025-02-19 13:00:00,65,0.026,4,7.024635074911421,2.1264773447495644,100.0,218.2417049407959,986
19,2025-02-05 13:00:00 to 2025-02-19 13:00:00,2025-02-20 13:00:00 to 2025-02-22 13:00:00,225,0.026,0,0.0,0.0,0.0,215.8597071170807,987
20,2025-02-08 13:00:00 to 2025-02-22 13:00:00,2025-02-23 13:00:00 to 2025-02-25 13:00:00,130,0.02,1,-12.45137426514757,17.048614806239463,0.0,215.67214107513428,989
21,2025-02-11 13:00:00 to 2025-02-25 13:00:00,2025-02-26 13:00:00 to 2025-02-28 13:00:00,25,0.022,2,1.9187393438818252,1.8440088234273753,100.0,208.89348101615903,991
22,2025-02-14 13:00:00 to 2025-02-28 13:00:00,2025-03-01 13:00:00 to 2025-03-03 13:00:00,45,0.02,6,3.238510880671074,1.0021646204767298,66.66666666666666,205.6774547100067,992
23,2025-02-17 13:00:00 to 2025-03-03 13:00:00,2025-03-04 13:00:00 to 2025-03-06 13:00:00,10,0.02,4,5.092486340544983,2.032955995419543,100.0,205.0952739715576,993
24,2025-02-20 13:00:00 to 2025-03-06 13:00:00,2025-03-07 13:00:00 to 2025-03-09 13:00:00,10,0.02,3,2.860095278368735,1.0522583661413738,100.0,207.6441309452057,995
