Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-03-16 12:30:00 to 2024-03-30 12:30:00,2024-03-31 12:30:00 to 2024-04-02 12:30:00,250,0.052,0,0.0,0.0,0.0,226.46683716773987,825
2,2024-03-19 12:30:00 to 2024-04-02 12:30:00,2024-04-03 12:30:00 to 2024-04-05 12:30:00,40,0.022,2,-16.740339985126575,19.45966229317906,0.0,216.28393006324768,826
3,2024-03-22 12:30:00 to 2024-04-05 12:30:00,2024-04-06 12:30:00 to 2024-04-08 12:30:00,120,0.05,0,0.0,0.0,0.0,213.9069151878357,827
4,2024-03-25 12:30:00 to 2024-04-08 12:30:00,2024-04-09 12:30:00 to 2024-04-11 12:30:00,120,0.05,1,-1.1116323820189793,6.214534075594948,0.0,212.73380708694455,829
5,2024-03-28 12:30:00 to 2024-04-11 12:30:00,2024-04-12 12:30:00 to 2024-04-14 12:30:00,125,0.022,1,-25.422038362315707,37.3970893046951,0.0,211.17198777198792,831
6,2024-03-31 12:30:00 to 2024-04-14 12:30:00,2024-04-15 12:30:00 to 2024-04-17 12:30:00,100,0.068,1,-0.4114757929883126,2.7601006241218062,0.0,211.56244802474976,832
7,2024-04-03 12:30:00 to 2024-04-17 12:30:00,2024-04-18 12:30:00 to 2024-04-20 12:30:00,20,0.076,0,0.0,0.0,0.0,211.5996930599213,833
8,2024-04-06 12:30:00 to 2024-04-20 12:30:00,2024-04-21 12:30:00 to 2024-04-23 12:30:00,70,0.08,0,0.0,0.0,0.0,209.2151322364807,835
9,2024-04-09 12:30:00 to 2024-04-23 12:30:00,2024-04-24 12:30:00 to 2024-04-26 12:30:00,70,0.08,0,0.0,0.0,0.0,212.1754629611969,837
10,2024-04-12 12:30:00 to 2024-04-26 12:30:00,2024-04-27 12:30:00 to 2024-04-29 12:30:00,130,0.036,2,-1.7681451147176268,7.002079868882703,0.0,213.45449709892273,838
11,2024-04-15 12:30:00 to 2024-04-29 12:30:00,2024-04-30 12:30:00 to 2024-05-02 12:30:00,165,0.028,1,-1.2840156280420705,8.562429221258098,0.0,208.1437587738037,839
12,2024-04-18 12:30:00 to 2024-05-02 12:30:00,2024-05-03 12:30:00 to 2024-05-05 12:30:00,225,0.06,0,0.0,0.0,0.0,207.70375800132751,841
13,2024-04-21 12:30:00 to 2024-05-05 12:30:00,2024-05-06 12:30:00 to 2024-05-08 12:30:00,235,0.062,1,-1.9062872918008729,2.0655220270580323,0.0,210.01749563217163,843
14,2024-04-24 12:30:00 to 2024-05-08 12:30:00,2024-05-09 12:30:00 to 2024-05-11 12:30:00,245,0.054,1,3.9027702896472514,3.070631026036059,100.0,210.09888005256653,844
15,2024-04-27 12:30:00 to 2024-05-11 12:30:00,2024-05-12 12:30:00 to 2024-05-14 12:30:00,300,0.056,1,1.765175974710219,2.3371876616534246,100.0,207.52264022827148,845
16,2024-04-30 12:30:00 to 2024-05-14 12:30:00,2024-05-15 12:30:00 to 2024-05-17 12:30:00,275,0.052,1,2.6017247849882734,0.7558550760742568,100.0,203.2133493423462,847
17,2024-05-03 12:30:00 to 2024-05-17 12:30:00,2024-05-18 12:30:00 to 2024-05-20 12:30:00,160,0.036,1,2.403686537085123,3.947149838498941,100.0,211.01148962974548,849
18,2024-05-06 12:30:00 to 2024-05-20 12:30:00,2024-05-21 12:30:00 to 2024-05-23 12:30:00,240,0.026,0,0.0,0.0,0.0,214.86450004577637,850
19,2024-05-09 12:30:00 to 2024-05-23 12:30:00,2024-05-24 12:30:00 to 2024-05-26 12:30:00,160,0.032,1,2.4924768469843186,2.93570424114253,100.0,210.0819272994995,851
20,2024-05-12 12:30:00 to 2024-05-26 12:30:00,2024-05-27 12:30:00 to 2024-05-29 12:30:00,255,0.026,0,0.0,0.0,0.0,211.37868332862857,853
21,2024-05-15 12:30:00 to 2024-05-29 12:30:00,2024-05-30 12:30:00 to 2024-06-01 12:30:00,260,0.026,1,-3.072035306162561,6.2532470114742145,0.0,205.3548219203949,855
22,2024-05-18 12:30:00 to 2024-06-01 12:30:00,2024-06-02 12:30:00 to 2024-06-04 12:30:00,70,0.022,4,2.7857991723286615,1.4369976096272974,75.0,204.7566556930542,856
23,2024-05-21 12:30:00 to 2024-06-04 12:30:00,2024-06-05 12:30:00 to 2024-06-07 12:30:00,70,0.022,1,0.922713095684794,0.3369864834841438,100.0,205.82449913024905,857
24,2024-05-24 12:30:00 to 2024-06-07 12:30:00,2024-06-08 12:30:00 to 2024-06-10 12:30:00,75,0.02,3,0.7264505516287681,3.8726652968456463,66.66666666666666,206.07729721069336,859
25,2024-05-27 12:30:00 to 2024-06-10 12:30:00,2024-06-11 12:30:00 to 2024-06-13 12:30:00,55,0.042,4,4.956508563903826,3.129276022718967,75.0,207.39969992637631,861
26,2024-05-30 12:30:00 to 2024-06-13 12:30:00,2024-06-14 12:30:00 to 2024-06-16 12:30:00,65,0.026,2,3.4657184540393065,1.616801106421598,100.0,205.62053227424624,862
27,2024-06-02 12:30:00 to 2024-06-16 12:30:00,2024-06-17 12:30:00 to 2024-06-19 12:30:00,65,0.048,1,-9.721740330195315,13.273440389966524,0.0,204.76139616966248,863
28,2024-06-05 12:30:00 to 2024-06-19 12:30:00,2024-06-20 12:30:00 to 2024-06-22 12:30:00,55,0.042,1,2.1551415460642422,0.0132958361548496,100.0,212.2747142314911,865
29,2024-06-08 12:30:00 to 2024-06-22 12:30:00,2024-06-23 12:30:00 to 2024-06-25 12:30:00,20,0.022,2,0.8986636683538928,1.734224109196525,100.0,210.5337510108948,867
