Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-12-09 14:00:00 to 2024-12-23 14:00:00,2024-12-24 14:00:00 to 2024-12-26 14:00:00,130,0.042,0,0.0,0.0,0.0,211.75528407096863,959
2,2024-12-12 14:00:00 to 2024-12-26 14:00:00,2024-12-27 14:00:00 to 2024-12-29 14:00:00,265,0.02,4,8.410698488402886,7.882392545949399,75.0,208.13011622428897,960
3,2024-12-15 14:00:00 to 2024-12-29 14:00:00,2024-12-30 14:00:00 to 2025-01-01 14:00:00,25,0.026,3,-2.9626883924728644,6.055289050458933,66.66666666666666,207.3912878036499,961
4,2024-12-18 14:00:00 to 2025-01-01 14:00:00,2025-01-02 14:00:00 to 2025-01-04 14:00:00,35,0.04,1,2.282317664418224,0.1128368395932449,100.0,208.0381071567535,963
5,2024-12-21 14:00:00 to 2025-01-04 14:00:00,2025-01-05 14:00:00 to 2025-01-07 14:00:00,145,0.08,0,0.0,0.0,0.0,207.93899512290955,965
6,2024-12-24 14:00:00 to 2025-01-07 14:00:00,2025-01-08 14:00:00 to 2025-01-10 14:00:00,35,0.026,6,1.6597879189270863,4.1397163551139915,50.0,206.3341419696808,966
7,2024-12-27 14:00:00 to 2025-01-10 14:00:00,2025-01-11 14:00:00 to 2025-01-13 14:00:00,35,0.038,2,-1.9468307439035928,2.3264760275610024,0.0,204.35746693611145,967
8,2024-12-30 14:00:00 to 2025-01-13 14:00:00,2025-01-14 14:00:00 to 2025-01-16 14:00:00,45,0.032,0,0.0,0.0,0.0,201.3929347991943,969
9,2025-01-02 14:00:00 to 2025-01-16 14:00:00,2025-01-17 14:00:00 to 2025-01-19 14:00:00,35,0.036,2,-3.235536611347925,4.364113583855019,0.0,204.487774848938,971
10,2025-01-05 14:00:00 to 2025-01-19 14:00:00,2025-01-20 14:00:00 to 2025-01-22 14:00:00,45,0.04,2,1.6258560508576558,1.568853264105807,100.0,207.1112928390503,972
11,2025-01-08 14:00:00 to 2025-01-22 14:00:00,2025-01-23 14:00:00 to 2025-01-25 14:00:00,80,0.032,3,4.39693779845884,1.387952268309438,100.0,205.80464005470276,973
12,2025-01-11 14:00:00 to 2025-01-25 14:00:00,2025-01-26 14:00:00 to 2025-01-28 14:00:00,210,0.052,1,3.2254268917696756,2.33225221487722,100.0,208.38226890563965,975
13,2025-01-14 14:00:00 to 2025-01-28 14:00:00,2025-01-29 14:00:00 to 2025-01-31 14:00:00,80,0.028,3,3.87204634822283,3.665565386863816,66.66666666666666,207.1667242050171,977
14,2025-01-17 14:00:00 to 2025-01-31 14:00:00,2025-02-01 14:00:00 to 2025-02-03 14:00:00,110,0.026,2,-14.164922531684496,21.293803359512236,0.0,211.6724319458008,978
15,2025-01-20 14:00:00 to 2025-02-03 14:00:00,2025-02-04 14:00:00 to 2025-02-06 14:00:00,75,0.05,2,5.456376306070342,0.7481257280083773,100.0,207.91307497024536,979
16,2025-01-23 14:00:00 to 2025-02-06 14:00:00,2025-02-07 14:00:00 to 2025-02-09 14:00:00,75,0.044,1,-3.597964122073426,7.748276532503382,0.0,206.2126078605652,981
17,2025-01-26 14:00:00 to 2025-02-09 14:00:00,2025-02-10 14:00:00 to 2025-02-12 14:00:00,70,0.048,1,1.528584189723333,0.9873711462450592,100.0,207.1129128932953,983
18,2025-01-29 14:00:00 to 2025-02-12 14:00:00,2025-02-13 14:00:00 to 2025-02-15 14:00:00,105,0.072,0,0.0,0.0,0.0,209.82497000694275,984
19,2025-02-01 14:00:00 to 2025-02-15 14:00:00,2025-02-16 14:00:00 to 2025-02-18 14:00:00,155,0.042,2,0.4305324243845462,2.2808472337882897,0.0,212.33153200149536,985
20,2025-02-04 14:00:00 to 2025-02-18 14:00:00,2025-02-19 14:00:00 to 2025-02-21 14:00:00,210,0.026,1,-3.064243507791834,8.277438869815855,0.0,210.65748524665833,987
21,2025-02-07 14:00:00 to 2025-02-21 14:00:00,2025-02-22 14:00:00 to 2025-02-24 14:00:00,25,0.02,3,-0.8081291821874947,2.468835717332428,66.66666666666666,202.19913291931152,989
22,2025-02-10 14:00:00 to 2025-02-24 14:00:00,2025-02-25 14:00:00 to 2025-02-27 14:00:00,35,0.028,3,3.4011316896264363,1.067560750350165,100.0,198.72654914855957,990
23,2025-02-13 14:00:00 to 2025-02-27 14:00:00,2025-02-28 14:00:00 to 2025-03-02 14:00:00,35,0.028,1,0.2887366805649799,2.9536847645915034,100.0,204.01524305343628,991
24,2025-02-16 14:00:00 to 2025-03-02 14:00:00,2025-03-03 14:00:00 to 2025-03-05 14:00:00,10,0.02,4,-6.15403314677982,9.988511718617442,50.0,201.7953419685364,993
25,2025-02-19 14:00:00 to 2025-03-05 14:00:00,2025-03-06 14:00:00 to 2025-03-08 14:00:00,300,0.08,0,0.0,0.0,0.0,206.93797087669373,995
