Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-05-03 16:00:00 to 2023-05-17 16:00:00,2023-05-18 16:00:00 to 2023-05-20 16:00:00,50,0.02,1,-0.0491120503147976,1.917631672092767,0.0,205.96433210372925,665
2,2023-05-06 16:00:00 to 2023-05-20 16:00:00,2023-05-21 16:00:00 to 2023-05-23 16:00:00,205,0.06,0,0.0,0.0,0.0,202.68959617614743,667
3,2023-05-09 16:00:00 to 2023-05-23 16:00:00,2023-05-24 16:00:00 to 2023-05-26 16:00:00,250,0.032,1,-0.9747700169397286,4.883285488769075,0.0,201.55079174041748,669
4,2023-05-12 16:00:00 to 2023-05-26 16:00:00,2023-05-27 16:00:00 to 2023-05-29 16:00:00,250,0.032,0,0.0,0.0,0.0,197.1988492012024,670
5,2023-05-15 16:00:00 to 2023-05-29 16:00:00,2023-05-30 16:00:00 to 2023-06-01 16:00:00,40,0.02,3,1.879897869119759,1.236843152785477,100.0,196.8175230026245,671
6,2023-05-18 16:00:00 to 2023-06-01 16:00:00,2023-06-02 16:00:00 to 2023-06-04 16:00:00,30,0.02,1,1.138124288425024,1.3287238886185015,100.0,195.91686987876892,673
7,2023-05-21 16:00:00 to 2023-06-04 16:00:00,2023-06-05 16:00:00 to 2023-06-07 16:00:00,30,0.02,5,-10.290400231450658,14.254032732849298,40.0,198.15628290176392,675
8,2023-05-24 16:00:00 to 2023-06-07 16:00:00,2023-06-08 16:00:00 to 2023-06-10 16:00:00,145,0.08,1,-3.7677949513836753,9.282514580737118,0.0,200.5964422225952,676
9,2023-05-27 16:00:00 to 2023-06-10 16:00:00,2023-06-11 16:00:00 to 2023-06-13 16:00:00,40,0.076,0,0.0,0.0,0.0,199.66283702850345,677
10,2023-05-30 16:00:00 to 2023-06-13 16:00:00,2023-06-14 16:00:00 to 2023-06-16 16:00:00,40,0.076,0,0.0,0.0,0.0,202.63072204589844,679
11,2023-06-02 16:00:00 to 2023-06-16 16:00:00,2023-06-17 16:00:00 to 2023-06-19 16:00:00,165,0.08,0,0.0,0.0,0.0,204.16914415359497,681
12,2023-06-05 16:00:00 to 2023-06-19 16:00:00,2023-06-20 16:00:00 to 2023-06-22 16:00:00,295,0.08,0,0.0,0.0,0.0,205.676255941391,682
13,2023-06-08 16:00:00 to 2023-06-22 16:00:00,2023-06-23 16:00:00 to 2023-06-25 16:00:00,150,0.022,3,0.6549812791486692,4.674126692381296,33.33333333333333,205.13843894004825,683
14,2023-06-11 16:00:00 to 2023-06-25 16:00:00,2023-06-26 16:00:00 to 2023-06-28 16:00:00,50,0.022,4,1.8357190071216611,2.040451371078472,75.0,199.9359359741211,685
