Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-12-12 14:00:00 to 2023-12-26 14:00:00,2023-12-27 14:00:00 to 2023-12-29 14:00:00,90,0.02,11,11.041856881295754,5.035417094279378,90.9090909090909,262.35164284706116,777
2,2023-12-15 14:00:00 to 2023-12-29 14:00:00,2023-12-30 14:00:00 to 2024-01-01 14:00:00,40,0.02,7,3.0021023797790076,4.581431265008813,85.71428571428571,272.2188789844513,779
3,2023-12-18 14:00:00 to 2024-01-01 14:00:00,2024-01-02 14:00:00 to 2024-01-04 14:00:00,50,0.02,8,-13.0297856558453,17.26643482168339,75.0,265.9453089237213,780
4,2023-12-21 14:00:00 to 2024-01-04 14:00:00,2024-01-05 14:00:00 to 2024-01-07 14:00:00,10,0.032,6,-0.8387430965568636,3.459177835131974,83.33333333333334,238.7350268363953,781
5,2023-12-24 14:00:00 to 2024-01-07 14:00:00,2024-01-08 14:00:00 to 2024-01-10 14:00:00,10,0.032,8,1.9556491703979009,4.448329480577465,87.5,256.68235874176025,783
6,2023-12-27 14:00:00 to 2024-01-10 14:00:00,2024-01-11 14:00:00 to 2024-01-13 14:00:00,15,0.03,10,1.757520535408803,1.6720807633226975,70.0,251.16808032989505,785
7,2023-12-30 14:00:00 to 2024-01-13 14:00:00,2024-01-14 14:00:00 to 2024-01-16 14:00:00,70,0.066,0,0.0,0.0,0.0,249.45989203453064,786
8,2024-01-02 14:00:00 to 2024-01-16 14:00:00,2024-01-17 14:00:00 to 2024-01-19 14:00:00,180,0.034,4,-4.126059396465044,4.75753532178548,75.0,245.56518602371216,787
9,2024-01-05 14:00:00 to 2024-01-19 14:00:00,2024-01-20 14:00:00 to 2024-01-22 14:00:00,245,0.058,3,1.219532812654943,1.138123445026205,100.0,249.57354426383972,789
10,2024-01-08 14:00:00 to 2024-01-22 14:00:00,2024-01-23 14:00:00 to 2024-01-25 14:00:00,195,0.032,3,-14.548495198601069,16.082141535560282,33.33333333333333,240.64074516296387,791
11,2024-01-11 14:00:00 to 2024-01-25 14:00:00,2024-01-26 14:00:00 to 2024-01-28 14:00:00,25,0.08,8,4.07621253489946,2.454359006068908,87.5,232.90354990959167,792
12,2024-01-14 14:00:00 to 2024-01-28 14:00:00,2024-01-29 14:00:00 to 2024-01-31 14:00:00,30,0.05,9,4.0099074362237666,1.3282590562565175,100.0,228.49899101257324,793
13,2024-01-17 14:00:00 to 2024-01-31 14:00:00,2024-02-01 14:00:00 to 2024-02-03 14:00:00,225,0.076,4,-4.403581649703792,5.397403644713074,75.0,234.9040329456329,795
14,2024-01-20 14:00:00 to 2024-02-03 14:00:00,2024-02-04 14:00:00 to 2024-02-06 14:00:00,270,0.078,0,0.0,0.0,0.0,245.61079096794128,797
15,2024-01-23 14:00:00 to 2024-02-06 14:00:00,2024-02-07 14:00:00 to 2024-02-09 14:00:00,25,0.04,0,0.0,0.0,0.0,244.0748188495636,798
16,2024-01-26 14:00:00 to 2024-02-09 14:00:00,2024-02-10 14:00:00 to 2024-02-12 14:00:00,25,0.04,0,0.0,0.0,0.0,247.5375018119812,799
17,2024-01-29 14:00:00 to 2024-02-12 14:00:00,2024-02-13 14:00:00 to 2024-02-15 14:00:00,120,0.078,0,0.0,0.0,0.0,223.15358710289,801
18,2024-02-01 14:00:00 to 2024-02-15 14:00:00,2024-02-16 14:00:00 to 2024-02-18 14:00:00,255,0.02,2,4.666093882558598,1.1703158418433766,100.0,194.562114238739,803
19,2024-02-04 14:00:00 to 2024-02-18 14:00:00,2024-02-19 14:00:00 to 2024-02-21 14:00:00,140,0.038,1,-1.3457279399233997,5.774062614469949,0.0,193.41812586784363,804
20,2024-02-07 14:00:00 to 2024-02-21 14:00:00,2024-02-22 14:00:00 to 2024-02-24 14:00:00,90,0.05,1,-2.07084052532833,4.884138558154659,0.0,199.17458987236023,805
21,2024-02-10 14:00:00 to 2024-02-24 14:00:00,2024-02-25 14:00:00 to 2024-02-27 14:00:00,120,0.044,7,5.902913718920263,2.582995427700718,100.0,200.46743726730347,807
22,2024-02-13 14:00:00 to 2024-02-27 14:00:00,2024-02-28 14:00:00 to 2024-03-01 14:00:00,120,0.056,1,0.3689927971188445,0.0091275485572955,100.0,207.1318950653076,809
23,2024-02-16 14:00:00 to 2024-03-01 14:00:00,2024-03-02 14:00:00 to 2024-03-04 14:00:00,105,0.06,1,2.745893081761005,0.3626064882675689,100.0,211.6457600593567,810
24,2024-02-19 14:00:00 to 2024-03-04 14:00:00,2024-03-05 14:00:00 to 2024-03-07 14:00:00,210,0.02,1,-6.524718846771357,13.229196081257632,0.0,218.76762223243713,811
25,2024-02-22 14:00:00 to 2024-03-07 14:00:00,2024-03-08 14:00:00 to 2024-03-10 14:00:00,105,0.03,0,0.0,0.0,0.0,228.40098524093628,813
26,2024-02-25 14:00:00 to 2024-03-10 14:00:00,2024-03-11 14:00:00 to 2024-03-13 14:00:00,10,0.068,1,-3.856560688665722,3.865917073170731,0.0,224.25892090797424,815
27,2024-02-28 14:00:00 to 2024-03-13 14:00:00,2024-03-14 14:00:00 to 2024-03-16 14:00:00,285,0.064,2,-7.411653394946915,11.168559353072052,50.0,205.80730295181272,816
28,2024-03-02 14:00:00 to 2024-03-16 14:00:00,2024-03-17 14:00:00 to 2024-03-19 14:00:00,40,0.068,10,-1.758134164936619,5.551406030203966,90.0,207.34226202964783,817
29,2024-03-05 14:00:00 to 2024-03-19 14:00:00,2024-03-20 14:00:00 to 2024-03-22 14:00:00,115,0.08,1,-1.76592636050982,1.7659263605098203,0.0,214.7194800376892,819
30,2024-03-08 14:00:00 to 2024-03-22 14:00:00,2024-03-23 14:00:00 to 2024-03-25 14:00:00,230,0.078,10,2.0064928440693803,1.7846062238877298,100.0,224.60318994522095,821
31,2024-03-11 14:00:00 to 2024-03-25 14:00:00,2024-03-26 14:00:00 to 2024-03-28 14:00:00,230,0.078,2,-0.154384284077023,1.978856858053638,50.0,243.39484691619873,822
32,2024-03-14 14:00:00 to 2024-03-28 14:00:00,2024-03-29 14:00:00 to 2024-03-31 14:00:00,210,0.038,8,1.5286593767997876,0.3774750298778931,100.0,249.23963809013367,823
33,2024-03-17 14:00:00 to 2024-03-31 14:00:00,2024-04-01 14:00:00 to 2024-04-03 14:00:00,250,0.038,5,-4.576329885034993,8.725055133879872,80.0,247.13747358322144,825
34,2024-03-20 14:00:00 to 2024-04-03 14:00:00,2024-04-04 14:00:00 to 2024-04-06 14:00:00,15,0.028,3,2.7341558686578353,4.834400253350319,66.66666666666666,261.2136399745941,827
35,2024-03-23 14:00:00 to 2024-04-06 14:00:00,2024-04-07 14:00:00 to 2024-04-09 14:00:00,60,0.036,5,-0.674399714892752,1.6802442078448068,80.0,248.4888861179352,828
36,2024-03-26 14:00:00 to 2024-04-09 14:00:00,2024-04-10 14:00:00 to 2024-04-12 14:00:00,150,0.074,1,3.168750962772792,1.7675656770408097,100.0,252.44945096969604,829
37,2024-03-29 14:00:00 to 2024-04-12 14:00:00,2024-04-13 14:00:00 to 2024-04-15 14:00:00,30,0.052,9,14.846585674840226,6.590316225142742,88.88888888888889,230.4688351154327,831
38,2024-04-01 14:00:00 to 2024-04-15 14:00:00,2024-04-16 14:00:00 to 2024-04-18 14:00:00,50,0.05,1,-0.920729645272404,6.85848611856774,0.0,230.9002332687378,833
39,2024-04-04 14:00:00 to 2024-04-18 14:00:00,2024-04-19 14:00:00 to 2024-04-21 14:00:00,25,0.04,2,14.289757956165577,4.501153652164583,50.0,237.73828887939453,834
40,2024-04-07 14:00:00 to 2024-04-21 14:00:00,2024-04-22 14:00:00 to 2024-04-24 14:00:00,80,0.076,0,0.0,0.0,0.0,228.89982414245603,835
41,2024-04-10 14:00:00 to 2024-04-24 14:00:00,2024-04-25 14:00:00 to 2024-04-27 14:00:00,80,0.076,14,2.653766667694417,3.4455585138857376,92.85714285714286,229.17781782150269,837
42,2024-04-13 14:00:00 to 2024-04-27 14:00:00,2024-04-28 14:00:00 to 2024-04-30 14:00:00,25,0.076,7,-5.285982973410228,7.003254983355783,85.71428571428571,226.29525923728943,839
43,2024-04-16 14:00:00 to 2024-04-30 14:00:00,2024-05-01 14:00:00 to 2024-05-03 14:00:00,110,0.034,2,2.2190420638830983,3.593146969100825,50.0,231.7076060771942,840
44,2024-04-19 14:00:00 to 2024-05-03 14:00:00,2024-05-04 14:00:00 to 2024-05-06 14:00:00,290,0.06,1,0.0619857803057311,3.090376703601367,0.0,247.05199694633484,841
45,2024-04-22 14:00:00 to 2024-05-06 14:00:00,2024-05-07 14:00:00 to 2024-05-09 14:00:00,245,0.052,1,-1.8087081798084,5.139787752123569,0.0,258.98850679397583,843
46,2024-04-25 14:00:00 to 2024-05-09 14:00:00,2024-05-10 14:00:00 to 2024-05-12 14:00:00,280,0.08,0,0.0,0.0,0.0,224.0051441192627,845
47,2024-04-28 14:00:00 to 2024-05-12 14:00:00,2024-05-13 14:00:00 to 2024-05-15 14:00:00,265,0.02,1,7.569183455482853,7.602442774505839,0.0,201.27458310127255,846
48,2024-05-01 14:00:00 to 2024-05-15 14:00:00,2024-05-16 14:00:00 to 2024-05-18 14:00:00,95,0.038,3,3.004064060765741,4.03673663429614,66.66666666666666,199.2897698879242,847
49,2024-05-04 14:00:00 to 2024-05-18 14:00:00,2024-05-19 14:00:00 to 2024-05-21 14:00:00,245,0.064,9,4.739964595551392,3.615774207234024,100.0,200.8680272102356,849
50,2024-05-07 14:00:00 to 2024-05-21 14:00:00,2024-05-22 14:00:00 to 2024-05-24 14:00:00,85,0.038,5,-0.6366034620556275,5.510083425914892,80.0,208.11236190795896,851
51,2024-05-10 14:00:00 to 2024-05-24 14:00:00,2024-05-25 14:00:00 to 2024-05-27 14:00:00,245,0.03,7,3.07077171663459,2.2232794927017028,100.0,215.858900308609,852
52,2024-05-13 14:00:00 to 2024-05-27 14:00:00,2024-05-28 14:00:00 to 2024-05-30 14:00:00,15,0.02,0,0.0,0.0,0.0,239.4208948612213,853
53,2024-05-16 14:00:00 to 2024-05-30 14:00:00,2024-05-31 14:00:00 to 2024-06-02 14:00:00,10,0.024,0,0.0,0.0,0.0,246.0984902381897,855
54,2024-05-19 14:00:00 to 2024-06-02 14:00:00,2024-06-03 14:00:00 to 2024-06-05 14:00:00,45,0.022,0,0.0,0.0,0.0,238.93719005584717,857
