Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-06-02 12:00:00 to 2023-06-16 12:00:00,2023-06-17 12:00:00 to 2023-06-19 12:00:00,120,0.078,0,0.0,0.0,0.0,210.6031439304352,681
2,2023-06-05 12:00:00 to 2023-06-19 12:00:00,2023-06-20 12:00:00 to 2023-06-22 12:00:00,215,0.078,0,0.0,0.0,0.0,209.7835178375244,682
3,2023-06-08 12:00:00 to 2023-06-22 12:00:00,2023-06-23 12:00:00 to 2023-06-25 12:00:00,170,0.02,3,5.4602232028611795,2.450432072366627,100.0,208.90563416481015,683
4,2023-06-11 12:00:00 to 2023-06-25 12:00:00,2023-06-26 12:00:00 to 2023-06-28 12:00:00,200,0.022,1,-8.406627467501712,9.656627075104112,0.0,201.40586614608765,685
5,2023-06-14 12:00:00 to 2023-06-28 12:00:00,2023-06-29 12:00:00 to 2023-07-01 12:00:00,40,0.024,1,0.876644315229496,0.7528845725596875,100.0,202.39446711540225,687
6,2023-06-17 12:00:00 to 2023-07-01 12:00:00,2023-07-02 12:00:00 to 2023-07-04 12:00:00,40,0.028,0,0.0,0.0,0.0,205.2555718421936,688
7,2023-06-20 12:00:00 to 2023-07-04 12:00:00,2023-07-05 12:00:00 to 2023-07-07 12:00:00,40,0.028,2,0.5889957365366536,2.599747697076917,50.0,204.38360500335693,689
8,2023-06-23 12:00:00 to 2023-07-07 12:00:00,2023-07-08 12:00:00 to 2023-07-10 12:00:00,40,0.028,0,0.0,0.0,0.0,204.32664012908936,691
9,2023-06-26 12:00:00 to 2023-07-10 12:00:00,2023-07-11 12:00:00 to 2023-07-13 12:00:00,260,0.024,2,0.8639949158266245,1.872047771842077,50.0,202.12941694259644,693
10,2023-06-29 12:00:00 to 2023-07-13 12:00:00,2023-07-14 12:00:00 to 2023-07-16 12:00:00,110,0.02,1,-2.1871128237238007,3.7619238017687273,0.0,203.0801260471344,694
11,2023-07-02 12:00:00 to 2023-07-16 12:00:00,2023-07-17 12:00:00 to 2023-07-19 12:00:00,70,0.034,0,0.0,0.0,0.0,201.32448077201843,695
12,2023-07-05 12:00:00 to 2023-07-19 12:00:00,2023-07-20 12:00:00 to 2023-07-22 12:00:00,45,0.022,1,0.614135501355031,0.5529204774125882,100.0,198.9629762172699,697
13,2023-07-08 12:00:00 to 2023-07-22 12:00:00,2023-07-23 12:00:00 to 2023-07-25 12:00:00,295,0.028,1,0.4027486492380921,1.902481976246868,0.0,196.99464082717896,699
14,2023-07-11 12:00:00 to 2023-07-25 12:00:00,2023-07-26 12:00:00 to 2023-07-28 12:00:00,150,0.036,0,0.0,0.0,0.0,199.3357229232788,700
15,2023-07-14 12:00:00 to 2023-07-28 12:00:00,2023-07-29 12:00:00 to 2023-07-31 12:00:00,255,0.026,1,0.4598790024135269,0.6471735355790803,0.0,200.8407108783722,701
16,2023-07-17 12:00:00 to 2023-07-31 12:00:00,2023-08-01 12:00:00 to 2023-08-03 12:00:00,115,0.03,1,3.35251937889263,1.6942203758988343,100.0,198.4303069114685,703
17,2023-07-20 12:00:00 to 2023-08-03 12:00:00,2023-08-04 12:00:00 to 2023-08-06 12:00:00,110,0.032,1,1.1056419198895129,0.378940359774606,100.0,199.9682776927948,705
18,2023-07-23 12:00:00 to 2023-08-06 12:00:00,2023-08-07 12:00:00 to 2023-08-09 12:00:00,115,0.02,2,1.5069303680755184,1.9574999050116653,50.0,199.79902911186215,706
19,2023-07-26 12:00:00 to 2023-08-09 12:00:00,2023-08-10 12:00:00 to 2023-08-12 12:00:00,55,0.024,0,0.0,0.0,0.0,199.18219017982483,707
20,2023-07-29 12:00:00 to 2023-08-12 12:00:00,2023-08-13 12:00:00 to 2023-08-15 12:00:00,260,0.02,0,0.0,0.0,0.0,198.1898581981659,709
21,2023-08-01 12:00:00 to 2023-08-15 12:00:00,2023-08-16 12:00:00 to 2023-08-18 12:00:00,60,0.024,2,2.2765421537211843,8.755513378474669,50.0,198.13680815696716,711
22,2023-08-04 12:00:00 to 2023-08-18 12:00:00,2023-08-19 12:00:00 to 2023-08-21 12:00:00,35,0.02,0,0.0,0.0,0.0,196.46107387542725,712
23,2023-08-07 12:00:00 to 2023-08-21 12:00:00,2023-08-22 12:00:00 to 2023-08-24 12:00:00,35,0.02,1,0.0484895659432368,1.1498580568264691,100.0,201.36585998535156,713
24,2023-08-10 12:00:00 to 2023-08-24 12:00:00,2023-08-25 12:00:00 to 2023-08-27 12:00:00,35,0.02,1,0.5056083650190158,0.5591300709401662,100.0,199.67742800712583,715
25,2023-08-13 12:00:00 to 2023-08-27 12:00:00,2023-08-28 12:00:00 to 2023-08-30 12:00:00,35,0.02,3,1.8050912186026835,0.4662418373373227,66.66666666666666,202.87855410575867,717
26,2023-08-16 12:00:00 to 2023-08-30 12:00:00,2023-08-31 12:00:00 to 2023-09-02 12:00:00,50,0.02,2,2.877083538720598,1.761764986820843,50.0,200.14892888069153,718
27,2023-08-19 12:00:00 to 2023-09-02 12:00:00,2023-09-03 12:00:00 to 2023-09-05 12:00:00,155,0.02,3,0.8474089921043559,2.4075380508615627,66.66666666666666,198.3177511692047,719
28,2023-08-22 12:00:00 to 2023-09-05 12:00:00,2023-09-06 12:00:00 to 2023-09-08 12:00:00,160,0.02,1,0.3086004028652496,3.0457062723173074,100.0,197.17301416397095,721
29,2023-08-25 12:00:00 to 2023-09-08 12:00:00,2023-09-09 12:00:00 to 2023-09-11 12:00:00,140,0.02,1,-7.29300810401488,8.169050306516665,0.0,197.51126503944397,723
30,2023-08-28 12:00:00 to 2023-09-11 12:00:00,2023-09-12 12:00:00 to 2023-09-14 12:00:00,25,0.02,0,0.0,0.0,0.0,200.77368903160095,724
31,2023-08-31 12:00:00 to 2023-09-14 12:00:00,2023-09-15 12:00:00 to 2023-09-17 12:00:00,25,0.02,3,2.0164233428001532,0.5820171914664887,100.0,199.9496877193451,725
32,2023-09-03 12:00:00 to 2023-09-17 12:00:00,2023-09-18 12:00:00 to 2023-09-20 12:00:00,25,0.02,0,0.0,0.0,0.0,201.02997303009033,727
33,2023-09-06 12:00:00 to 2023-09-20 12:00:00,2023-09-21 12:00:00 to 2023-09-23 12:00:00,25,0.02,3,1.1376088926982446,0.8519557159415564,100.0,198.51196885108948,729
34,2023-09-09 12:00:00 to 2023-09-23 12:00:00,2023-09-24 12:00:00 to 2023-09-26 12:00:00,300,0.04,1,-0.6558873138345734,1.3263434823409683,0.0,201.0178689956665,730
35,2023-09-12 12:00:00 to 2023-09-26 12:00:00,2023-09-27 12:00:00 to 2023-09-29 12:00:00,290,0.042,0,0.0,0.0,0.0,198.85872197151184,731
36,2023-09-15 12:00:00 to 2023-09-29 12:00:00,2023-09-30 12:00:00 to 2023-10-02 12:00:00,275,0.03,0,0.0,0.0,0.0,197.5379729270935,733
37,2023-09-18 12:00:00 to 2023-10-02 12:00:00,2023-10-03 12:00:00 to 2023-10-05 12:00:00,175,0.038,1,-4.859140333356899,7.72664846809479,0.0,196.90687894821167,735
38,2023-09-21 12:00:00 to 2023-10-05 12:00:00,2023-10-06 12:00:00 to 2023-10-08 12:00:00,80,0.038,0,0.0,0.0,0.0,198.51314306259155,736
39,2023-09-24 12:00:00 to 2023-10-08 12:00:00,2023-10-09 12:00:00 to 2023-10-11 12:00:00,80,0.038,1,0.0218162777880024,1.7172846089069187,100.0,197.47904896736145,737
