Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-09-15 06:45:00 to 2020-09-29 06:45:00,2020-09-30 06:45:00 to 2020-10-02 06:45:00,195,0.076,0,0.0,0.0,0.0,207.939177274704,185
2,2020-09-18 06:45:00 to 2020-10-02 06:45:00,2020-10-03 06:45:00 to 2020-10-05 06:45:00,45,0.032,0,0.0,0.0,0.0,207.2263970375061,187
3,2020-09-21 06:45:00 to 2020-10-05 06:45:00,2020-10-06 06:45:00 to 2020-10-08 06:45:00,90,0.02,3,2.470488291783477,4.0869892771538066,100.0,207.867271900177,189
4,2020-09-24 06:45:00 to 2020-10-08 06:45:00,2020-10-09 06:45:00 to 2020-10-11 06:45:00,65,0.02,2,2.173123214043917,0.2893941993858928,100.0,202.04723715782168,190
5,2020-09-27 06:45:00 to 2020-10-11 06:45:00,2020-10-12 06:45:00 to 2020-10-14 06:45:00,90,0.024,1,0.5232592047128128,0.9083242820703404,0.0,204.35893416404724,191
6,2020-09-30 06:45:00 to 2020-10-14 06:45:00,2020-10-15 06:45:00 to 2020-10-17 06:45:00,55,0.024,3,1.99729848042758,2.228991601104765,100.0,207.37388515472412,193
7,2020-10-03 06:45:00 to 2020-10-17 06:45:00,2020-10-18 06:45:00 to 2020-10-20 06:45:00,55,0.024,1,0.3258825422365408,0.5183111452501795,100.0,201.16446685791016,195
8,2020-10-06 06:45:00 to 2020-10-20 06:45:00,2020-10-21 06:45:00 to 2020-10-23 06:45:00,30,0.022,1,1.058240084611316,0.0,100.0,199.37454414367676,196
9,2020-10-09 06:45:00 to 2020-10-23 06:45:00,2020-10-24 06:45:00 to 2020-10-26 06:45:00,45,0.022,0,0.0,0.0,0.0,200.49156999588013,197
10,2020-10-12 06:45:00 to 2020-10-26 06:45:00,2020-10-27 06:45:00 to 2020-10-29 06:45:00,300,0.026,2,0.0327181916202789,5.5012852124585985,50.0,202.13900184631348,199
11,2020-10-15 06:45:00 to 2020-10-29 06:45:00,2020-10-30 06:45:00 to 2020-11-01 06:45:00,145,0.026,1,0.1885935761736982,3.9457187089762376,100.0,198.70873594284055,201
12,2020-10-18 06:45:00 to 2020-11-01 06:45:00,2020-11-02 06:45:00 to 2020-11-04 06:45:00,145,0.026,1,0.9562979947868372,2.579805385962374,100.0,204.9063510894775,202
13,2020-10-21 06:45:00 to 2020-11-04 06:45:00,2020-11-05 06:45:00 to 2020-11-07 06:45:00,145,0.026,0,0.0,0.0,0.0,206.9152870178223,203
14,2020-10-24 06:45:00 to 2020-11-07 06:45:00,2020-11-08 06:45:00 to 2020-11-10 06:45:00,175,0.042,1,2.7846534653465462,1.260727218247763,100.0,205.52832007408145,205
15,2020-10-27 06:45:00 to 2020-11-10 06:45:00,2020-11-11 06:45:00 to 2020-11-13 06:45:00,175,0.03,1,0.6766223814773912,0.8408792952780857,0.0,205.46379971504211,207
16,2020-10-30 06:45:00 to 2020-11-13 06:45:00,2020-11-14 06:45:00 to 2020-11-16 06:45:00,165,0.02,2,0.6730723587423927,3.876770096857125,50.0,203.27283477783203,208
17,2020-11-02 06:45:00 to 2020-11-16 06:45:00,2020-11-17 06:45:00 to 2020-11-19 06:45:00,150,0.022,1,-0.9001445941026577,1.524670996578501,0.0,205.34098505973816,209
18,2020-11-05 06:45:00 to 2020-11-19 06:45:00,2020-11-20 06:45:00 to 2020-11-22 06:45:00,150,0.022,0,0.0,0.0,0.0,205.3912582397461,211
19,2020-11-08 06:45:00 to 2020-11-22 06:45:00,2020-11-23 06:45:00 to 2020-11-25 06:45:00,100,0.024,1,1.1686248359149431,0.2595893594206416,100.0,203.498587846756,213
20,2020-11-11 06:45:00 to 2020-11-25 06:45:00,2020-11-26 06:45:00 to 2020-11-28 06:45:00,20,0.026,5,3.6934205719021342,7.202032521801195,80.0,202.79828190803528,214
21,2020-11-14 06:45:00 to 2020-11-28 06:45:00,2020-11-29 06:45:00 to 2020-12-01 06:45:00,20,0.026,0,0.0,0.0,0.0,201.23839378356936,215
