Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-04-03 15:30:00 to 2024-04-17 15:30:00,2024-04-18 15:30:00 to 2024-04-20 15:30:00,15,0.076,0,0.0,0.0,0.0,218.03446292877197,833
2,2024-04-06 15:30:00 to 2024-04-20 15:30:00,2024-04-21 15:30:00 to 2024-04-23 15:30:00,15,0.076,0,0.0,0.0,0.0,216.50227189064023,835
3,2024-04-09 15:30:00 to 2024-04-23 15:30:00,2024-04-24 15:30:00 to 2024-04-26 15:30:00,300,0.038,2,1.5403164478136386,9.28883856374706,50.0,214.84072589874268,837
4,2024-04-12 15:30:00 to 2024-04-26 15:30:00,2024-04-27 15:30:00 to 2024-04-29 15:30:00,115,0.054,2,3.675193966147999,1.4973459552495842,100.0,216.62961292266849,838
5,2024-04-15 15:30:00 to 2024-04-29 15:30:00,2024-04-30 15:30:00 to 2024-05-02 15:30:00,255,0.038,1,5.208305926043686,3.7234347553600498,100.0,213.5327041149139,839
6,2024-04-18 15:30:00 to 2024-05-02 15:30:00,2024-05-03 15:30:00 to 2024-05-05 15:30:00,295,0.04,1,-0.9650120820524352,2.271485203020129,0.0,214.11533379554749,841
7,2024-04-21 15:30:00 to 2024-05-05 15:30:00,2024-05-06 15:30:00 to 2024-05-08 15:30:00,300,0.038,1,-5.690214707632294,11.374964790504794,0.0,217.4086558818817,843
8,2024-04-24 15:30:00 to 2024-05-08 15:30:00,2024-05-09 15:30:00 to 2024-05-11 15:30:00,205,0.044,2,3.1418420460555354,2.0473519517242345,50.0,216.60047101974487,844
9,2024-04-27 15:30:00 to 2024-05-11 15:30:00,2024-05-12 15:30:00 to 2024-05-14 15:30:00,155,0.034,2,0.3101218765721932,4.145007398483743,50.0,211.3095989227295,845
10,2024-04-30 15:30:00 to 2024-05-14 15:30:00,2024-05-15 15:30:00 to 2024-05-17 15:30:00,180,0.04,1,2.388282231955818,0.7848903715954542,100.0,209.06257605552673,847
11,2024-05-03 15:30:00 to 2024-05-17 15:30:00,2024-05-18 15:30:00 to 2024-05-20 15:30:00,180,0.04,1,0.8965741501681078,2.064417140061127,100.0,209.96403098106384,849
12,2024-05-06 15:30:00 to 2024-05-20 15:30:00,2024-05-21 15:30:00 to 2024-05-23 15:30:00,110,0.03,1,1.402708709794006,0.4896299241055385,100.0,210.35430908203125,850
13,2024-05-09 15:30:00 to 2024-05-23 15:30:00,2024-05-24 15:30:00 to 2024-05-26 15:30:00,110,0.028,2,1.9707404061023048,1.200321898217451,50.0,209.8278231620789,851
14,2024-05-12 15:30:00 to 2024-05-26 15:30:00,2024-05-27 15:30:00 to 2024-05-29 15:30:00,145,0.02,3,7.251027443392413,1.0256772717082692,100.0,206.57425117492676,853
15,2024-05-15 15:30:00 to 2024-05-29 15:30:00,2024-05-30 15:30:00 to 2024-06-01 15:30:00,145,0.02,2,1.5493467871335815,3.4557268857472176,100.0,204.995041847229,855
16,2024-05-18 15:30:00 to 2024-06-01 15:30:00,2024-06-02 15:30:00 to 2024-06-04 15:30:00,135,0.02,2,2.6142759322847997,1.1581252412348293,50.0,206.51699471473697,856
17,2024-05-21 15:30:00 to 2024-06-04 15:30:00,2024-06-05 15:30:00 to 2024-06-07 15:30:00,120,0.022,3,4.293072353360366,1.6039859242053207,100.0,207.63833379745483,857
18,2024-05-24 15:30:00 to 2024-06-07 15:30:00,2024-06-08 15:30:00 to 2024-06-10 15:30:00,120,0.02,2,-0.5223657979354539,8.99411679418584,50.0,205.1652410030365,859
19,2024-05-27 15:30:00 to 2024-06-10 15:30:00,2024-06-11 15:30:00 to 2024-06-13 15:30:00,50,0.03,4,-2.5088590291941,5.022854393154858,50.0,210.60033416748047,861
20,2024-05-30 15:30:00 to 2024-06-13 15:30:00,2024-06-14 15:30:00 to 2024-06-16 15:30:00,65,0.06,0,0.0,0.0,0.0,210.858491897583,862
21,2024-06-02 15:30:00 to 2024-06-16 15:30:00,2024-06-17 15:30:00 to 2024-06-19 15:30:00,115,0.078,1,2.6532735977850828,5.46803403988609,100.0,213.5449779033661,863
22,2024-06-05 15:30:00 to 2024-06-19 15:30:00,2024-06-20 15:30:00 to 2024-06-22 15:30:00,65,0.06,1,1.0964508196721363,1.7795556803084829,100.0,215.34578919410703,865
23,2024-06-08 15:30:00 to 2024-06-22 15:30:00,2024-06-23 15:30:00 to 2024-06-25 15:30:00,60,0.052,0,0.0,0.0,0.0,213.08231329917908,867
24,2024-06-11 15:30:00 to 2024-06-25 15:30:00,2024-06-26 15:30:00 to 2024-06-28 15:30:00,60,0.052,0,0.0,0.0,0.0,210.36986184120175,868
25,2024-06-14 15:30:00 to 2024-06-28 15:30:00,2024-06-29 15:30:00 to 2024-07-01 15:30:00,60,0.06,0,0.0,0.0,0.0,210.68402814865112,869
26,2024-06-17 15:30:00 to 2024-07-01 15:30:00,2024-07-02 15:30:00 to 2024-07-04 15:30:00,40,0.02,7,-3.665130192694778,9.795070003806696,71.42857142857143,205.4416618347168,871
27,2024-06-20 15:30:00 to 2024-07-04 15:30:00,2024-07-05 15:30:00 to 2024-07-07 15:30:00,10,0.02,5,-1.8699481664585076,7.728684301299833,80.0,208.02548003196716,873
28,2024-06-23 15:30:00 to 2024-07-07 15:30:00,2024-07-08 15:30:00 to 2024-07-10 15:30:00,30,0.062,0,0.0,0.0,0.0,206.41027808189392,874
29,2024-06-26 15:30:00 to 2024-07-10 15:30:00,2024-07-11 15:30:00 to 2024-07-13 15:30:00,30,0.062,0,0.0,0.0,0.0,208.5955240726471,875
30,2024-06-29 15:30:00 to 2024-07-13 15:30:00,2024-07-14 15:30:00 to 2024-07-16 15:30:00,30,0.062,0,0.0,0.0,0.0,208.9394919872284,877
31,2024-07-02 15:30:00 to 2024-07-16 15:30:00,2024-07-17 15:30:00 to 2024-07-19 15:30:00,260,0.03,1,1.4667165128857778,1.781123539639694,100.0,210.1811950206757,879
32,2024-07-05 15:30:00 to 2024-07-19 15:30:00,2024-07-20 15:30:00 to 2024-07-22 15:30:00,135,0.022,3,4.650880701899041,2.1087617949260604,66.66666666666666,203.97795486450195,880
33,2024-07-08 15:30:00 to 2024-07-22 15:30:00,2024-07-23 15:30:00 to 2024-07-25 15:30:00,135,0.022,2,-8.650870810745273,12.378841388732532,0.0,203.1644601821899,881
34,2024-07-11 15:30:00 to 2024-07-25 15:30:00,2024-07-26 15:30:00 to 2024-07-28 15:30:00,60,0.02,1,0.5220248104755411,0.5382356046358641,100.0,201.19191002845764,883
35,2024-07-14 15:30:00 to 2024-07-28 15:30:00,2024-07-29 15:30:00 to 2024-07-31 15:30:00,40,0.02,2,-3.053437579602214,5.868253419657464,50.0,206.3507010936737,885
36,2024-07-17 15:30:00 to 2024-07-31 15:30:00,2024-08-01 15:30:00 to 2024-08-03 15:30:00,155,0.066,1,2.7108280640970044,1.1270480211411835,100.0,208.59590911865232,886
37,2024-07-20 15:30:00 to 2024-08-03 15:30:00,2024-08-04 15:30:00 to 2024-08-06 15:30:00,155,0.066,2,3.2302513618402555,9.412481503701136,100.0,211.6654942035675,887
38,2024-07-23 15:30:00 to 2024-08-06 15:30:00,2024-08-07 15:30:00 to 2024-08-09 15:30:00,165,0.074,0,0.0,0.0,0.0,213.6356570720673,889
39,2024-07-26 15:30:00 to 2024-08-09 15:30:00,2024-08-10 15:30:00 to 2024-08-12 15:30:00,165,0.074,1,2.5126169491525436,2.1868073193455406,100.0,215.42734813690183,891
40,2024-07-29 15:30:00 to 2024-08-12 15:30:00,2024-08-13 15:30:00 to 2024-08-15 15:30:00,205,0.08,0,0.0,0.0,0.0,217.21352195739743,892
41,2024-08-01 15:30:00 to 2024-08-15 15:30:00,2024-08-16 15:30:00 to 2024-08-18 15:30:00,205,0.078,0,0.0,0.0,0.0,214.69257068634033,893
42,2024-08-04 15:30:00 to 2024-08-18 15:30:00,2024-08-19 15:30:00 to 2024-08-21 15:30:00,120,0.03,1,1.6299826839826892,0.1281184019022957,100.0,206.0425271987915,895
43,2024-08-07 15:30:00 to 2024-08-21 15:30:00,2024-08-22 15:30:00 to 2024-08-24 15:30:00,295,0.034,0,0.0,0.0,0.0,206.2654640674591,897
44,2024-08-10 15:30:00 to 2024-08-24 15:30:00,2024-08-25 15:30:00 to 2024-08-27 15:30:00,120,0.022,2,-2.017202559471716,4.472320377292823,50.0,204.5845727920532,898
45,2024-08-13 15:30:00 to 2024-08-27 15:30:00,2024-08-28 15:30:00 to 2024-08-30 15:30:00,105,0.036,3,2.326716308581126,1.3840794642857146,66.66666666666666,205.84005784988403,899
46,2024-08-16 15:30:00 to 2024-08-30 15:30:00,2024-08-31 15:30:00 to 2024-09-02 15:30:00,105,0.036,2,2.9282424537487897,1.3905116218526878,100.0,203.98857498168945,901
47,2024-08-19 15:30:00 to 2024-09-02 15:30:00,2024-09-03 15:30:00 to 2024-09-05 15:30:00,105,0.036,1,2.531939105893234,2.5720181372903204,100.0,210.1305432319641,903
48,2024-08-22 15:30:00 to 2024-09-05 15:30:00,2024-09-06 15:30:00 to 2024-09-08 15:30:00,105,0.036,1,3.6855139879272976,1.8744062663185288,100.0,211.04562783241272,904
49,2024-08-25 15:30:00 to 2024-09-08 15:30:00,2024-09-09 15:30:00 to 2024-09-11 15:30:00,245,0.032,1,0.1865454545454486,1.5793482616339387,0.0,214.66918778419495,905
50,2024-08-28 15:30:00 to 2024-09-11 15:30:00,2024-09-12 15:30:00 to 2024-09-14 15:30:00,190,0.028,0,0.0,0.0,0.0,209.24692106246948,907
51,2024-08-31 15:30:00 to 2024-09-14 15:30:00,2024-09-15 15:30:00 to 2024-09-17 15:30:00,300,0.02,1,-0.8176170904879656,6.0032794024554095,0.0,209.55900716781616,909
52,2024-09-03 15:30:00 to 2024-09-17 15:30:00,2024-09-18 15:30:00 to 2024-09-20 15:30:00,300,0.038,0,0.0,0.0,0.0,206.21568775177,910
53,2024-09-06 15:30:00 to 2024-09-20 15:30:00,2024-09-21 15:30:00 to 2024-09-23 15:30:00,70,0.026,4,4.602762529503998,2.1208653629547887,100.0,202.5022897720337,911
54,2024-09-09 15:30:00 to 2024-09-23 15:30:00,2024-09-24 15:30:00 to 2024-09-26 15:30:00,70,0.026,0,0.0,0.0,0.0,205.8103277683258,913
55,2024-09-12 15:30:00 to 2024-09-26 15:30:00,2024-09-27 15:30:00 to 2024-09-29 15:30:00,70,0.026,2,-0.7206925708866947,4.684592635969967,50.0,205.60389494895935,915
56,2024-09-15 15:30:00 to 2024-09-29 15:30:00,2024-09-30 15:30:00 to 2024-10-02 15:30:00,260,0.028,3,8.332775463452908,4.3919447449750635,100.0,202.42918920516968,916
57,2024-09-18 15:30:00 to 2024-10-02 15:30:00,2024-10-03 15:30:00 to 2024-10-05 15:30:00,225,0.028,2,2.748359140236553,8.563172133365706,100.0,206.42087507247925,917
58,2024-09-21 15:30:00 to 2024-10-05 15:30:00,2024-10-06 15:30:00 to 2024-10-08 15:30:00,275,0.026,1,-4.300640759179424,5.564750645410868,0.0,204.62536597251892,919
59,2024-09-24 15:30:00 to 2024-10-08 15:30:00,2024-10-09 15:30:00 to 2024-10-11 15:30:00,275,0.026,1,-2.5976754055232414,7.215413859662899,0.0,211.6902117729187,921
60,2024-09-27 15:30:00 to 2024-10-11 15:30:00,2024-10-12 15:30:00 to 2024-10-14 15:30:00,275,0.06,0,0.0,0.0,0.0,213.51715087890625,922
61,2024-09-30 15:30:00 to 2024-10-14 15:30:00,2024-10-15 15:30:00 to 2024-10-17 15:30:00,15,0.02,1,-0.8446926755962705,1.8914515687235256,0.0,212.34687495231628,923
62,2024-10-03 15:30:00 to 2024-10-17 15:30:00,2024-10-18 15:30:00 to 2024-10-20 15:30:00,35,0.02,1,0.8826464788732301,0.2990724765593694,100.0,205.06934690475464,925
