Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-01-20 08:00:00 to 2020-02-03 08:00:00,2020-02-04 08:00:00 to 2020-02-06 08:00:00,40,0.02,0,0.0,0.0,0.0,205.32101392745972,66
2,2020-01-23 08:00:00 to 2020-02-06 08:00:00,2020-02-07 08:00:00 to 2020-02-09 08:00:00,105,0.02,1,2.655462816575091,1.9908872568818696,100.0,196.51399302482605,67
3,2020-01-26 08:00:00 to 2020-02-09 08:00:00,2020-02-10 08:00:00 to 2020-02-12 08:00:00,145,0.022,1,0.8350468628358976,2.7454001743179157,100.0,199.07089710235596,69
4,2020-01-29 08:00:00 to 2020-02-12 08:00:00,2020-02-13 08:00:00 to 2020-02-15 08:00:00,125,0.022,2,2.8805597478890923,0.8487225683793763,100.0,200.81603717803955,71
5,2020-02-01 08:00:00 to 2020-02-15 08:00:00,2020-02-16 08:00:00 to 2020-02-18 08:00:00,40,0.026,3,0.8015440742696228,9.864508823221728,66.66666666666666,202.01854610443115,72
6,2020-02-04 08:00:00 to 2020-02-18 08:00:00,2020-02-19 08:00:00 to 2020-02-21 08:00:00,90,0.038,1,-1.9935862673353404,4.127635726924073,0.0,207.5809850692749,73
7,2020-02-07 08:00:00 to 2020-02-21 08:00:00,2020-02-22 08:00:00 to 2020-02-24 08:00:00,65,0.046,0,0.0,0.0,0.0,211.41696310043335,75
8,2020-02-10 08:00:00 to 2020-02-24 08:00:00,2020-02-25 08:00:00 to 2020-02-27 08:00:00,80,0.042,2,1.186031384734215,5.689720391077606,50.0,211.21316981315613,77
9,2020-02-13 08:00:00 to 2020-02-27 08:00:00,2020-02-28 08:00:00 to 2020-03-01 08:00:00,80,0.048,0,0.0,0.0,0.0,213.95639085769653,78
10,2020-02-16 08:00:00 to 2020-03-01 08:00:00,2020-03-02 08:00:00 to 2020-03-04 08:00:00,30,0.022,1,0.2359934346924637,0.3724421886096187,100.0,211.81449508666992,79
11,2020-02-19 08:00:00 to 2020-03-04 08:00:00,2020-03-05 08:00:00 to 2020-03-07 08:00:00,30,0.022,0,0.0,0.0,0.0,211.94201397895813,81
12,2020-02-22 08:00:00 to 2020-03-07 08:00:00,2020-03-08 08:00:00 to 2020-03-10 08:00:00,30,0.022,4,3.2413563937400616,5.166384687984483,75.0,209.9857652187347,83
13,2020-02-25 08:00:00 to 2020-03-10 08:00:00,2020-03-11 08:00:00 to 2020-03-13 08:00:00,30,0.02,6,-10.337489421073586,30.09848948027766,50.0,210.17048501968384,84
14,2020-02-28 08:00:00 to 2020-03-13 08:00:00,2020-03-14 08:00:00 to 2020-03-16 08:00:00,35,0.068,1,-2.141365548607173,2.506916218030034,0.0,212.4430191516876,85
15,2020-03-02 08:00:00 to 2020-03-16 08:00:00,2020-03-17 08:00:00 to 2020-03-19 08:00:00,55,0.08,0,0.0,0.0,0.0,212.52398324012756,87
16,2020-03-05 08:00:00 to 2020-03-19 08:00:00,2020-03-20 08:00:00 to 2020-03-22 08:00:00,55,0.08,1,2.4526163391933733,2.5425837642192346,100.0,222.5150249004364,89
17,2020-03-08 08:00:00 to 2020-03-22 08:00:00,2020-03-23 08:00:00 to 2020-03-25 08:00:00,35,0.068,0,0.0,0.0,0.0,222.69254803657532,90
18,2020-03-11 08:00:00 to 2020-03-25 08:00:00,2020-03-26 08:00:00 to 2020-03-28 08:00:00,165,0.026,1,-0.9835424617880564,1.9763041545403317,0.0,221.88307404518127,91
19,2020-03-14 08:00:00 to 2020-03-28 08:00:00,2020-03-29 08:00:00 to 2020-03-31 08:00:00,200,0.022,1,-0.1531513911295223,4.019255592112749,0.0,216.67713809013367,93
20,2020-03-17 08:00:00 to 2020-03-31 08:00:00,2020-04-01 08:00:00 to 2020-04-03 08:00:00,185,0.042,0,0.0,0.0,0.0,212.0382409095764,95
21,2020-03-20 08:00:00 to 2020-04-03 08:00:00,2020-04-04 08:00:00 to 2020-04-06 08:00:00,295,0.036,0,0.0,0.0,0.0,210.5740089416504,96
22,2020-03-23 08:00:00 to 2020-04-06 08:00:00,2020-04-07 08:00:00 to 2020-04-09 08:00:00,110,0.02,2,4.376838575524271,1.1643761749953876,100.0,204.84507703781128,97
23,2020-03-26 08:00:00 to 2020-04-09 08:00:00,2020-04-10 08:00:00 to 2020-04-12 08:00:00,110,0.02,1,-0.8093213702688263,6.677440584653045,0.0,206.2894511222839,99
24,2020-03-29 08:00:00 to 2020-04-12 08:00:00,2020-04-13 08:00:00 to 2020-04-15 08:00:00,105,0.044,1,1.3521757393913505,1.133655022641539,100.0,204.6512749195099,101
