datetime,equity,volume,symbol,normalized_period
2020-02-27 08:00:00,10000.0,,DASHUSDT,78
2020-02-28 11:30:00,10087.548061707572,148017.20800000007,DASHUSDT,78
2020-03-01 08:00:00,10087.548061707572,,DASHUSDT,79
2020-03-02 08:00:00,10087.548061707572,,VETUSDT,80
2020-03-05 08:00:00,10087.548061707572,,LTCUSDT,81
2020-03-09 08:00:00,10087.548061707572,,XMRUSDT,83
2020-03-11 19:00:00,10285.562087997472,102567.54699999998,XMRUSDT,83
2020-03-13 08:00:00,10285.562087997472,,DASHUSDT,85
2020-03-14 08:00:00,10285.562087997472,,TRXUSDT,86
2020-03-17 08:00:00,10285.562087997472,,LTCUSDT,87
2020-03-21 08:00:00,10285.562087997472,,ADAUSDT,89
2020-03-22 08:00:00,10285.562087997472,,BNBUSDT,90
2020-03-25 08:00:00,10285.562087997472,,XLMUSDT,91
2020-03-26 08:45:00,10285.562087997472,,NEOUSDT,92
2020-03-28 14:30:00,9956.967064870589,331189.76999999996,NEOUSDT,92
2020-03-29 08:15:00,9956.967064870589,,XRPUSDT,93
2020-03-30 05:15:00,10112.45964776028,164080866.2999999,XRPUSDT,93
2020-04-02 08:00:00,10112.45964776028,,ETCUSDT,95
2020-04-06 08:00:00,10112.45964776028,,XLMUSDT,97
2020-04-07 08:00:00,10555.06568255778,,VETUSDT,98
2020-04-08 03:15:00,10465.357934735983,196865415.0,XLMUSDT,97
2020-04-08 15:15:00,10555.06568255778,100869360.0,XLMUSDT,97
2020-04-09 04:30:00,10575.6514759913,685637165.0,VETUSDT,98
2020-04-09 13:00:00,10694.578515194438,630962845.0,VETUSDT,98
2020-04-10 08:15:00,10694.578515194436,,XRPUSDT,99
2020-04-14 08:00:00,10694.578515194436,,XTZUSDT,101
2020-04-15 08:00:00,10885.809677244371,,EOSUSDT,102
2020-04-16 02:00:00,10796.657520454295,10299099.299999995,XTZUSDT,101
2020-04-16 06:30:00,11003.740873708075,7750795.700000001,EOSUSDT,102
2020-04-17 07:00:00,10885.809677244371,23167685.3,XTZUSDT,101
2020-04-18 08:00:00,11003.740873708075,,XLMUSDT,103
2020-04-19 08:45:00,11003.740873708075,,BCHUSDT,104
2020-04-22 02:45:00,11091.40233726525,389439.398,BCHUSDT,104
2020-04-22 08:00:00,11091.40233726525,,ZECUSDT,105
2020-04-26 08:00:00,11091.40233726525,,XTZUSDT,107
2020-04-27 08:00:00,11096.822495363558,,DASHUSDT,108
2020-04-27 19:15:00,11096.822495363558,24485594.8,XTZUSDT,107
2020-04-29 00:30:00,11183.63830541492,146379.711,DASHUSDT,108
2020-04-30 08:00:00,11183.638305414921,,LINKUSDT,109
2020-05-04 08:15:00,11183.638305414921,,XRPUSDT,111
2020-05-05 08:00:00,11183.638305414921,,IOSTUSDT,112
2020-05-07 12:45:00,11407.12222417412,538870564.0,IOSTUSDT,112
2020-05-08 08:00:00,11407.12222417412,,IOSTUSDT,113
2020-05-12 08:00:00,11407.12222417412,,EOSUSDT,115
2020-05-13 08:45:00,11407.12222417412,,BCHUSDT,116
2020-05-16 05:00:00,11555.32518884959,222456.43599999987,BCHUSDT,116
2020-05-16 08:45:00,11555.32518884959,,NEOUSDT,117
2020-05-19 06:15:00,11636.878230209653,550947.96,NEOUSDT,117
2020-05-20 08:00:00,11636.878230209653,,XTZUSDT,119
2020-05-22 06:15:00,11575.602031100823,13806314.200000005,XTZUSDT,119
2020-05-24 12:00:00,11575.602031100821,,ATOMUSDT,121
2020-05-25 07:30:00,11638.03033546481,1778130.3299999994,ATOMUSDT,121
2020-05-28 08:15:00,11638.030335464808,,XRPUSDT,123
2020-06-01 08:00:00,11638.030335464808,,ETCUSDT,125
2020-06-02 08:00:00,11758.120875434852,,DASHUSDT,126
2020-06-04 03:30:00,11758.120875434852,4621640.880000001,ETCUSDT,125
2020-06-04 03:30:00,11909.571659183119,105622.96400000002,DASHUSDT,126
2020-06-04 15:30:00,11981.21923759331,119120.672,DASHUSDT,126
2020-06-05 08:00:00,11981.21923759331,,XLMUSDT,127
2020-06-06 06:00:00,12070.275258618845,347476190.0,XLMUSDT,127
2020-06-06 08:00:00,12232.946417395307,,LTCUSDT,128
2020-06-07 19:45:00,12313.845242488662,439448.681,LTCUSDT,128
2020-06-07 19:45:00,12232.946417395307,179999428.0,XLMUSDT,127
2020-06-09 08:45:00,12313.845242488662,,NEOUSDT,129
2020-06-12 07:30:00,12168.075990488318,658982.6599999997,NEOUSDT,129
2020-06-12 17:45:00,12168.075990488318,,BTCUSDT,131
2020-06-15 16:00:00,12240.730089213876,192613.54599999997,BTCUSDT,131
2020-06-17 08:00:00,12240.730089213876,,DASHUSDT,133
2020-06-18 08:45:00,12240.730089213876,,NEOUSDT,134
2020-06-21 08:15:00,12240.730089213876,,XRPUSDT,135
2020-06-24 17:45:00,12240.730089213876,,BTCUSDT,137
2020-06-26 08:00:00,12240.730089213876,,DASHUSDT,138
2020-06-29 08:00:00,12240.730089213876,,EOSUSDT,139
2020-07-03 08:15:00,12240.730089213876,,XRPUSDT,141
2020-07-07 08:00:00,12240.730089213876,,ADAUSDT,143
2020-07-08 18:00:00,12792.527163561932,3436975303.0,ADAUSDT,143
2020-07-09 07:00:00,13049.50701763524,2856549024.0,ADAUSDT,143
2020-07-09 20:45:00,13430.357267686104,1580754625.0,ADAUSDT,143
2020-07-11 12:00:00,13430.357267686104,,ATOMUSDT,145
2020-07-12 22:15:00,13531.668536744084,10299197.359999998,ATOMUSDT,145
