Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-11-28 12:30:00 to 2023-12-12 12:30:00,2023-12-13 12:30:00 to 2023-12-15 12:30:00,205,0.03,1,1.3324071762870335,1.1884471379955683,100.0,215.8821930885315,770
2,2023-12-01 12:30:00 to 2023-12-15 12:30:00,2023-12-16 12:30:00 to 2023-12-18 12:30:00,60,0.02,5,5.398310639331121,4.711927639981519,100.0,218.85798501968384,771
3,2023-12-04 12:30:00 to 2023-12-18 12:30:00,2023-12-19 12:30:00 to 2023-12-21 12:30:00,60,0.02,2,1.4826670129183186,3.32548403475836,100.0,215.80892419815063,773
4,2023-12-07 12:30:00 to 2023-12-21 12:30:00,2023-12-22 12:30:00 to 2023-12-24 12:30:00,195,0.02,0,0.0,0.0,0.0,213.96586227416992,775
5,2023-12-10 12:30:00 to 2023-12-24 12:30:00,2023-12-25 12:30:00 to 2023-12-27 12:30:00,35,0.02,3,3.813480295373865,3.568822405362482,100.0,211.5629107952118,776
6,2023-12-13 12:30:00 to 2023-12-27 12:30:00,2023-12-28 12:30:00 to 2023-12-30 12:30:00,180,0.022,3,2.710219385615874,7.9377735523914685,66.66666666666666,218.02090191841123,777
7,2023-12-16 12:30:00 to 2023-12-30 12:30:00,2023-12-31 12:30:00 to 2024-01-02 12:30:00,175,0.02,2,-1.2981385046320792,9.01653034318077,0.0,217.4206290245056,779
8,2023-12-19 12:30:00 to 2024-01-02 12:30:00,2024-01-03 12:30:00 to 2024-01-05 12:30:00,175,0.038,2,7.400041576945587,5.916534833790146,50.0,214.89810705184937,781
9,2023-12-22 12:30:00 to 2024-01-05 12:30:00,2024-01-06 12:30:00 to 2024-01-08 12:30:00,175,0.036,2,5.8944611777983305,5.728864004556882,100.0,221.26171970367432,782
10,2023-12-25 12:30:00 to 2024-01-08 12:30:00,2024-01-09 12:30:00 to 2024-01-11 12:30:00,175,0.036,0,0.0,0.0,0.0,222.00058102607727,783
11,2023-12-28 12:30:00 to 2024-01-11 12:30:00,2024-01-12 12:30:00 to 2024-01-14 12:30:00,35,0.03,3,-0.7662400585669275,4.739297557707724,33.33333333333333,215.3568823337555,785
12,2023-12-31 12:30:00 to 2024-01-14 12:30:00,2024-01-15 12:30:00 to 2024-01-17 12:30:00,65,0.032,2,2.390796825141424,0.3979805770363537,50.0,213.76830005645752,787
13,2024-01-03 12:30:00 to 2024-01-17 12:30:00,2024-01-18 12:30:00 to 2024-01-20 12:30:00,25,0.02,4,5.533434375388479,1.1672319410059588,100.0,214.87622499465945,788
14,2024-01-06 12:30:00 to 2024-01-20 12:30:00,2024-01-21 12:30:00 to 2024-01-23 12:30:00,25,0.02,3,0.9206776487810748,4.42746879000291,66.66666666666666,209.97264671325684,789
15,2024-01-09 12:30:00 to 2024-01-23 12:30:00,2024-01-24 12:30:00 to 2024-01-26 12:30:00,15,0.02,0,0.0,0.0,0.0,214.343905210495,791
16,2024-01-12 12:30:00 to 2024-01-26 12:30:00,2024-01-27 12:30:00 to 2024-01-29 12:30:00,300,0.054,0,0.0,0.0,0.0,211.9688799381256,793
17,2024-01-15 12:30:00 to 2024-01-29 12:30:00,2024-01-30 12:30:00 to 2024-02-01 12:30:00,115,0.036,1,-0.7399251336898305,2.601275219542693,0.0,208.7846839427948,794
18,2024-01-18 12:30:00 to 2024-02-01 12:30:00,2024-02-02 12:30:00 to 2024-02-04 12:30:00,65,0.026,0,0.0,0.0,0.0,206.7382700443268,795
19,2024-01-21 12:30:00 to 2024-02-04 12:30:00,2024-02-05 12:30:00 to 2024-02-07 12:30:00,105,0.036,1,1.5225882352940971,0.4112605016759942,100.0,204.70977187156677,797
20,2024-01-24 12:30:00 to 2024-02-07 12:30:00,2024-02-08 12:30:00 to 2024-02-10 12:30:00,105,0.02,0,0.0,0.0,0.0,200.82861590385437,799
21,2024-01-27 12:30:00 to 2024-02-10 12:30:00,2024-02-11 12:30:00 to 2024-02-13 12:30:00,105,0.024,1,1.2914344415390224,0.1842293731471555,100.0,204.9266722202301,800
22,2024-01-30 12:30:00 to 2024-02-13 12:30:00,2024-02-14 12:30:00 to 2024-02-16 12:30:00,90,0.02,0,0.0,0.0,0.0,203.85059094429016,801
23,2024-02-02 12:30:00 to 2024-02-16 12:30:00,2024-02-17 12:30:00 to 2024-02-19 12:30:00,105,0.02,1,0.9830226537216912,0.1129234791788437,100.0,202.1603729724884,803
24,2024-02-05 12:30:00 to 2024-02-19 12:30:00,2024-02-20 12:30:00 to 2024-02-22 12:30:00,285,0.02,3,5.267092734483376,3.098681005609067,100.0,203.86076402664185,805
25,2024-02-08 12:30:00 to 2024-02-22 12:30:00,2024-02-23 12:30:00 to 2024-02-25 12:30:00,175,0.02,2,2.397477931207795,2.131342364907457,100.0,204.0676920413971,806
26,2024-02-11 12:30:00 to 2024-02-25 12:30:00,2024-02-26 12:30:00 to 2024-02-28 12:30:00,240,0.02,1,1.0147770525592568,0.0029259074138765,100.0,204.67269778251648,807
27,2024-02-14 12:30:00 to 2024-02-28 12:30:00,2024-02-29 12:30:00 to 2024-03-02 12:30:00,120,0.02,2,5.079848501253182,0.4598246397563515,100.0,207.19642901420593,809
28,2024-02-17 12:30:00 to 2024-03-02 12:30:00,2024-03-03 12:30:00 to 2024-03-05 12:30:00,120,0.02,3,11.81784322168298,2.15345334035633,100.0,206.25083875656128,811
29,2024-02-20 12:30:00 to 2024-03-05 12:30:00,2024-03-06 12:30:00 to 2024-03-08 12:30:00,110,0.024,2,5.16729145836598,4.372427823519486,100.0,208.00592303276065,812
30,2024-02-23 12:30:00 to 2024-03-08 12:30:00,2024-03-09 12:30:00 to 2024-03-11 12:30:00,265,0.02,0,0.0,0.0,0.0,209.6241512298584,813
31,2024-02-26 12:30:00 to 2024-03-11 12:30:00,2024-03-12 12:30:00 to 2024-03-14 12:30:00,180,0.02,2,1.670704923326448,5.061079613231887,50.0,213.73555827140808,815
32,2024-02-29 12:30:00 to 2024-03-14 12:30:00,2024-03-15 12:30:00 to 2024-03-17 12:30:00,285,0.02,1,-13.04021506632018,18.151558552024053,0.0,212.91195106506348,817
33,2024-03-03 12:30:00 to 2024-03-17 12:30:00,2024-03-18 12:30:00 to 2024-03-20 12:30:00,20,0.022,6,-1.027564159521844,6.585162068244081,66.66666666666666,214.26314282417297,818
34,2024-03-06 12:30:00 to 2024-03-20 12:30:00,2024-03-21 12:30:00 to 2024-03-23 12:30:00,120,0.056,0,0.0,0.0,0.0,212.48947930336,819
35,2024-03-09 12:30:00 to 2024-03-23 12:30:00,2024-03-24 12:30:00 to 2024-03-26 12:30:00,125,0.05,0,0.0,0.0,0.0,213.26969194412231,821
36,2024-03-12 12:30:00 to 2024-03-26 12:30:00,2024-03-27 12:30:00 to 2024-03-29 12:30:00,15,0.02,2,-1.1835289022177131,4.192896040524902,50.0,214.7891047000885,823
37,2024-03-15 12:30:00 to 2024-03-29 12:30:00,2024-03-30 12:30:00 to 2024-04-01 12:30:00,120,0.05,1,2.2951963911036364,1.3765900193470002,100.0,211.81089210510257,824
38,2024-03-18 12:30:00 to 2024-04-01 12:30:00,2024-04-02 12:30:00 to 2024-04-04 12:30:00,90,0.02,2,-6.340153668884904,7.515871830043899,0.0,207.28854203224185,825
39,2024-03-21 12:30:00 to 2024-04-04 12:30:00,2024-04-05 12:30:00 to 2024-04-07 12:30:00,135,0.024,1,1.1067420101024437,4.5712841498726515,100.0,207.99528694152832,827
40,2024-03-24 12:30:00 to 2024-04-07 12:30:00,2024-04-08 12:30:00 to 2024-04-10 12:30:00,170,0.046,2,1.0994562610374303,1.6182951197551785,50.0,208.8085510730743,829
41,2024-03-27 12:30:00 to 2024-04-10 12:30:00,2024-04-11 12:30:00 to 2024-04-13 12:30:00,170,0.044,1,-14.417371868951069,20.91637916013695,0.0,214.84283709526065,830
42,2024-03-30 12:30:00 to 2024-04-13 12:30:00,2024-04-14 12:30:00 to 2024-04-16 12:30:00,25,0.078,0,0.0,0.0,0.0,217.2907781600952,831
43,2024-04-02 12:30:00 to 2024-04-16 12:30:00,2024-04-17 12:30:00 to 2024-04-19 12:30:00,25,0.078,0,0.0,0.0,0.0,217.5910928249359,833
