Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-10-16 06:00:00 to 2020-10-30 06:00:00,2020-10-31 06:00:00 to 2020-11-02 06:00:00,65,0.054,0,0.0,0.0,0.0,219.3921718597412,201
2,2020-10-19 06:00:00 to 2020-11-02 06:00:00,2020-11-03 06:00:00 to 2020-11-05 06:00:00,65,0.054,0,0.0,0.0,0.0,217.13883996009827,203
3,2020-10-22 06:00:00 to 2020-11-05 06:00:00,2020-11-06 06:00:00 to 2020-11-08 06:00:00,155,0.046,1,0.5142627528071171,2.0444002230969973,0.0,213.6432089805603,204
4,2020-10-25 06:00:00 to 2020-11-08 06:00:00,2020-11-09 06:00:00 to 2020-11-11 06:00:00,160,0.048,0,0.0,0.0,0.0,211.02943992614743,205
5,2020-10-28 06:00:00 to 2020-11-11 06:00:00,2020-11-12 06:00:00 to 2020-11-14 06:00:00,300,0.02,1,-1.078341778374288,3.7180295516536455,0.0,207.55868816375732,207
6,2020-10-31 06:00:00 to 2020-11-14 06:00:00,2020-11-15 06:00:00 to 2020-11-17 06:00:00,300,0.02,1,1.3781090425165348,3.812863237332176,100.0,206.55795907974243,209
7,2020-11-03 06:00:00 to 2020-11-17 06:00:00,2020-11-18 06:00:00 to 2020-11-20 06:00:00,230,0.024,0,0.0,0.0,0.0,203.66452503204343,210
8,2020-11-06 06:00:00 to 2020-11-20 06:00:00,2020-11-21 06:00:00 to 2020-11-23 06:00:00,150,0.026,1,0.1792934474901631,1.1525412562334505,0.0,206.6268811225891,211
9,2020-11-09 06:00:00 to 2020-11-23 06:00:00,2020-11-24 06:00:00 to 2020-11-26 06:00:00,90,0.02,1,-5.990780050218273,7.786496619540107,0.0,202.16203212738037,213
10,2020-11-12 06:00:00 to 2020-11-26 06:00:00,2020-11-27 06:00:00 to 2020-11-29 06:00:00,245,0.03,1,0.6692339847720905,2.1226824956438137,100.0,202.35738015174863,215
11,2020-11-15 06:00:00 to 2020-11-29 06:00:00,2020-11-30 06:00:00 to 2020-12-02 06:00:00,255,0.028,0,0.0,0.0,0.0,200.60928416252136,216
12,2020-11-18 06:00:00 to 2020-12-02 06:00:00,2020-12-03 06:00:00 to 2020-12-05 06:00:00,255,0.028,1,-0.2949835300483756,1.3790057093540282,0.0,203.42158722877505,217
13,2020-11-21 06:00:00 to 2020-12-05 06:00:00,2020-12-06 06:00:00 to 2020-12-08 06:00:00,260,0.04,0,0.0,0.0,0.0,203.7555432319641,219
14,2020-11-24 06:00:00 to 2020-12-08 06:00:00,2020-12-09 06:00:00 to 2020-12-11 06:00:00,200,0.042,1,2.352433333333338,0.6875419370557992,100.0,203.88651394844055,221
15,2020-11-27 06:00:00 to 2020-12-11 06:00:00,2020-12-12 06:00:00 to 2020-12-14 06:00:00,230,0.024,1,0.3500277824156,0.6711819714892637,100.0,202.51299262046817,222
16,2020-11-30 06:00:00 to 2020-12-14 06:00:00,2020-12-15 06:00:00 to 2020-12-17 06:00:00,230,0.024,1,1.2430364942631422,0.4929550172907364,0.0,203.4606568813324,223
17,2020-12-03 06:00:00 to 2020-12-17 06:00:00,2020-12-18 06:00:00 to 2020-12-20 06:00:00,245,0.02,1,0.9984713421146444,0.2459381122307398,100.0,202.66379809379575,225
18,2020-12-06 06:00:00 to 2020-12-20 06:00:00,2020-12-21 06:00:00 to 2020-12-23 06:00:00,235,0.02,1,-5.457878860880847,7.043689308350372,0.0,202.1375069618225,227
19,2020-12-09 06:00:00 to 2020-12-23 06:00:00,2020-12-24 06:00:00 to 2020-12-26 06:00:00,120,0.054,0,0.0,0.0,0.0,199.64442324638367,228
20,2020-12-12 06:00:00 to 2020-12-26 06:00:00,2020-12-27 06:00:00 to 2020-12-29 06:00:00,140,0.056,0,0.0,0.0,0.0,206.56339502334595,229
21,2020-12-15 06:00:00 to 2020-12-29 06:00:00,2020-12-30 06:00:00 to 2021-01-01 06:00:00,140,0.056,0,0.0,0.0,0.0,207.32628512382507,231
22,2020-12-18 06:00:00 to 2021-01-01 06:00:00,2021-01-02 06:00:00 to 2021-01-04 06:00:00,140,0.056,1,0.3699554314912893,4.114680216322175,100.0,209.01873111724856,233
23,2020-12-21 06:00:00 to 2021-01-04 06:00:00,2021-01-05 06:00:00 to 2021-01-07 06:00:00,255,0.058,0,0.0,0.0,0.0,210.2855200767517,234
24,2020-12-24 06:00:00 to 2021-01-07 06:00:00,2021-01-08 06:00:00 to 2021-01-10 06:00:00,270,0.06,0,0.0,0.0,0.0,207.4981451034546,235
25,2020-12-27 06:00:00 to 2021-01-10 06:00:00,2021-01-11 06:00:00 to 2021-01-13 06:00:00,255,0.02,1,-2.5730551456148714,5.2091117016511586,0.0,206.58210802078247,237
26,2020-12-30 06:00:00 to 2021-01-13 06:00:00,2021-01-14 06:00:00 to 2021-01-16 06:00:00,265,0.034,0,0.0,0.0,0.0,210.52259469032288,239
27,2021-01-02 06:00:00 to 2021-01-16 06:00:00,2021-01-17 06:00:00 to 2021-01-19 06:00:00,65,0.02,2,3.4782884105844096,2.958258495757174,100.0,202.87149381637573,240
