Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-06-24 09:00:00 to 2020-07-08 09:00:00,2020-07-09 09:00:00 to 2020-07-11 09:00:00,290,0.028,2,6.908816368547741,3.7048424458455176,100.0,207.504891872406,144
2,2020-06-27 09:00:00 to 2020-07-11 09:00:00,2020-07-12 09:00:00 to 2020-07-14 09:00:00,50,0.022,3,-0.03690545282132,4.086943181094309,66.66666666666666,203.86873292922976,145
3,2020-06-30 09:00:00 to 2020-07-14 09:00:00,2020-07-15 09:00:00 to 2020-07-17 09:00:00,50,0.022,3,3.141746650654441,2.0450493407805683,100.0,207.2018060684204,147
4,2020-07-03 09:00:00 to 2020-07-17 09:00:00,2020-07-18 09:00:00 to 2020-07-20 09:00:00,50,0.022,2,1.6265518129847805,0.854144701860147,100.0,208.2684829235077,149
5,2020-07-06 09:00:00 to 2020-07-20 09:00:00,2020-07-21 09:00:00 to 2020-07-23 09:00:00,45,0.024,1,0.6034821020563687,0.6008554639989643,100.0,208.90401816368103,150
6,2020-07-09 09:00:00 to 2020-07-23 09:00:00,2020-07-24 09:00:00 to 2020-07-26 09:00:00,105,0.024,1,0.3085136584120482,0.8843583560534896,100.0,207.65986514091492,151
7,2020-07-12 09:00:00 to 2020-07-26 09:00:00,2020-07-27 09:00:00 to 2020-07-29 09:00:00,175,0.028,1,0.7261559024048074,7.018435781913635,100.0,207.4003541469574,153
8,2020-07-15 09:00:00 to 2020-07-29 09:00:00,2020-07-30 09:00:00 to 2020-08-01 09:00:00,40,0.024,1,0.4116993190151879,0.552037313149468,100.0,203.20161414146423,155
9,2020-07-18 09:00:00 to 2020-08-01 09:00:00,2020-08-02 09:00:00 to 2020-08-04 09:00:00,45,0.024,2,5.850360280714413,0.7143719980672395,100.0,203.497535943985,156
10,2020-07-21 09:00:00 to 2020-08-04 09:00:00,2020-08-05 09:00:00 to 2020-08-07 09:00:00,45,0.024,0,0.0,0.0,0.0,204.8082120418549,157
11,2020-07-24 09:00:00 to 2020-08-07 09:00:00,2020-08-08 09:00:00 to 2020-08-10 09:00:00,40,0.022,2,1.7207915209009843,1.2626463939462695,100.0,206.7461438179016,159
12,2020-07-27 09:00:00 to 2020-08-10 09:00:00,2020-08-11 09:00:00 to 2020-08-13 09:00:00,120,0.02,3,0.9294832894568028,6.544807263565695,33.33333333333333,203.9394478797913,161
13,2020-07-30 09:00:00 to 2020-08-13 09:00:00,2020-08-14 09:00:00 to 2020-08-16 09:00:00,250,0.02,1,1.522183917525763,0.3686010791230714,100.0,209.5758500099182,162
14,2020-08-02 09:00:00 to 2020-08-16 09:00:00,2020-08-17 09:00:00 to 2020-08-19 09:00:00,280,0.02,2,-1.010982887598748,7.298842115194304,50.0,207.79940485954285,163
15,2020-08-05 09:00:00 to 2020-08-19 09:00:00,2020-08-20 09:00:00 to 2020-08-22 09:00:00,110,0.026,4,5.784586952960272,11.596187143478252,75.0,208.38324975967407,165
16,2020-08-08 09:00:00 to 2020-08-22 09:00:00,2020-08-23 09:00:00 to 2020-08-25 09:00:00,115,0.022,3,0.1469757278299402,4.934669670748672,66.66666666666666,213.73977494239807,167
17,2020-08-11 09:00:00 to 2020-08-25 09:00:00,2020-08-26 09:00:00 to 2020-08-28 09:00:00,70,0.02,4,2.0110975258338293,4.849944329470031,100.0,210.41681504249573,168
18,2020-08-14 09:00:00 to 2020-08-28 09:00:00,2020-08-29 09:00:00 to 2020-08-31 09:00:00,205,0.046,0,0.0,0.0,0.0,220.04684901237488,169
19,2020-08-17 09:00:00 to 2020-08-31 09:00:00,2020-09-01 09:00:00 to 2020-09-03 09:00:00,205,0.046,1,-3.2459055810960304,6.951451417626429,0.0,220.7821786403656,171
20,2020-08-20 09:00:00 to 2020-09-03 09:00:00,2020-09-04 09:00:00 to 2020-09-06 09:00:00,30,0.044,4,4.755347347775005,10.330665108349177,75.0,218.68768286705017,173
21,2020-08-23 09:00:00 to 2020-09-06 09:00:00,2020-09-07 09:00:00 to 2020-09-09 09:00:00,215,0.074,0,0.0,0.0,0.0,211.9547379016876,174
22,2020-08-26 09:00:00 to 2020-09-09 09:00:00,2020-09-10 09:00:00 to 2020-09-12 09:00:00,140,0.064,0,0.0,0.0,0.0,212.0816388130188,175
23,2020-08-29 09:00:00 to 2020-09-12 09:00:00,2020-09-13 09:00:00 to 2020-09-15 09:00:00,140,0.064,1,0.7982375494894587,1.5654809884841288,100.0,214.6815800666809,177
24,2020-09-01 09:00:00 to 2020-09-15 09:00:00,2020-09-16 09:00:00 to 2020-09-18 09:00:00,280,0.08,1,-0.3673783968942734,2.522704055069451,0.0,217.63046002388,179
25,2020-09-04 09:00:00 to 2020-09-18 09:00:00,2020-09-19 09:00:00 to 2020-09-21 09:00:00,150,0.05,2,1.4217318165112738,2.045257641899954,50.0,208.44200611114505,180
26,2020-09-07 09:00:00 to 2020-09-21 09:00:00,2020-09-22 09:00:00 to 2020-09-24 09:00:00,65,0.042,2,2.8961437928913982,1.6349835235041963,100.0,205.57212901115415,181
27,2020-09-10 09:00:00 to 2020-09-24 09:00:00,2020-09-25 09:00:00 to 2020-09-27 09:00:00,105,0.044,0,0.0,0.0,0.0,208.4636731147766,183
28,2020-09-13 09:00:00 to 2020-09-27 09:00:00,2020-09-28 09:00:00 to 2020-09-30 09:00:00,95,0.042,1,0.4239157107231949,1.5554064837905388,100.0,209.59080505371097,185
29,2020-09-16 09:00:00 to 2020-09-30 09:00:00,2020-10-01 09:00:00 to 2020-10-03 09:00:00,80,0.038,1,-1.126202223182427,6.875777371835628,0.0,209.6604480743408,186
30,2020-09-19 09:00:00 to 2020-10-03 09:00:00,2020-10-04 09:00:00 to 2020-10-06 09:00:00,280,0.042,1,0.2509473684210388,1.362089447123589,100.0,210.37551379203796,187
31,2020-09-22 09:00:00 to 2020-10-06 09:00:00,2020-10-07 09:00:00 to 2020-10-09 09:00:00,155,0.024,2,3.083002042795379,3.3010707287642953,100.0,208.60002183914185,189
32,2020-09-25 09:00:00 to 2020-10-09 09:00:00,2020-10-10 09:00:00 to 2020-10-12 09:00:00,115,0.036,0,0.0,0.0,0.0,210.79323291778564,191
33,2020-09-28 09:00:00 to 2020-10-12 09:00:00,2020-10-13 09:00:00 to 2020-10-15 09:00:00,200,0.026,1,-5.383842783028594,6.5757073999666895,0.0,210.36797523498535,192
34,2020-10-01 09:00:00 to 2020-10-15 09:00:00,2020-10-16 09:00:00 to 2020-10-18 09:00:00,260,0.044,1,2.1322402292860896,0.034947300273677,100.0,207.9384019374847,193
35,2020-10-04 09:00:00 to 2020-10-18 09:00:00,2020-10-19 09:00:00 to 2020-10-21 09:00:00,270,0.02,1,-1.0731889243712611,5.55717303271487,0.0,207.93274974823,195
36,2020-10-07 09:00:00 to 2020-10-21 09:00:00,2020-10-22 09:00:00 to 2020-10-24 09:00:00,255,0.02,1,0.2854799028864363,0.6255040887999379,0.0,206.4179482460022,197
37,2020-10-10 09:00:00 to 2020-10-24 09:00:00,2020-10-25 09:00:00 to 2020-10-27 09:00:00,255,0.02,2,0.1718956773909121,2.181003447690745,50.0,208.1070737838745,198
38,2020-10-13 09:00:00 to 2020-10-27 09:00:00,2020-10-28 09:00:00 to 2020-10-30 09:00:00,200,0.022,2,-5.4023424559900555,6.725339782529638,0.0,208.1627082824707,199
39,2020-10-16 09:00:00 to 2020-10-30 09:00:00,2020-10-31 09:00:00 to 2020-11-02 09:00:00,120,0.038,0,0.0,0.0,0.0,207.71368193626404,201
40,2020-10-19 09:00:00 to 2020-11-02 09:00:00,2020-11-03 09:00:00 to 2020-11-05 09:00:00,130,0.024,1,-2.0022698072255483,5.668840719248437,0.0,203.47247004508972,203
41,2020-10-22 09:00:00 to 2020-11-05 09:00:00,2020-11-06 09:00:00 to 2020-11-08 09:00:00,160,0.044,1,-0.0808215582239609,1.852672996369729,0.0,204.49791598320007,204
42,2020-10-25 09:00:00 to 2020-11-08 09:00:00,2020-11-09 09:00:00 to 2020-11-11 09:00:00,160,0.042,1,2.2313847045191326,0.7548877145609872,100.0,208.22362279891968,205
43,2020-10-28 09:00:00 to 2020-11-11 09:00:00,2020-11-12 09:00:00 to 2020-11-14 09:00:00,210,0.032,1,1.2403487603305805,1.9437142725349943,100.0,207.24756121635437,207
