normalized_period,symbol,original_period,out_sample_range,winning_trades,total_trades,win_rate,net_profit,selected_based_on_period
78,XLMUSDT,9,2020-02-28 08:00:00 to 2020-03-01 08:00:00,0,0,0.0,0.0,77
80,LTCUSDT,14,2020-03-03 08:00:00 to 2020-03-05 08:00:00,0,0,0.0,0.0,79
87,QTUMUSDT,5,2020-03-18 08:00:00 to 2020-03-20 08:00:00,0,0,0.0,0.0,86
93,ONTUSDT,12,2020-03-30 08:00:00 to 2020-04-01 08:00:00,0,0,0.0,0.0,92
96,BNBUSDT,14,2020-04-04 08:00:00 to 2020-04-06 08:00:00,0,0,0.0,0.0,95
98,XRPUSDT,27,2020-04-08 08:15:00 to 2020-04-10 08:15:00,0,0,0.0,0.0,97
99,QTUMUSDT,13,2020-04-11 08:00:00 to 2020-04-13 08:00:00,0,1,0.0,-1.9190427930507514,98
104,NEOUSDT,17,2020-04-20 08:45:00 to 2020-04-22 08:45:00,1,1,100.0,1.0907387875157992,103
105,BCHUSDT,38,2020-04-23 08:45:00 to 2020-04-25 08:45:00,0,0,0.0,0.0,104
111,NEOUSDT,22,2020-05-05 08:45:00 to 2020-05-07 08:45:00,0,0,0.0,0.0,110
117,BCHUSDT,46,2020-05-17 08:45:00 to 2020-05-19 08:45:00,0,0,0.0,0.0,116
123,VETUSDT,31,2020-05-29 08:00:00 to 2020-05-31 08:00:00,0,0,0.0,0.0,122
129,ONTUSDT,36,2020-06-10 08:00:00 to 2020-06-12 08:00:00,0,0,0.0,0.0,128
135,LTCUSDT,51,2020-06-22 08:00:00 to 2020-06-24 08:00:00,0,0,0.0,0.0,134
138,EOSUSDT,53,2020-06-27 08:00:00 to 2020-06-29 08:00:00,0,1,0.0,-2.794787912472807,137
141,ALGOUSDT,2,2020-07-04 09:00:00 to 2020-07-06 09:00:00,0,0,0.0,0.0,140
144,BNBUSDT,46,2020-07-09 08:00:00 to 2020-07-11 08:00:00,0,1,0.0,-1.1824689679524214,143
145,XLMUSDT,54,2020-07-12 08:00:00 to 2020-07-14 08:00:00,0,1,0.0,-1.502400809724147,144
147,NEOUSDT,46,2020-07-16 08:45:00 to 2020-07-18 08:45:00,0,1,0.0,-1.2662290750311778,146
148,ADAUSDT,52,2020-07-17 08:00:00 to 2020-07-19 08:00:00,0,1,0.0,-0.7766016083799787,147
150,BNBUSDT,50,2020-07-21 08:00:00 to 2020-07-23 08:00:00,0,0,0.0,0.0,149
151,LINKUSDT,59,2020-07-24 08:00:00 to 2020-07-26 08:00:00,0,1,0.0,-1.6335501793160678,150
153,LTCUSDT,63,2020-07-28 08:00:00 to 2020-07-30 08:00:00,0,1,0.0,-1.2923989076338627,152
154,XTZUSDT,54,2020-07-29 08:00:00 to 2020-07-31 08:00:00,0,1,0.0,-0.6291552621016216,153
157,EOSUSDT,66,2020-08-05 08:00:00 to 2020-08-07 08:00:00,0,0,0.0,0.0,156
159,VETUSDT,55,2020-08-09 08:00:00 to 2020-08-11 08:00:00,1,1,100.0,2.4735222979016758,158
160,XTZUSDT,58,2020-08-10 08:00:00 to 2020-08-12 08:00:00,1,1,100.0,2.640125554405537,159
163,XLMUSDT,66,2020-08-17 08:00:00 to 2020-08-19 08:00:00,0,1,0.0,-0.13376603479051674,162
165,TRXUSDT,69,2020-08-21 08:00:00 to 2020-08-23 08:00:00,1,1,100.0,6.618167501892591,164
166,XTZUSDT,62,2020-08-22 08:00:00 to 2020-08-24 08:00:00,1,1,100.0,1.3662014132039824,165
167,IOTAUSDT,61,2020-08-25 08:00:00 to 2020-08-27 08:00:00,0,1,0.0,-1.1151871033025285,166
168,LINKUSDT,70,2020-08-26 08:00:00 to 2020-08-28 08:00:00,1,1,100.0,2.456191236866978,167
169,XLMUSDT,70,2020-08-29 08:00:00 to 2020-08-31 08:00:00,0,0,0.0,0.0,168
171,LTCUSDT,75,2020-09-02 08:00:00 to 2020-09-04 08:00:00,0,0,0.0,0.0,170
173,XMRUSDT,68,2020-09-06 08:00:00 to 2020-09-08 08:00:00,0,0,0.0,0.0,172
175,ZRXUSDT,22,2020-09-10 09:00:00 to 2020-09-12 09:00:00,0,0,0.0,0.0,174
176,TRXUSDT,76,2020-09-11 08:00:00 to 2020-09-13 08:00:00,0,0,0.0,0.0,175
177,ALGOUSDT,26,2020-09-14 09:00:00 to 2020-09-16 09:00:00,1,1,100.0,0.4941802018534114,176
179,BTCUSDT,121,2020-09-17 17:45:00 to 2020-09-19 17:45:00,0,0,0.0,0.0,178
181,DASHUSDT,73,2020-09-22 08:00:00 to 2020-09-24 08:00:00,0,0,0.0,0.0,180
183,ONTUSDT,72,2020-09-26 08:00:00 to 2020-09-28 08:00:00,0,0,0.0,0.0,182
184,MKRUSDT,11,2020-09-27 07:00:00 to 2020-09-29 07:00:00,0,1,0.0,-0.3111644601604735,183
185,XTZUSDT,75,2020-09-30 08:00:00 to 2020-10-02 08:00:00,0,0,0.0,0.0,184
187,ETHUSDT,100,2020-10-04 07:45:00 to 2020-10-06 07:45:00,0,0,0.0,0.0,186
189,XRPUSDT,88,2020-10-08 08:15:00 to 2020-10-10 08:15:00,0,0,0.0,0.0,188
190,IOSTUSDT,73,2020-10-09 08:00:00 to 2020-10-11 08:00:00,0,0,0.0,0.0,189
191,DEFIUSDT,11,2020-10-12 07:00:00 to 2020-10-14 07:00:00,0,0,0.0,0.0,190
193,BALUSDT,11,2020-10-16 07:00:00 to 2020-10-18 07:00:00,0,1,0.0,-0.12386269481354795,192
195,EGLDUSDT,8,2020-10-20 07:00:00 to 2020-10-22 07:00:00,1,1,100.0,0.3535369311036263,194
197,DEFIUSDT,15,2020-10-24 07:00:00 to 2020-10-26 07:00:00,0,0,0.0,0.0,196
199,EOSUSDT,94,2020-10-28 08:00:00 to 2020-10-30 08:00:00,0,0,0.0,0.0,198
200,AVAXUSDT,8,2020-10-29 07:00:00 to 2020-10-31 07:00:00,0,0,0.0,0.0,199
201,DOGEUSDT,34,2020-11-01 09:00:00 to 2020-11-03 09:00:00,0,0,0.0,0.0,200
203,THETAUSDT,50,2020-11-05 08:00:00 to 2020-11-07 08:00:00,0,0,0.0,0.0,202
204,ZRXUSDT,41,2020-11-06 09:00:00 to 2020-11-08 09:00:00,0,0,0.0,0.0,203
205,ETHUSDT,112,2020-11-09 07:45:00 to 2020-11-11 07:45:00,0,1,0.0,-0.8949333043070995,204
207,FLMUSDT,11,2020-11-13 07:00:00 to 2020-11-15 07:00:00,0,1,0.0,-1.010770028220942,206
208,YFIUSDT,21,2020-11-14 07:00:00 to 2020-11-16 07:00:00,1,1,100.0,2.7829940819740218,207
209,IOSTUSDT,86,2020-11-17 08:00:00 to 2020-11-19 08:00:00,0,0,0.0,0.0,208
211,ZRXUSDT,46,2020-11-21 09:00:00 to 2020-11-23 09:00:00,1,1,100.0,1.0348756226288947,210
213,NEOUSDT,90,2020-11-25 08:45:00 to 2020-11-27 08:45:00,0,1,0.0,-1.2768458341914535,212
215,IOSTUSDT,90,2020-11-29 08:00:00 to 2020-12-01 08:00:00,0,0,0.0,0.0,214
217,LINKUSDT,103,2020-12-03 08:00:00 to 2020-12-05 08:00:00,0,1,0.0,-0.650786424752503,216
218,FLMUSDT,18,2020-12-04 07:00:00 to 2020-12-06 07:00:00,1,2,50.0,-1.139367988059392,217
219,ALGOUSDT,54,2020-12-07 09:00:00 to 2020-12-09 09:00:00,0,1,0.0,-0.1920549483485301,218
221,IOTAUSDT,97,2020-12-11 08:00:00 to 2020-12-13 08:00:00,1,1,100.0,0.36364458344306794,220
223,COMPUSDT,52,2020-12-15 09:00:00 to 2020-12-17 09:00:00,1,1,100.0,2.193210894156472,222
225,KSMUSDT,18,2020-12-19 07:00:00 to 2020-12-21 07:00:00,1,2,50.0,0.13879778996308545,224
227,DEFIUSDT,35,2020-12-23 07:00:00 to 2020-12-25 07:00:00,1,1,100.0,7.345177234877909,226
229,FILUSDT,20,2020-12-27 06:00:00 to 2020-12-29 06:00:00,0,0,0.0,0.0,228
231,ENJUSDT,27,2020-12-31 07:00:00 to 2021-01-02 07:00:00,0,0,0.0,0.0,230
232,YFIUSDT,37,2021-01-01 07:00:00 to 2021-01-03 07:00:00,1,1,100.0,0.23668471748652387,231
233,IOSTUSDT,102,2021-01-04 08:00:00 to 2021-01-06 08:00:00,1,1,100.0,2.87521180551622,232
234,RUNEUSDT,37,2021-01-05 07:00:00 to 2021-01-07 07:00:00,1,1,100.0,1.2737103325606736,233
235,ETHUSDT,132,2021-01-08 07:45:00 to 2021-01-10 07:45:00,1,1,100.0,3.8926715521563127,234
237,XRPUSDT,120,2021-01-12 08:15:00 to 2021-01-14 08:15:00,0,1,0.0,-1.8519039458216868,236
239,DEFIUSDT,43,2021-01-16 07:00:00 to 2021-01-18 07:00:00,0,0,0.0,0.0,238
